ticker;preco;var_1d;var_5d;var_20d;rsi;macd_hist;bb_pct;vol_ratio;atr_pct;dist_min52;dist_max52;pl;pvp;dy;roe;score;classificacao;score_trader;classificacao_trader;sinais_trader;liquidez;gema;volume_dia;alerta_spike
AGRO3;18,75;-2,75;-1,32;3,99;46,0;-0,01;36,5;1,86;2,27;5,0;21,3;-;0,92;-;-4.3%;55;OBSERVAR;25;NEUTRO;['Volume alto (1.9x)', 'Small Cap (potencial alto)'];baixa;True;324100;False
WIZC3;7,82;-2,98;-3,22;3,58;46,8;0,023;51,6;1,8;2,76;6,7;28,0;6.3;1,82;-;26.6%;45;OBSERVAR;25;NEUTRO;['Volume alto (1.8x)', 'Small Cap (potencial alto)'];baixa;True;569100;False
SHUL4;4,41;-2,0;-1,34;5,0;44,9;0,002;36,6;1,07;2,22;11,3;26,2;6.0;1,01;-;16.9%;45;OBSERVAR;10;EVITAR;['Small Cap (potencial alto)'];baixa;True;526800;False
BEEF3;4,13;3,77;8,97;35,86;65,4;0,018;80,7;1,76;4,69;39,1;77,1;10.6;2,59;-;23.2%;40;OBSERVAR;30;NEUTRO;['Volatilidade alta (ATR 4.7%)', 'Volume alto (1.8x)'];alta;False;41219100;False
CXSE3;19,82;-2,41;0,25;9,44;54,8;0,155;72,0;2,38;2,52;54,6;11,7;13.1;4,31;-;33.3%;40;OBSERVAR;15;EVITAR;['Volume alto (2.4x)'];alta;False;13195800;False
BBSE3;39,5;-4,13;-5,25;6,21;48,9;0,056;51,1;1,45;2,6;40,7;8,8;8.4;7,04;-;85.9%;40;OBSERVAR;0;EVITAR;[];alta;False;9254800;False
TEND3;32,11;-2,99;-4,49;-4,05;46,6;-0,058;32,0;1,09;5,01;56,4;16,0;6.8;2,56;-;40.6%;40;OBSERVAR;15;EVITAR;['Volatilidade alta (ATR 5.0%)'];alta;False;3239700;False
VIVA3;22,33;-1,85;-4,04;5,23;50,5;0,038;56,6;0,85;3,65;11,4;60,7;9.0;1,73;-;19.7%;40;OBSERVAR;15;EVITAR;['Volatilidade alta (ATR 3.7%)'];alta;False;2085700;False
CURY3;31,82;-1,73;-2,99;0,16;49,2;-0,037;44,9;0,57;4,1;20,4;26,5;8.7;5,92;-;68.5%;40;OBSERVAR;15;EVITAR;['Volatilidade alta (ATR 4.1%)'];alta;False;1857100;False
LEVE3;32,5;-1,72;-0,85;-4,41;49,5;0,002;42,2;1,01;2,1;32,4;11,4;6.3;4,57;-;81.6%;40;OBSERVAR;10;EVITAR;['Small Cap (potencial alto)'];baixa;True;219900;False
VAMO3;3,27;-4,94;-3,25;16,37;54,8;0,045;67,8;1,63;5,83;32,9;51,1;11.7;1,34;-;10.7%;35;NEUTRO;30;NEUTRO;['Volatilidade alta (ATR 5.8%)', 'Volume alto (1.6x)'];alta;False;31534400;False
HYPE3;22,76;-0,35;0,13;4,21;60,7;0,108;79,0;2,4;2,92;15,9;17,8;8.6;1,11;-;13.2%;35;NEUTRO;15;EVITAR;['Volume alto (2.4x)'];alta;False;7477700;False
CASH3;5,25;-0,57;-6,58;-1,87;49,8;-0,069;31,5;0,58;5,38;63,6;14,3;-;1,38;-;-20.8%;35;NEUTRO;15;EVITAR;['Volatilidade alta (ATR 5.4%)'];alta;False;1011300;False
VLID3;17,92;0,34;0,79;8,02;55,8;0,075;79,2;0,96;2,87;11,5;27,4;6.2;0,84;-;13.4%;35;NEUTRO;10;EVITAR;['Small Cap (potencial alto)'];baixa;True;224800;False
CVCB3;1,61;0,62;-10,06;25,78;49,4;-0,023;42,5;0,71;7,44;51,9;73,3;53.7;2,6;-;-33.3%;30;NEUTRO;15;EVITAR;['Volatilidade alta (ATR 7.4%)'];alta;False;10149000;False
RENT3;35,8;-2,74;-2,59;5,11;49,4;0,323;65,8;0,9;4,11;12,8;47,2;11.4;1,46;-;13.0%;30;NEUTRO;15;EVITAR;['Volatilidade alta (ATR 4.1%)'];alta;False;8690800;False
DIRR3;10,47;-4,3;-8,72;-1,13;37,5;0,023;21,9;0,91;4,36;2,8;64,8;6.4;2,34;-;41.9%;30;NEUTRO;15;EVITAR;['Volatilidade alta (ATR 4.4%)'];alta;False;8266100;False
ASAI3;9,82;-0,41;7,79;23,37;70,2;0,151;100,6;0,5;4,2;42,1;7,9;13.6;2,07;-;16.2%;30;NEUTRO;-5;EVITAR;['Volatilidade alta (ATR 4.2%)'];alta;False;6420300;False
SUZB3;47,81;-0,6;2,18;15,2;69,8;0,16;78,1;0,76;2,28;22,1;24,8;7.3;1,35;-;17.6%;30;NEUTRO;0;EVITAR;[];alta;False;6030500;False
MBRF3;17,09;0,89;-6,97;4,53;46,1;-0,209;30,8;0,65;4,05;17,9;61,8;61.0;2,08;-;0.9%;30;NEUTRO;15;EVITAR;['Volatilidade alta (ATR 4.1%)'];alta;False;3669800;False
GGPS3;13,05;-0,99;1,16;16,94;62,9;0,076;75,5;0,85;3,29;20,2;50,6;10.4;2,18;-;22.3%;30;NEUTRO;15;EVITAR;['Volatilidade alta (ATR 3.3%)'];alta;False;2875100;False
