ticker;preco;var_1d;var_5d;var_20d;rsi;macd_hist;bb_pct;vol_ratio;atr_pct;dist_min52;dist_max52;pl;pvp;dy;roe;score;classificacao;liquidez;gema;volume_dia
WIZC3;7,87;-2,36;-5,75;-7,52;37,2;-0,051;-13,7;1,8;2,85;12,7;27,2;6.5;1,83;-;28.6%;70;FORTE OPORTUNIDADE;baixa;True;474100
CMIG4;10,92;-1,71;-3,7;-4,04;44,1;-0,022;0,1;1,42;1,98;17,8;22,1;6.4;1,08;-;17.0%;65;FORTE OPORTUNIDADE;alta;False;14032200
SMFT3;18,15;-1,25;-7,87;-14,27;34,9;-0,227;-11,6;1,88;3,83;9,6;45,5;16.5;1,89;-;11.7%;65;FORTE OPORTUNIDADE;alta;False;12013000
BBSE3;38,38;-1,53;-2,25;-0,04;48,4;-0,199;15,4;1,48;2,0;37,4;6,2;8.1;6,84;-;85.9%;65;FORTE OPORTUNIDADE;alta;False;8335100
PASS3;22,83;-2,1;-8,09;-10,47;32,5;-0,175;-24,9;1,94;3,41;0,4;24,2;13.2;2,85;-;18.8%;65;FORTE OPORTUNIDADE;alta;False;1522800
ITUB3;43,65;-2,72;-4,32;-6,01;42,5;-0,223;-22,4;0,78;2,31;53,0;8,4;10.4;2,21;-;21.5%;65;FORTE OPORTUNIDADE;alta;False;1507200
SHUL4;4,33;-3,35;-3,35;-6,68;34,3;-0,005;-29,2;1,89;2,37;9,3;28,5;5.6;1,01;-;18.2%;65;FORTE OPORTUNIDADE;baixa;True;995900
BPAC11;53,91;-4,07;-5,09;-8,21;42,1;-0,213;-8,6;1,94;2,77;39,3;21,5;87.8;3,49;-;24.8%;60;FORTE OPORTUNIDADE;alta;False;15205800
EZTC3;10,76;-2,36;-2,8;-18,17;33,9;-0,024;12,8;2,37;3,87;10,0;54,2;5.1;0,58;-;10.6%;60;FORTE OPORTUNIDADE;alta;False;4406700
PSSA3;50,42;-4,24;-7,82;-8,28;35,0;-0,504;-35,1;2,9;2,68;17,5;10,2;8.9;2,08;-;24.2%;60;FORTE OPORTUNIDADE;alta;False;3878400
MLAS3;1,68;-1,75;-5,08;-1,75;44,5;-0,009;5,4;0,74;4,43;109,9;10,7;7.6;0,44;-;6.0%;60;FORTE OPORTUNIDADE;baixa;True;898900
