ticker;preco;var_1d;var_5d;var_20d;rsi;macd_hist;bb_pct;vol_ratio;atr_pct;dist_min52;dist_max52;pl;pvp;dy;roe;score;classificacao;score_trader;classificacao_trader;sinais_trader;liquidez;gema;volume_dia
BEEF3;4,05;6,86;4,38;17,73;62,2;0,02;78,6;2,02;4,73;36,4;80,6;10.7;2,54;-;23.2%;50;OBSERVAR;30;NEUTRO;['Volatilidade alta (ATR 4.7%)', 'Volume alto (2.0x)'];alta;False;41414700
PRIO3;60,09;-2,29;-0,74;4,6;47,8;-0,104;31,3;0,96;3,23;75,8;21,5;12.6;1,7;-;14.2%;45;OBSERVAR;15;EVITAR;['Volatilidade alta (ATR 3.2%)'];alta;False;6539800
OPCT3;11,45;4,76;9,78;6,61;64,8;0,173;109,6;1,53;3,73;78,9;0,1;13.6;2,21;-;17.2%;40;OBSERVAR;30;NEUTRO;['Volatilidade alta (ATR 3.7%)', 'Volume alto (1.5x)'];alta;False;1174700
BMOB3;25,96;3,67;4,8;14,57;66,8;0,275;95,8;1,73;3,13;40,4;8,5;14.0;2,3;-;16.4%;40;OBSERVAR;40;OBSERVAR;['Volatilidade alta (ATR 3.1%)', 'Volume alto (1.7x)', 'Small Cap (potencial alto)'];baixa;True;859100
RAPT4;4,82;-6,59;-0,21;-3,41;49,2;0,032;55,8;1,96;4,09;15,3;45,6;-;0,54;-;-1.4%;35;NEUTRO;30;NEUTRO;['Volatilidade alta (ATR 4.1%)', 'Volume alto (2.0x)'];alta;False;4930100
SHUL4;4,41;-1,34;-3,5;1,85;45,2;0,009;51,8;1,45;2,32;11,3;26,2;6.0;1,01;-;16.9%;35;NEUTRO;10;EVITAR;['Small Cap (potencial alto)'];baixa;True;694500
AGRO3;19,23;1,21;-0,31;6,42;58,2;0,057;75,5;2,08;2,2;7,7;18,3;-;0,94;-;-0.7%;35;NEUTRO;25;NEUTRO;['Volume alto (2.1x)', 'Small Cap (potencial alto)'];baixa;True;255700
VSTE3;2,44;-10,95;0,41;-15,57;40,5;0,036;28,5;4,64;6,29;3,0;130,2;6.0;0,26;-;-;35;NEUTRO;40;OBSERVAR;['Volatilidade alta (ATR 6.3%)', 'Volume alto (4.6x)', 'Small Cap (potencial alto)'];baixa;True;255200
MOTV3;16,64;1,09;10,49;14,84;77,4;0,249;101,3;1,27;2,82;23,2;6,7;9.9;1,88;-;22.0%;30;NEUTRO;-20;EVITAR;[];alta;False;20187800
UGPA3;37,2;2,06;10,62;22,45;77,2;0,325;96,9;0,73;3,0;106,7;1,0;11.4;2,41;-;19.8%;30;NEUTRO;-20;EVITAR;[];alta;False;8442800
VBBR3;36,76;-0,3;10,13;7,39;66,5;0,263;103,3;0,47;2,79;83,9;1,1;8.6;2,02;-;22.6%;30;NEUTRO;0;EVITAR;[];alta;False;4890400
BBSE3;42,12;1,03;5,25;9,74;74,8;0,445;97,3;0,47;2,1;50,1;2,0;8.9;7,51;-;85.9%;30;NEUTRO;-20;EVITAR;[];alta;False;3083600
SUZB3;46,71;-0,17;1,57;12,01;66,5;0,208;77,1;0,31;2,4;19,2;27,7;7.1;1,32;-;17.6%;30;NEUTRO;0;EVITAR;[];alta;False;2369000
ALPA4;13,47;-1,97;-6,46;-0,44;52,9;0,021;55,5;1,11;4,43;72,0;20,4;13.6;2,53;-;18.1%;30;NEUTRO;15;EVITAR;['Volatilidade alta (ATR 4.4%)'];alta;False;2259800
AMBP3;0,14;-6,67;-12,5;-12,5;39,2;-0,001;9,3;0,49;9,09;0,0;10114,3;-;0,21;-;-1.3%;30;NEUTRO;35;NEUTRO;['Preço tocando banda inferior Bollinger', 'Volatilidade alta (ATR 9.1%)'];alta;False;2256700
