ticker;preco;var_1d;var_5d;var_20d;rsi;macd_hist;bb_pct;vol_ratio;atr_pct;dist_min52;dist_max52;pl;pvp;dy;roe;score;classificacao;score_trader;classificacao_trader;sinais_trader;liquidez;gema;volume_dia;alerta_spike
CURY3;29,39;-3,54;-9,23;-6,55;38,2;-0,364;1,2;0,62;4,61;11,2;36,9;8.1;5,47;-;68.5%;60;FORTE OPORTUNIDADE;35;NEUTRO;['Preço tocando banda inferior Bollinger', 'Volatilidade alta (ATR 4.6%)'];alta;False;1922200;False
OPCT3;9,04;-13,49;-18,92;-5,44;31,5;-0,112;-8,5;0,9;5,79;25,0;29,5;10.8;1,75;-;17.2%;60;FORTE OPORTUNIDADE;75;FORTE OPORTUNIDADE;['RSI sobrevendido (31)', 'Preço tocando banda inferior Bollinger', 'Volatilidade alta (ATR 5.8%)', 'Small Cap (potencial alto)'];baixa;True;953400;False
DIRR3;9,97;-1,09;-8,87;-5,14;32,9;-0,088;5,3;0,36;4,41;2,3;73,1;6.1;2,23;-;41.9%;55;OBSERVAR;65;FORTE OPORTUNIDADE;['RSI sobrevendido (33)', 'Preço tocando banda inferior Bollinger', 'Volatilidade alta (ATR 4.4%)'];alta;False;3502600;False
CPFE3;44,61;-1,17;-3,94;5,49;47,5;-0,073;44,0;0,51;2,81;27,7;18,8;8.6;2,26;-;27.3%;50;OBSERVAR;10;EVITAR;['Small Cap (potencial alto)'];baixa;True;906700;False
KEPL3;6,43;0,31;-3,6;13,01;49,5;-0,019;42,9;0,67;2,45;15,4;63,3;7.9;1,4;-;18.3%;50;OBSERVAR;10;EVITAR;['Small Cap (potencial alto)'];baixa;True;812800;False
JALL3;2,29;-0,43;-12,93;3,15;43,8;-0,052;3,7;0,37;5,48;21,8;65,7;-;0,36;-;-2.6%;50;OBSERVAR;45;OBSERVAR;['Preço tocando banda inferior Bollinger', 'Volatilidade alta (ATR 5.5%)', 'Small Cap (potencial alto)'];baixa;True;451700;False
OBTC3;6,42;2,07;-12,41;-6,28;44,5;-0,087;16,8;0,13;7,33;12,4;77,3;-;1,8;-;-;45;OBSERVAR;45;OBSERVAR;['Preço tocando banda inferior Bollinger', 'Volatilidade alta (ATR 7.3%)', 'Small Cap (potencial alto)'];baixa;True;254300;False
SHUL4;4,31;-1,15;-4,22;-1,37;37,8;-0,015;2,9;0,49;2,21;8,8;29,1;5.9;0,98;-;16.9%;45;OBSERVAR;30;NEUTRO;['Preço tocando banda inferior Bollinger', 'Small Cap (potencial alto)'];baixa;True;237700;False
CMIN3;5,77;-5,1;-17,45;-2,37;42,0;-0,091;20,4;0,52;5,56;41,4;22,5;18.0;4,25;-;28.1%;40;OBSERVAR;15;EVITAR;['Volatilidade alta (ATR 5.6%)'];alta;False;3987900;False
RADL3;20,28;0,25;2,63;14,45;60,4;0,011;76,9;0,2;3,45;26,0;33,8;23.8;4,86;-;20.0%;40;OBSERVAR;35;NEUTRO;['MACD cruzou para positivo', 'Volatilidade alta (ATR 3.5%)'];alta;False;1528700;False
SAUD3;14,52;-0,82;-6,32;4,31;50,0;0,023;54,6;1,09;3,24;40,5;13,5;12.8;2,27;-;10.5%;35;NEUTRO;15;EVITAR;['Volatilidade alta (ATR 3.2%)'];alta;False;7241200;False
PRIO3;61,87;-1,13;-3,61;0,55;49,8;-0,093;39,7;0,77;3,26;81,0;18,0;13.0;1,75;-;14.2%;35;NEUTRO;15;EVITAR;['Volatilidade alta (ATR 3.3%)'];alta;False;5974600;False
VALE3;73,92;1,26;-5,51;2,48;41,8;-0,723;9,6;0,26;2,75;41,4;20,6;28.8;1,6;-;4.1%;35;NEUTRO;20;NEUTRO;['Preço tocando banda inferior Bollinger'];alta;False;5498700;False
RCSL3;0,56;7,69;33,33;36,59;75,0;0,017;128,3;2,23;8,52;60,0;108,9;9.3;-5,19;-;-;35;NEUTRO;-40;EVITAR;['Volatilidade alta (ATR 8.5%)', 'Volume alto (2.2x)', '⚠️ Movimento extremo já realizado — risco de perseguir preço'];alta;False;1286300;False
POMO3;4,13;-3,5;-3,05;9,29;44,6;0,022;38,7;0,69;3,42;11,3;58,2;4.3;1,21;-;28.3%;35;NEUTRO;15;EVITAR;['Volatilidade alta (ATR 3.4%)'];alta;False;1169000;False
TEND3;29,48;-4,22;-10,94;-8,02;36,1;-0,444;-2,5;0,35;5,23;43,6;26,3;6.2;2,35;-;40.6%;35;NEUTRO;45;OBSERVAR;['Preço tocando banda inferior Bollinger', 'Volatilidade alta (ATR 5.2%)', 'Small Cap (potencial alto)'];baixa;True;890100;False
PLPL3;6,71;-2,04;-6,81;-2,61;43,4;-0,033;16,1;0,37;5,62;4,5;159,0;4.4;1,22;-;31.8%;35;NEUTRO;45;OBSERVAR;['Preço tocando banda inferior Bollinger', 'Volatilidade alta (ATR 5.6%)', 'Small Cap (potencial alto)'];baixa;True;717900;False
LWSA3;3,93;-2,0;-2,96;2,08;44,2;-0,036;11,9;0,19;3,71;21,2;20,9;-;0,91;-;-7.8%;35;NEUTRO;45;OBSERVAR;['Preço tocando banda inferior Bollinger', 'Volatilidade alta (ATR 3.7%)', 'Small Cap (potencial alto)'];baixa;True;541000;False
PASS3;22,94;-0,43;-4,06;8,46;46,1;0,046;46,0;0,18;3,18;12,2;23,6;14.2;2,72;-;17.4%;35;NEUTRO;25;NEUTRO;['Volatilidade alta (ATR 3.2%)', 'Small Cap (potencial alto)'];baixa;True;217600;False
LAVV3;10,32;-3,64;-6,35;8,29;48,2;0,016;44,0;0,39;4,43;13,4;83,9;5.6;1,39;-;24.0%;35;NEUTRO;25;NEUTRO;['Volatilidade alta (ATR 4.4%)', 'Small Cap (potencial alto)'];baixa;True;204700;False
