ticker;preco;var_1d;var_5d;var_20d;rsi;macd_hist;bb_pct;vol_ratio;atr_pct;dist_min52;dist_max52;pl;pvp;dy;roe;score;classificacao;score_trader;classificacao_trader;sinais_trader;liquidez;gema;volume_dia;alerta_spike
GFSA3;0,2;-4,76;-4,76;-13,04;27,2;0,014;10,4;1,58;12,76;0,0;6235,0;-;0,0;-;-34.7%;50;OBSERVAR;80;FORTE OPORTUNIDADE;['RSI sobrevendido (27)', 'Preço tocando banda inferior Bollinger', 'Volatilidade alta (ATR 12.8%)', 'Volume alto (1.6x)'];alta;False;4708600;False
BEEF3;3,98;0,76;3,11;20,97;60,3;0,01;67,9;1,61;4,64;34,0;83,8;10.2;2,5;-;23.2%;40;OBSERVAR;30;NEUTRO;['Volatilidade alta (ATR 4.6%)', 'Volume alto (1.6x)'];alta;False;37354700;False
VIVA3;22,75;1,65;-4,25;8,64;54,8;0,087;69,6;0,78;3,62;13,5;57,8;9.1;1,76;-;19.7%;40;OBSERVAR;15;EVITAR;['Volatilidade alta (ATR 3.6%)'];alta;False;1962800;False
RAIL3;14,95;3,1;1,98;15,35;60,3;0,008;76,0;1,22;3,28;22,9;15,9;22.7;1,92;-;8.8%;35;NEUTRO;35;NEUTRO;['MACD cruzou para positivo', 'Volatilidade alta (ATR 3.3%)'];alta;False;16864700;False
SAUD3;15,5;6,16;6,31;11,67;67,0;0,163;118,8;2,06;3,09;50,0;6,3;13.7;2,42;-;10.5%;35;NEUTRO;30;NEUTRO;['Volatilidade alta (ATR 3.1%)', 'Volume alto (2.1x)'];alta;False;12625500;False
ONCO3;1,09;-6,84;-9,17;57,97;48,4;-0,036;36,2;0,28;21,97;105,7;258,5;-;72,67;-;-273.5%;35;NEUTRO;15;EVITAR;['Volatilidade alta (ATR 22.0%)'];alta;False;11773000;False
PRIO3;64,19;2,67;-0,34;8,54;60,1;0,038;92,3;1,26;3,06;87,8;13,7;13.4;1,82;-;14.2%;35;NEUTRO;35;NEUTRO;['MACD cruzou para positivo', 'Volatilidade alta (ATR 3.1%)'];alta;False;9413800;False
DESK3;19,17;0,79;1,7;2,57;64,3;0,006;98,7;1,73;1,52;150,3;0,3;39.9;1,56;-;4.7%;35;NEUTRO;35;NEUTRO;['MACD cruzou para positivo', 'Volume alto (1.7x)'];alta;False;1160400;False
SHUL4;4,5;0,9;1,12;7,14;52,8;0,009;65,8;1,65;2,1;13,6;23,6;6.2;1,03;-;16.9%;35;NEUTRO;25;NEUTRO;['Volume alto (1.6x)', 'Small Cap (potencial alto)'];baixa;True;785900;False
AGRO3;19,28;0,26;0,0;6,34;58,3;0,03;72,1;1,73;2,16;8,0;18,0;-;0,95;-;-4.3%;35;NEUTRO;25;NEUTRO;['Volume alto (1.7x)', 'Small Cap (potencial alto)'];baixa;True;287200;False
