ticker;preco;var_1d;var_5d;var_20d;rsi;macd_hist;bb_pct;vol_ratio;atr_pct;dist_min52;dist_max52;pl;pvp;dy;roe;score;classificacao;liquidez;gema;volume_dia
TFCO4;12,9;1,02;-2,93;-7,26;30,2;-0,139;15,5;0,99;3,62;2,1;40,9;13.2;3,41;-;25.7%;55;OBSERVAR;baixa;True;614100
AERI3;2,11;-0,94;-7,05;2,93;42,7;-0,013;16,7;4,17;4,57;5,5;116,1;-;-0,19;-;-;55;OBSERVAR;baixa;True;202100
SBSP3;23,86;0,46;0,25;-17,35;30,7;-0,186;22,0;1,63;3,36;9,2;48,0;10.0;1,84;-;18.8%;50;OBSERVAR;alta;False;36812600
GGBR4;22,14;-0,05;-9,75;-8,64;34,7;-0,41;2,0;1,49;3,81;41,7;18,2;19.3;0,81;-;4.2%;45;OBSERVAR;alta;False;16977100
RCSL4;0,7;6,06;25,0;20,69;62,9;0,003;68,4;1,05;7,86;174,5;296,1;12.5;-4,21;-;-;45;OBSERVAR;alta;False;10065000
CEAB3;7,5;-1,83;-4,34;-21,88;29,8;-0,091;17,7;0,78;5,34;4,3;141,0;4.1;0,59;-;15.5%;45;OBSERVAR;alta;False;7458400
FESA4;5,03;4,57;4,79;-16,72;33,8;-0,055;28,2;1,52;3,62;5,9;76,9;12.5;0,53;-;4.4%;45;OBSERVAR;alta;False;1375600
BRKM5;5,07;-0,59;2,84;-16,89;34,6;-0,002;17,5;1,64;8,51;7,9;171,8;-;-0,3;-;-;40;OBSERVAR;alta;False;12002800
BHIA3;0,43;4,88;-34,85;-46,25;20,5;-0,018;10,5;1,45;15,66;4,9;1174,4;-;-0,05;-;-;40;OBSERVAR;alta;False;8907400
HAPV3;6,36;-2,75;-3,34;-37,59;28,2;-0,334;18,7;0,55;9,97;5,8;570,8;-;0,06;-;-0.4%;40;OBSERVAR;alta;False;5602900
VBBR3;33,86;-2,17;0,62;-1,86;49,3;-0,129;31,7;0,66;3,08;78,4;8,2;8.0;1,86;-;22.6%;40;OBSERVAR;alta;False;5478800
DIRR3;10,64;1,53;-0,37;-10,14;39,1;0,01;30,8;0,63;4,02;4,5;62,2;6.5;2,38;-;41.9%;40;OBSERVAR;alta;False;5350100
AZZA3;14,54;-3,96;-2,87;-15,02;33,4;-0,055;5,2;1,33;5,27;1,0;124,5;3.0;0,02;-;4.0%;40;OBSERVAR;alta;False;3807100
SBFG3;8,2;3,02;-4,76;-12,39;32,2;-0,07;13,8;1,18;4,23;3,7;86,4;4.5;0,55;-;13.7%;40;OBSERVAR;alta;False;1695100
INTB3;13,84;-1,56;-2,05;4,09;48,9;-0,115;32,6;0,6;3,92;39,7;13,1;7.7;1,37;-;18.6%;40;OBSERVAR;baixa;True;999400
ALPA4;12,84;1,02;0,47;17,05;56,2;0,011;67,7;0,58;3,89;63,9;26,3;12.7;2,38;-;18.1%;40;OBSERVAR;baixa;True;637500
BBDC4;16,24;3,11;-1,81;-12,03;32,5;-0,161;22,5;1,19;2,52;9,5;30,8;7.4;0,95;-;13.8%;35;NEUTRO;alta;False;26780200
COGN3;2,14;1,42;0,47;-0,47;48,1;0,001;44,1;0,89;4,8;7,5;120,9;5.8;0,31;-;4.9%;35;NEUTRO;alta;False;25777100
LREN3;10,99;4,67;-1,96;-17,18;30,6;-0,157;21,7;0,91;4,48;4,9;50,2;6.9;0,99;-;14.5%;35;NEUTRO;alta;False;16944700
GOAU4;9,85;-0,81;-9,41;-5,36;36,1;-0,159;-9,8;1,26;3,56;49,3;16,1;16.2;0,67;-;4.2%;35;NEUTRO;alta;False;15126700
SUZB3;44,97;1,83;7,0;7,48;65,3;0,283;108,5;1,99;2,68;14,8;32,6;7.3;1,31;-;17.6%;35;NEUTRO;alta;False;12157400
SMTO3;19,27;4,67;27,53;31,36;80,8;0,522;117,2;2,18;3,95;51,4;11,0;7.5;0,84;-;11.3%;35;NEUTRO;alta;False;4964100
BBDC3;14,33;2,87;-1,24;-10,84;33,9;-0,127;23,8;0,82;2,38;13,0;26,9;6.6;0,84;-;13.8%;35;NEUTRO;alta;False;4188600
TEND3;31,14;0,81;-7,51;6,66;45,2;-0,033;42,1;1,25;4,46;57,5;19,6;6.5;2,47;-;40.6%;35;NEUTRO;alta;False;3230200
FLRY3;18,68;3,03;2,47;17,41;71,7;0,011;83,7;2,12;2,65;44,7;3,3;16.0;2,02;-;12.6%;35;NEUTRO;alta;False;2772300
VIVT3;29,33;0,17;-1,38;-16,95;28,4;-0,087;24,7;1,11;2,57;0,8;40,6;14.4;1,37;-;9.9%;35;NEUTRO;alta;False;2623300
MLAS3;1,81;7,1;0,0;3,43;54,8;0,001;69,8;0,7;6,1;126,1;7,7;4.7;0,47;-;9.8%;35;NEUTRO;alta;False;1500500
MELK3;2,78;1,46;0,72;-4,14;40,9;0,008;36,4;1,83;2,67;3,7;44,1;5.0;0,55;-;13.5%;35;NEUTRO;baixa;True;315000
ABEV3;15,25;1,67;3,95;-3,85;47,5;0,005;45,7;1,06;2,1;38,2;11,4;14.5;2,67;-;18.4%;30;NEUTRO;alta;False;34068000
UGPA3;33,72;0,4;2,66;8,2;67,6;0,141;92,9;1,25;2,98;105,2;1,2;10.6;2,25;-;19.8%;30;NEUTRO;alta;False;12358400
TIMS3;18,58;0,92;2,37;-13,58;37,8;0,099;42,5;0,63;3,02;4,1;52,6;10.2;1,82;-;17.3%;30;NEUTRO;alta;False;6471800
EGIE3;27,63;1,3;0,54;-4,11;34,3;-0,017;25,2;0,66;2,64;4,2;37,7;8.2;2,13;-;28.6%;30;NEUTRO;alta;False;3668300
CURY3;29,9;-0,17;-3,96;3,89;44,8;-0,011;31,3;0,98;4,08;13,2;34,6;8.4;5,64;-;68.5%;30;NEUTRO;alta;False;3149200
GRND3;3,51;-0,43;-1,25;-3,91;45,7;0,013;47,5;0,61;2,6;5,1;39,1;5.5;1,0;-;17.9%;30;NEUTRO;alta;False;2180800
TOTS3;31,92;-0,81;4,42;8,65;57,4;0,077;69,7;0,51;3,64;19,3;49,4;21.0;3,35;-;17.0%;30;NEUTRO;alta;False;2098200
PASS3;21,55;0,7;-1,78;-12,96;37,1;-0,152;25,9;1,84;4,18;5,4;31,6;13.4;2,89;-;17.4%;30;NEUTRO;alta;False;1382900
PSSA3;47,59;2,19;0,15;-12,34;36,7;-0,319;29,8;0,76;2,79;10,9;16,7;8.4;1,89;-;24.2%;30;NEUTRO;alta;False;1340600
ALUP11;32,13;3,44;2,95;-1,48;52,3;0,018;60,5;1,15;2,2;13,7;14,0;7.7;1,09;-;15.8%;30;NEUTRO;alta;False;1320400
KLBN3;3,84;2,13;7,26;8,78;67,4;0,011;114,5;1,63;2,36;19,7;10,4;127.0;0,49;-;3.7%;30;NEUTRO;alta;False;1108300
MILS3;15,65;-0,06;0,32;1,43;56,3;-0,016;55,1;0,5;0,83;53,4;1,9;8.4;1,9;-;26.3%;30;NEUTRO;baixa;True;592700
LAVV3;9,74;1,46;3,07;-3,56;44,8;0,038;44,6;0,57;4,22;7,0;94,9;5.3;1,32;-;24.0%;30;NEUTRO;baixa;True;586400
TGMA3;34,38;1,72;3,43;15,04;70,7;0,103;78,1;0,83;2,79;31,9;15,0;9.1;2,3;-;25.6%;30;NEUTRO;baixa;True;453300
BRBI11;12,15;2,7;1,93;-15,23;34,0;-0,063;29,5;0,81;3,45;3,8;74,3;28.2;1,61;-;19.7%;30;NEUTRO;baixa;True;296000
CSAN3;3,5;-3,85;8,7;-11,39;46,8;0,004;41,2;0,76;5,35;13,3;129,4;-;2,78;-;-27.2%;25;NEUTRO;alta;False;23643300
USIM5;7,12;8,7;11,95;-17,31;48,1;0,044;53,5;1,9;4,97;72,8;71,1;-;0,42;-;-8.1%;25;NEUTRO;alta;False;21180100
CPLE3;14,35;1,41;4,06;-2,91;49,9;0,014;50,5;0,85;2,42;40,9;17,6;13.3;1,89;-;12.8%;25;NEUTRO;alta;False;14417200
KLBN11;18,49;0,87;5,36;5,54;64,6;0,021;89,2;1,18;2,14;15,4;14,9;28.3;2,42;-;3.7%;25;NEUTRO;alta;False;6145700
SANB11;29,55;2,0;-1,27;12,19;60,3;-0,061;66,0;0,65;2,49;18,5;23,4;14.5;0,87;-;11.2%;25;NEUTRO;alta;False;5913200
PRIO3;61,62;-1,96;0,06;10,61;57,3;0,268;77,1;0,72;2,88;80,3;18,4;12.9;1,74;-;14.2%;25;NEUTRO;alta;False;5147800
MOVI3;7,03;-1,26;6,52;-14,12;41,0;0,033;37,6;0,79;5,17;10,4;112,9;5.8;0,72;-;13.2%;25;NEUTRO;alta;False;3810500
EZTC3;11,27;7,23;5,62;-0,25;52,4;0,094;79,0;2,74;3,76;11,8;45,9;6.6;0,58;-;10.6%;25;NEUTRO;alta;False;3091300
AZEV3;10,15;21,7;93,33;293,41;83,4;0,536;126,0;1,69;9,01;725,2;4,4;-;2,69;-;-111.2%;25;NEUTRO;alta;False;2686400
GFSA3;0,22;4,76;4,76;-37,14;23,5;0,024;35,2;0,93;17,48;10,0;6236,4;-;0,0;-;-34.7%;25;NEUTRO;alta;False;2449400
PGMN3;3,32;-1,48;-1,48;0,0;46,7;0,017;51,7;0,43;4,24;7,4;129,5;6.6;0,7;-;10.6%;25;NEUTRO;alta;False;2187400
OBTC3;7,45;6,43;18,25;21,93;74,4;0,108;127,0;1,63;3,69;30,5;52,8;-;1,72;-;-;25;NEUTRO;alta;False;1216200
MDIA3;17,2;-0,41;1,59;0,17;48,3;0,04;54,7;0,93;2,62;2,9;67,9;9.0;0,7;-;7.8%;25;NEUTRO;baixa;True;629900
EVEN3;4,28;3,13;0,0;-12,65;36,4;-0,001;26,3;1,53;4,6;4,1;99,3;3.5;0,44;-;11.1%;25;NEUTRO;baixa;True;629400
RANI3;7,74;0,78;0,13;-2,23;43,0;-0,046;24,2;1,07;2,39;7,0;25,4;13.7;1,23;-;9.2%;25;NEUTRO;baixa;True;571500
POSI3;3,4;3,03;2,41;-4,23;43,3;0,005;39,2;1,37;4,42;6,9;41,2;38.0;0,31;-;0.8%;25;NEUTRO;baixa;True;500500
RCSL3;0,42;2,44;2,44;-2,33;46,9;-0,006;36,0;1,63;9,65;20,0;178,6;6.8;-3,8;-;-;25;NEUTRO;baixa;True;424700
PFRM3;7,08;3,51;-1,39;13,28;56,0;-0,004;65,4;0,44;3,96;15,9;37,0;5.8;0,63;-;9.8%;25;NEUTRO;baixa;True;374100
SANB3;14,57;1,25;-2,48;13,12;58,0;-0,065;59,0;0,19;3,04;23,5;23,7;8.4;0,43;-;11.2%;25;NEUTRO;baixa;True;233900
SANB4;14,78;2,07;-1,14;9,48;59,4;-0,001;71,8;0,24;2,74;15,0;25,0;8.4;0,44;-;11.2%;25;NEUTRO;baixa;True;207500
PETR4;42,11;-1,96;2,26;5,91;58,4;0,137;76,3;1,12;2,47;57,6;13,2;4.1;1,13;-;30.3%;20;NEUTRO;alta;False;49502500
POMO4;4,44;-0,67;8,29;-15,75;38,6;0,034;40,3;1,3;3,8;9,6;79,1;4.6;1,3;-;28.3%;20;NEUTRO;alta;False;20076400
ITUB4;38,6;2,91;-1,03;-8,27;38,9;-0,268;26,4;1,17;2,53;17,6;26,2;9.3;1,96;-;21.5%;20;NEUTRO;alta;False;18970400
CMIG4;10,21;1,69;0,0;-8,59;36,4;-0,064;26,9;0,8;2,5;7,2;30,6;6.3;1,0;-;15.9%;20;NEUTRO;alta;False;11954300
PETR3;46,94;-2,19;1,68;4,8;55,9;0,104;65,8;0,84;2,66;65,0;13,2;4.6;1,26;-;30.3%;20;NEUTRO;alta;False;8728900
MOTV3;14,5;5,15;5,07;0,49;53,5;-0,021;59,0;2,65;2,72;8,4;22,4;8.6;1,64;-;22.0%;20;NEUTRO;alta;False;8312000
CMIN3;5,9;4,8;6,5;3,69;58,4;-0,024;74,8;1,25;4,99;44,6;8,0;18.7;4,39;-;28.1%;20;NEUTRO;alta;False;7316100
WEGE3;49,07;-0,41;2,25;5,75;63,1;0,052;82,2;1,11;2,31;44,2;10,6;32.9;11,82;-;30.8%;20;NEUTRO;alta;False;7208200
MULT3;26,86;1,94;0,49;-4,21;41,4;-0,102;27,3;1,17;2,56;6,0;31,3;9.7;1,96;-;21.9%;20;NEUTRO;alta;False;3397800
SEER3;11,1;8,19;-1,51;-2,72;45,7;-0,121;31,1;2,03;4,84;37,8;27,3;5.9;0,99;-;19.1%;20;NEUTRO;alta;False;3062500
VIVA3;21,52;1,08;3,11;0,47;48,6;-0,011;45,5;0,75;3,48;7,4;66,8;8.7;1,68;-;19.7%;20;NEUTRO;alta;False;2669400
POMO3;4,16;-0,48;8,05;-15,45;38,3;0,034;40,6;0,77;3,83;8,6;62,0;4.3;1,27;-;28.3%;20;NEUTRO;alta;False;1607800
DXCO3;4,99;1,42;0,2;-0,4;47,6;-0,028;28,4;0,75;3,49;12,7;24,6;-;0,66;-;0.7%;20;NEUTRO;alta;False;1285200
ITUB3;41,39;2,63;-1,19;-7,37;39,0;-0,308;24,4;0,78;2,39;42,4;14,3;10.0;2,11;-;21.5%;20;NEUTRO;alta;False;1269500
SAPR11;33,23;0,24;1,84;-8,68;42,3;0,036;39,5;1,44;3,2;6,7;46,6;41.0;0,83;-;3.8%;20;NEUTRO;alta;False;1128300
PLPL3;6,9;2,53;2,22;-8,49;44,7;0,045;42,3;0,49;5,03;7,5;151,9;4.4;1,35;-;31.8%;20;NEUTRO;baixa;True;954600
KEPL3;6,24;1,79;6,3;-2,5;54,8;0,031;64,4;0,73;3,11;12,0;68,3;7.8;1,36;-;18.3%;20;NEUTRO;baixa;True;924500
FIQE3;4,58;0,66;-4,38;-17,03;34,7;-0,047;21,2;0,56;4,37;40,6;67,1;7.5;1,59;-;18.1%;20;NEUTRO;baixa;True;682100
MDNE3;23,57;0,26;0,73;-7,2;42,9;0,021;34,2;0,52;3,94;16,0;45,4;4.0;1,15;-;28.0%;20;NEUTRO;baixa;True;556100
TASA4;5,23;1,16;6,52;9,41;65,9;0,047;98,7;1,09;3,77;28,8;16,0;30.9;0,61;6.0%;2.1%;20;NEUTRO;baixa;True;521300
SHUL4;4,46;3,0;3,72;-1,11;51,8;0,015;60,3;0,49;2,47;12,6;24,7;6.1;1,06;-;16.9%;20;NEUTRO;baixa;True;382800
WIZC3;7,65;-1,29;1,73;-6,48;42,8;-0,009;35,6;0,85;2,93;4,4;30,9;6.3;1,78;-;28.6%;20;NEUTRO;baixa;True;298600
BBAS3;18,6;0,92;3,62;-9,27;39,5;-0,131;31,0;0,84;2,81;4,6;48,1;8.7;0,58;-;10.5%;15;EVITAR;alta;False;22663400
BEEF3;3,93;-1,5;15,93;13,58;63,7;0,076;95,4;0,9;4,79;32,3;86,1;10.1;2,47;-;23.2%;15;EVITAR;alta;False;14759500
VAMO3;2,82;2,92;0,71;-11,04;45,1;-0,032;34,3;0,96;5,37;14,6;75,2;9.7;1,15;-;10.7%;15;EVITAR;alta;False;14102900
NATU3;8,25;0,24;7,7;-2,83;52,8;0,019;62,6;1,91;3,64;15,7;35,2;-;0,9;-;-2.5%;15;EVITAR;alta;False;9914100
CYRE3;23,11;2,39;8,35;11,64;63,5;0,214;120,5;1,36;3,63;17,0;55,8;5.1;0,93;-;20.6%;15;EVITAR;alta;False;9813400
BBSE3;38,1;2,45;2,14;-1,24;52,4;-0,139;49,0;1,2;2,06;35,8;7,0;8.1;6,79;-;85.9%;15;EVITAR;alta;False;7722300
RENT3;33,7;-0,65;0,81;-10,66;37,6;-0,135;29,0;0,79;3,85;6,2;56,3;10.7;1,4;-;13.0%;15;EVITAR;alta;False;7510300
RAIZ4;0,24;0,0;4,35;-7,69;36,1;0,003;34,8;0,46;8,46;14,3;491,7;-;-0,28;-;-839.8%;15;EVITAR;alta;False;7174900
PCAR3;2,86;0,0;4,38;4,38;58,7;-0,011;72,7;1,11;5,95;104,3;60,8;-;3,45;-;-129.4%;15;EVITAR;alta;False;5243400
EMBJ3;97,27;-1,01;-1,77;17,9;62,7;0,205;69,0;0,85;2,97;43,4;8,1;31.3;3,9;-;12.2%;15;EVITAR;alta;False;4470600
ECOR3;6,67;-0,3;11,54;-6,45;51,1;0,051;56,9;0,73;4,14;14,2;78,9;8.4;1,13;-;12.3%;15;EVITAR;alta;False;3998000
CSMG3;54,56;0,11;-0,4;-13,96;34,0;-0,673;21,4;0,85;3,42;107,7;24,3;16.0;2,34;-;15.0%;15;EVITAR;alta;False;3775800
LIGT3;3,22;0,0;-0,92;1,58;53,7;0,005;70,1;0,92;6,02;33,6;101,6;2.2;0,13;-;32.4%;15;EVITAR;alta;False;2922900
LWSA3;4,06;3,84;1,87;14,04;60,4;0,031;101,9;0,67;4,01;25,2;17,0;-;0,92;-;-7.8%;15;EVITAR;alta;False;2673600
AURE3;10,23;1,29;1,79;-8,58;35,2;-0,032;25,9;0,61;3,12;2,8;43,3;-;0,93;-;-7.7%;15;EVITAR;alta;False;2552800
AMBP3;0,16;6,67;6,67;0,0;53,4;0,001;70,6;0,49;9,17;14,3;8837,5;-;0,24;-;-1.3%;15;EVITAR;alta;False;2360100
ISAE4;26,08;0,23;1,87;-2,25;45,3;0,064;48,9;0,66;2,45;25,1;22,9;6.1;0,78;-;13.2%;15;EVITAR;alta;False;2035800
CBAV3;11,18;0,09;0,99;2,38;72,4;-0,002;81,4;0,72;0,54;270,5;0,1;12.1;1,43;-;14.6%;15;EVITAR;alta;False;1586600
AXIA7;51,5;1,0;3,71;4,15;52,5;0,0;54,8;0,84;3,02;9,2;26,7;-;1,22;-;10.0%;15;EVITAR;baixa;True;993900
JSLG3;5,28;0,76;5,39;-5,04;48,6;0,012;47,1;1,06;4,76;36,4;67,0;-;1,27;-;-7.0%;15;EVITAR;baixa;True;958400
