ticker;preco;var_1d;var_5d;var_20d;rsi;macd_hist;bb_pct;vol_ratio;atr_pct;dist_min52;dist_max52;pl;pvp;dy;roe;score;classificacao;liquidez;gema;volume_dia
ITSA4;12,63;-3,73;-7,47;-9,14;32,4;-0,125;-30,3;1,98;2,4;34,8;19,2;7.8;1,57;-;18.9%;70;FORTE OPORTUNIDADE;alta;False;34988000
PSSA3;48,6;0,43;-9,12;-11,99;30,3;-0,809;-4,7;0,03;2,66;13,3;14,3;8.6;1,98;-;24.2%;70;FORTE OPORTUNIDADE;alta;False;2116500
CMIG4;10,4;-2,62;-7,8;-7,14;32,4;-0,083;-29,1;1,51;2,26;10,4;28,2;6.1;1,03;-;17.0%;65;FORTE OPORTUNIDADE;alta;False;15796000
UGPA3;30,99;-0,03;-4,94;2,92;49,0;-0,397;7,1;1,08;2,86;100,7;7,7;10.9;2,01;-;19.2%;65;FORTE OPORTUNIDADE;alta;False;9313500
PASS3;21,73;0,0;-10,28;-13,46;26,5;-0,328;-5,9;2,09;3,46;0,0;30,5;12.6;2,71;-;18.8%;65;FORTE OPORTUNIDADE;baixa;True;872000
RENT3;34,71;-4,38;-11,2;-14,38;31,9;-0,134;-15,3;1,88;3,97;11,5;51,8;11.0;1,44;-;13.0%;60;FORTE OPORTUNIDADE;alta;False;15375400
MOVI3;6,86;-7,92;-10,91;-22,22;27,1;-0,038;-12,3;2,68;5,93;13,0;118,2;6.6;0,76;-;13.2%;60;FORTE OPORTUNIDADE;alta;False;13115400
VBBR3;33,23;-0,63;-6,24;-0,21;45,7;-0,388;1,8;1,39;2,95;85,1;10,2;12.9;1,82;-;14.0%;60;FORTE OPORTUNIDADE;alta;False;11322000
CXSE3;18,45;-2,54;-6,58;-14,82;30,2;-0,321;4,9;1,08;2,92;48,7;20,0;12.9;4,02;-;33.3%;60;FORTE OPORTUNIDADE;alta;False;7059200
CSMG3;57,9;-4,41;-9,4;-12,41;34,2;-0,745;-31,7;2,12;3,23;139,0;17,1;16.2;2,5;-;15.9%;60;FORTE OPORTUNIDADE;alta;False;6984500
ITUB4;39,0;-3,51;-7,36;-10,57;31,5;-0,409;-28,6;2,25;2,56;21,0;24,9;9.6;1,97;-;21.5%;55;OBSERVAR;alta;False;44710200
BEEF3;3,27;-0,91;-9,67;-12,1;33,6;-0,024;-5,3;1,48;3,66;1,9;123,7;7.0;2,56;-;83.8%;55;OBSERVAR;alta;False;11613500
MOTV3;14,03;-2,37;-6,22;-7,39;39,3;-0,064;-9,0;1,81;2,73;10,8;26,5;8.4;1,59;-;22.0%;55;OBSERVAR;alta;False;11419900
DIRR3;11,01;-2,74;-5,82;-15,24;34,6;0,013;5,9;0,94;4,05;0,6;56,7;7.1;2,69;-;42.9%;55;OBSERVAR;alta;False;6579600
EGIE3;29,09;-0,55;-3,45;-9,85;34,3;0,038;-2,6;1,15;2,68;8,7;33,4;8.5;2,21;-;28.6%;55;OBSERVAR;alta;False;6305400
GRND3;3,43;-0,87;-6,28;-12,05;26,2;-0,025;-3,8;2,09;2,86;0,9;45,0;4.9;0,98;-;17.9%;55;OBSERVAR;alta;False;5752700
GGPS3;11,01;0,09;-5,74;-14,05;33,4;-0,069;4,4;0,0;3,18;1,4;78,5;11.7;2,01;-;17.1%;55;OBSERVAR;alta;False;3546700
KLBN4;3,49;0,29;-5,93;0,58;44,6;-0,017;18,3;0,05;2,03;8,8;20,6;116.3;0,47;-;3.7%;55;OBSERVAR;alta;False;2916700
KEPL3;5,91;0,34;-6,19;-8,66;26,8;-0,044;-3,7;0,01;2,58;1,9;77,7;7.0;1,29;-;19.6%;55;OBSERVAR;alta;False;1931300
SHUL4;4,23;0,0;-6,42;-6,0;29,9;-0,026;-8,5;1,33;2,41;6,8;31,5;5.5;0,99;-;18.2%;55;OBSERVAR;baixa;True;562200
WIZC3;7,64;1,19;-5,8;-8,83;33,3;-0,084;-2,6;0,04;3,05;5,2;31,1;6.3;1,78;-;28.6%;55;OBSERVAR;baixa;True;538400
BBDC4;16,79;-2,27;-7,69;-9,78;28,7;-0,213;-15,6;1,77;2,53;16,9;26,5;7.7;0,98;-;13.8%;50;OBSERVAR;alta;False;51847000
CSAN3;3,28;-4,93;-19,01;-15,68;29,3;-0,07;-23,6;2,14;5,06;2,5;144,8;-;3,68;-;-29.9%;50;OBSERVAR;alta;False;44119000
LREN3;12,03;-0,74;-12,0;-15,82;29,2;-0,141;-11,4;1,56;4,52;5,2;37,3;8.0;1,13;-;14.5%;50;OBSERVAR;alta;False;27025200
CSNA3;4,28;-4,04;-10,65;-17,69;33,9;-0,071;1,3;1,89;6,51;2,1;164,5;-;0,44;-;-8.3%;50;OBSERVAR;alta;False;25893200
BBAS3;19,28;-3,74;-8,15;-6,36;34,6;-0,178;-18,4;1,03;2,56;3,7;42,9;8.7;0,59;-;9.2%;50;OBSERVAR;alta;False;17787900
VAMO3;2,8;-3,78;-15,92;-11,11;34,9;-0,054;-14,9;1,3;4,87;4,5;76,4;10.0;1,15;-;12.1%;50;OBSERVAR;alta;False;13740900
ANIM3;1,99;-4,33;-9,13;-30,66;34,9;0,014;3,7;0,63;7,07;3,6;165,8;5.5;0,31;-;8.7%;50;OBSERVAR;alta;False;10866600
EQTL3;35,81;-2,61;-8,67;-12,55;30,7;-0,302;-19,0;1,84;2,7;7,9;29,3;38.1;1,75;-;6.9%;50;OBSERVAR;alta;False;10469900
BBSE3;37,33;0,19;-5,86;-3,64;40,6;-0,366;-3,2;0,0;2,0;33,6;9,2;7.9;6,65;-;85.9%;50;OBSERVAR;alta;False;7997000
SIMH3;6,15;-8,89;-18,65;-23,7;26,9;-0,107;-31,0;2,2;6,1;0,0;137,5;-;0,62;-;0.6%;50;OBSERVAR;alta;False;5571600
SBFG3;8,77;0,57;-6,3;-12,56;32,7;-0,049;-2,5;0,01;3,93;1,9;74,3;6.1;0,62;-;13.7%;50;OBSERVAR;alta;False;5140000
ECOR3;6,04;0,5;-16,57;-20,21;30,8;-0,104;-8,1;0,0;4,61;0,5;97,6;7.6;1,02;-;12.3%;50;OBSERVAR;alta;False;4071300
VIVT3;30,19;0,17;-3,27;-14,52;26,7;-0,374;14,6;0,0;2,65;1,7;36,6;14.7;1,4;-;9.9%;50;OBSERVAR;alta;False;3572700
FESA4;5,16;1,38;-13,42;-12,39;25,9;-0,086;-12,6;0,03;3,48;2,2;72,5;11.5;0,53;-;4.4%;50;OBSERVAR;alta;False;3264700
SAPR4;6,34;1,44;-7,71;-12,67;26,5;-0,072;-7,6;0,04;2,67;3,7;45,6;8.3;0,15;-;9.9%;50;OBSERVAR;alta;False;3151100
GFSA3;0,22;0,0;-12,0;-60,71;16,1;0,018;19,0;0,46;24,36;4,8;7190,9;-;0,0;-;-34.7%;50;OBSERVAR;alta;False;3048000
EZTC3;10,35;0,39;-7,92;-15,58;30,3;-0,058;1,1;0,01;3,82;5,8;60,3;6.3;0,55;-;10.6%;50;OBSERVAR;alta;False;2172100
ALUP11;30,9;0,23;-5,65;-8,44;32,4;-0,249;-4,1;0,0;2,09;10,8;19,3;7.4;1,11;-;12.7%;50;OBSERVAR;baixa;True;886000
IRBR3;49,5;0,92;-8,67;-12,62;30,9;-0,683;-0,3;0,01;3,03;11,7;30,8;11.5;0,76;-;6.7%;50;OBSERVAR;baixa;True;573200
SAPR3;6,92;0,87;-8,34;-17,81;23,1;-0,098;-1,1;0,02;4,11;3,3;70,4;9.1;0,16;-;9.9%;50;OBSERVAR;baixa;True;329100
VLID3;16,54;0,36;-9,77;-8,52;33,8;-0,199;-3,5;0,02;3,01;0,4;39,5;5.7;0,76;-;13.4%;50;OBSERVAR;baixa;True;312800
BLAU3;8,35;-2,79;-5,86;-18,85;28,0;-0,004;8,4;0,95;3,61;0,8;71,1;8.9;0,84;-;10.9%;50;OBSERVAR;baixa;True;273400
ABEV3;15,01;-1,7;-5,42;-5,06;31,6;-0,073;-19,0;1,14;2,22;36,0;13,2;14.6;2,63;-;18.4%;45;OBSERVAR;alta;False;33997000
SBSP3;25,99;-2,11;-7,21;-14,34;32,9;-0,208;0,2;1,13;3,08;19,9;35,9;10.2;2,09;-;21.2%;45;OBSERVAR;alta;False;15023700
GGBR4;24,16;-4,32;-6,61;3,6;48,5;-0,086;32,5;1,64;3,21;57,1;9,4;21.0;0,89;-;4.2%;45;OBSERVAR;alta;False;13829000
POMO4;4,32;-2,04;-10,19;-23,13;20,3;-0,08;-2,0;0,82;4,17;0,2;84,0;4.5;1,32;-;30.9%;45;OBSERVAR;alta;False;11047000
RDOR3;33,17;-2,36;-3,58;-7,99;39,5;-0,09;12,3;1,95;2,8;3,1;35,5;15.9;3,69;-;19.2%;45;OBSERVAR;alta;False;10531500
CEAB3;8,67;-2,69;-10,8;-17,27;33,8;-0,037;-6,1;0,85;5,24;1,0;108,5;4.7;0,68;-;15.5%;45;OBSERVAR;alta;False;6481600
KLBN11;17,57;0,11;-5,74;1,04;46,3;-0,079;27,3;0,0;1,99;9,6;20,9;26.6;2,39;-;3.7%;45;OBSERVAR;alta;False;4675400
SAUD3;13,73;0,22;-5,11;-10,55;38,1;-0,217;9,7;0,0;3,31;32,9;20,0;12.2;5,84;-;10.5%;45;OBSERVAR;alta;False;3573000
VIVA3;20,86;-0,14;-6,42;-11,31;36,2;-0,145;5,3;0,02;3,57;4,1;72,1;8.4;1,62;-;19.7%;45;OBSERVAR;alta;False;2921900
MULT3;27,15;0,07;-5,4;-8,71;39,1;-0,126;0,4;0,31;2,51;9,4;29,9;9.7;2,06;-;21.9%;45;OBSERVAR;alta;False;2583100
MLAS3;1,59;1,92;-10,17;-7,02;37,7;-0,025;-3,5;0,04;4,66;98,6;17,0;7.2;0,42;-;6.0%;45;OBSERVAR;alta;False;1889100
POMO3;4,04;0,0;-7,13;-19,2;21,7;-0,06;4,2;0,02;4,28;0,7;66,9;4.2;1,23;-;30.9%;45;OBSERVAR;alta;False;1726500
PLPL3;6,56;0,77;-10,87;-20,68;34,3;-0,045;2,7;0,01;5,71;1,7;164,9;3.9;1,25;-;38.0%;45;OBSERVAR;alta;False;1483900
PNVL3;11,44;0,53;-7,89;2,88;46,0;-0,049;33,4;0,0;4,08;30,6;42,4;13.0;1,26;-;10.8%;45;OBSERVAR;alta;False;1270500
LAVV3;9,24;0,22;-12,58;-16,53;33,1;-0,088;3,0;0,01;4,69;1,1;105,4;4.6;1,25;-;24.0%;45;OBSERVAR;alta;False;1060300
BRBI11;12,51;1,71;-13,12;-16,82;25,3;-0,206;-2,3;0,03;3,69;1,9;71,8;28.4;1,62;-;19.7%;45;OBSERVAR;baixa;True;849700
FIQE3;5,11;2,2;-3,4;-9,25;32,2;-0,022;4,2;0,03;2,96;70,3;49,8;8.2;1,7;-;18.8%;45;OBSERVAR;baixa;True;802600
TAEE4;12,86;-0,23;-4,03;-6,27;31,4;-0,08;1,3;0,13;1,9;26,1;16,3;8.5;0,56;-;20.6%;45;OBSERVAR;baixa;True;405400
TAEE3;12,67;-0,55;-3,58;-6,29;32,3;-0,066;3,6;0,15;2,38;25,0;15,2;8.3;0,55;-;20.6%;45;OBSERVAR;baixa;True;218900
BPAC11;50,13;-5,56;-10,37;-12,23;32,5;-0,553;-31,6;4,2;3,28;22,5;28,8;81.6;3,24;-;24.4%;40;OBSERVAR;alta;False;38429900
COGN3;2,03;-4,69;-10,18;-12,88;35,3;-0,008;-4,8;1,18;4,77;0,0;132,8;6.0;0,3;-;4.7%;40;OBSERVAR;alta;False;29209600
MGLU3;4,26;-1,39;-13,41;-15,64;34,1;-0,053;-5,8;1,16;6,08;5,7;168,7;35.5;0,29;-;1.2%;40;OBSERVAR;alta;False;20936000
AXIA3;49,43;-4,67;-7,97;-6,08;36,7;-0,068;9,1;1,66;3,15;23,7;37,2;9.5;1,15;-;10.0%;40;OBSERVAR;alta;False;19947700
RADL3;18,38;0,55;-10,56;-1,55;47,7;-0,035;39,0;0,0;3,5;14,6;47,6;21.8;4,36;-;20.0%;40;OBSERVAR;alta;False;16143300
USIM5;6,62;-7,54;-11,97;-19,56;24,3;-0,098;-2,7;1,54;5,52;68,9;84,0;-;0,4;-;-8.1%;40;OBSERVAR;alta;False;16037600
ENEV3;24,55;-3,04;-9,61;-9,64;37,7;-0,142;-2,9;1,66;2,94;82,7;14,5;40.9;2,31;-;8.7%;40;OBSERVAR;alta;False;12371700
SMFT3;17,58;0,23;-11,84;-16,17;31,5;-0,306;0,9;0,0;3,61;6,2;50,2;16.0;1,83;-;11.7%;40;OBSERVAR;alta;False;12051500
MRVE3;4,28;-2,28;-7,36;-11,57;33,1;-0,003;-3,8;1,08;5,11;0,9;146,0;-;0,46;-;-11.8%;40;OBSERVAR;alta;False;10830700
BBDC3;14,72;-2,32;-7,55;-9,43;30,1;-0,177;-15,2;1,48;2,46;20,3;23,6;6.7;0,87;-;13.8%;40;OBSERVAR;alta;False;9406400
