ticker;preco;var_1d;var_5d;var_20d;rsi;macd_hist;bb_pct;vol_ratio;atr_pct;dist_min52;dist_max52;pl;pvp;dy;roe;score;classificacao;liquidez;gema;volume_dia
IRBR3;53,84;-0,48;-5,54;-2,12;43,5;-0,338;12,7;1,26;2,61;26,8;20,2;12.6;0,83;-;6.7%;60;FORTE OPORTUNIDADE;baixa;True;459500
BLAU3;8,81;-1,89;-3,29;-13,8;29,0;-0,129;4,2;1,86;3,97;4,4;62,1;9.4;0,89;-;10.9%;60;FORTE OPORTUNIDADE;baixa;True;384500
DIRR3;11,45;-1,55;-4,9;-19,37;31,4;-0,174;12,3;0,69;3,93;0,8;50,7;7.2;2,8;-;42.9%;55;OBSERVAR;alta;False;5136300
EGIE3;29,39;-2,52;-1,94;-13,96;30,0;-0,226;9,4;0,62;2,92;10,0;32,1;13.2;2,47;-;20.2%;55;OBSERVAR;alta;False;2443100
GRND3;3,66;0,0;-4,94;-5,18;34,3;-0,01;3,9;0,92;2,27;7,4;35,9;5.2;1,04;-;17.9%;55;OBSERVAR;alta;False;2083800
ALPA4;10,97;-1,44;-9,41;-11,89;31,4;-0,085;-14,9;1,68;4,0;54,8;47,9;12.8;2,15;-;16.5%;55;OBSERVAR;alta;False;1963600
COGN3;2,08;-1,42;-6,73;-9,57;33,8;-0,011;-1,3;1,02;3,99;1,0;127,2;6.1;0,31;-;4.7%;50;OBSERVAR;alta;False;22098900
ANIM3;2,05;-5,53;-8,89;-25,18;34,7;-0,026;15,4;1,47;8,88;6,8;158,0;5.7;0,32;-;8.7%;50;OBSERVAR;alta;False;20838800
ITUB4;42,1;-1,08;0,33;-0,29;49,6;-0,154;25,9;0,54;1,89;38,6;15,7;10.2;2,21;-;21.8%;50;OBSERVAR;alta;False;10443700
MOTV3;14,43;-0,48;-1,23;-0,35;46,1;-0,043;18,9;0,62;2,13;22,8;23,0;9.8;1,78;-;20.4%;50;OBSERVAR;alta;False;4217800
PGMN3;3,37;0,0;-2,03;-10,61;33,7;0,006;9,1;0,77;4,13;5,4;126,1;6.9;0,72;-;10.1%;50;OBSERVAR;alta;False;3136900
CPFE3;45,09;-2,44;-3,8;-0,9;45,0;-0,135;25,4;0,97;2,09;30,8;17,5;9.0;2,14;-;24.8%;50;OBSERVAR;alta;False;1052300
MTRE3;2,93;-1,68;-0,68;-11,47;32,1;-0,013;17,2;0,51;3,13;1,0;41,6;5.1;0,3;-;8.3%;50;OBSERVAR;baixa;True;412300
MDIA3;17,06;-1,16;-4,26;-4,1;34,4;0,016;-10,7;0,82;2,43;0,4;69,8;8.3;0,68;-;8.5%;50;OBSERVAR;baixa;True;380700
PFRM3;6,25;0,48;-7,68;-5,16;38,2;-0,052;-15,8;1,64;4,21;2,3;55,2;7.3;0,57;-;7.0%;50;OBSERVAR;baixa;True;214200
BEEF3;3,42;-3,93;-5,0;-4,74;38,1;-0,005;4,3;1,28;3,52;0,3;113,9;7.3;2,68;-;83.8%;45;OBSERVAR;alta;False;10686300
TIMS3;21,47;1,04;-5,0;-5,54;40,0;-0,117;-2,2;1,64;2,64;17,0;32,0;12.0;2,1;-;17.7%;45;OBSERVAR;alta;False;8866600
TOTS3;27,47;1,55;-5,89;-4,25;40,2;-0,117;0,6;1,63;3,97;2,7;73,6;18.7;3,21;-;16.9%;45;OBSERVAR;alta;False;6208600
QUAL3;1,39;0,0;-12,58;-22,39;31,2;-0,031;2,8;1,67;6,31;1,5;101,9;69.5;0,3;-;0.9%;45;OBSERVAR;alta;False;4155900
MULT3;28,04;-1,37;-1,72;-5,33;41,5;-0,108;7,1;1,54;2,34;17,9;25,8;11.4;2,12;-;20.0%;45;OBSERVAR;alta;False;4034200
VIVA3;21,42;-0,14;-4,55;-9,01;40,0;-0,193;8,6;0,88;3,47;6,9;67,6;8.6;1,66;-;20.7%;45;OBSERVAR;alta;False;2268500
GGPS3;11,48;-2,05;-8,45;-3,04;38,2;-0,087;8,8;0,59;3,56;3,2;71,2;12.2;2,1;-;17.1%;45;OBSERVAR;alta;False;1821900
TEND3;29,75;0,98;-6,06;-19,27;32,9;-0,693;14,1;0,65;4,59;54,7;27,5;6.0;2,69;-;47.1%;45;OBSERVAR;alta;False;1475700
TFCO4;13,91;-1,35;-2,39;-9,23;37,9;-0,102;8,5;0,88;3,11;1,4;30,7;15.0;3,58;-;26.4%;45;OBSERVAR;baixa;True;404600
LOGG3;25,83;-1,37;-1,97;-7,15;42,4;-0,149;18,1;0,58;2,64;72,9;11,1;5.6;0,6;-;11.0%;45;OBSERVAR;baixa;True;220400
ITSA4;13,45;-2,04;-1,18;-0,07;48,7;-0,04;27,7;0,84;1,9;50,8;11,9;8.8;1,67;-;18.4%;40;OBSERVAR;alta;False;15396200
ISAE4;26,46;-7,16;-5,53;-6,17;36,0;-0,161;-14,3;3,02;3,12;34,8;21,1;7.4;0,81;-;11.3%;40;OBSERVAR;alta;False;11054100
RAIZ4;0,26;-3,7;-10,34;-36,59;21,3;-0,006;14,4;0,71;9,49;0,0;503,8;-;-0,31;-;-548.1%;40;OBSERVAR;alta;False;10640600
LREN3;13,27;-0,75;-1,12;-11,36;38,4;-0,084;17,2;0,71;3,35;10,0;30,5;9.0;1,25;-;14.5%;40;OBSERVAR;alta;False;7804800
MRVE3;4,46;1,59;-4,7;-14,89;33,6;-0,022;13,5;0,81;4,96;2,3;136,1;-;0,48;-;-11.8%;40;OBSERVAR;alta;False;7702900
BHIA3;0,8;-2,44;-23,81;-29,2;21,9;-0,01;-6,6;0,84;8,53;1,3;585,0;-;0,29;-;-188.5%;40;OBSERVAR;alta;False;4412500
HYPE3;20,23;0,65;-4,53;-5,05;42,8;-0,048;17,0;1,4;3,03;3,0;32,5;7.7;1,01;-;13.0%;40;OBSERVAR;alta;False;3729400
MOVI3;7,94;1,4;-8,42;-18,14;32,1;-0,075;9,0;0,84;4,84;43,6;88,5;7.6;0,88;-;12.9%;40;OBSERVAR;alta;False;3499500
CSMG3;61,97;-3,1;-2,5;3,01;49,7;-0,491;30,8;0,86;2,7;168,4;9,4;17.4;2,68;-;15.9%;40;OBSERVAR;alta;False;3073600
ONCO3;0,59;-3,28;-24,36;-57,25;31,3;-0,029;13,5;0,2;22,57;0,0;916,9;-;1,24;-;-205.9%;40;OBSERVAR;alta;False;2877500
