ticker;preco;var_1d;var_5d;var_20d;rsi;macd_hist;bb_pct;vol_ratio;atr_pct;dist_min52;dist_max52;pl;pvp;dy;roe;score;classificacao;score_trader;classificacao_trader;sinais_trader;liquidez;gema;volume_dia
VULC3;13,07;-1,73;-2,9;-6,24;33,5;-0,019;-7,5;1,85;2,79;0,7;54,8;4.3;1,64;-;37.1%;55;OBSERVAR;65;FORTE OPORTUNIDADE;['RSI sobrevendido (34)', 'Preço tocando banda inferior Bollinger', 'Volume alto (1.9x)'];alta;False;3479800
OBTC3;6,46;4,87;-14,21;1,1;46,8;-0,096;34,7;3,16;6,46;13,1;76,2;-;1,81;-;-;45;OBSERVAR;30;NEUTRO;['Volatilidade alta (ATR 6.5%)', 'Volume alto (3.2x)'];alta;False;3439600
VBBR3;36,27;-0,22;8,76;3,48;64,4;0,172;107,0;1,65;2,92;81,5;2,4;8.5;1,99;-;22.6%;40;OBSERVAR;15;EVITAR;['Volume alto (1.6x)'];alta;False;16983700
EMBJ3;93,25;0,81;-4,47;1,75;49,4;-1,171;23,5;0,56;2,87;37,5;12,7;29.3;3,71;-;12.2%;35;NEUTRO;0;EVITAR;[];alta;False;3113900
SHUL4;4,45;0,0;-2,63;-0,67;48,5;0,014;61,7;0,71;2,28;12,3;25,0;6.1;1,01;-;16.9%;35;NEUTRO;10;EVITAR;['Small Cap (potencial alto)'];baixa;True;319500
ASAI3;9,1;-0,33;10,98;7,18;62,0;0,1;105,4;1,64;4,54;31,7;16,5;24.6;1,92;-;16.2%;30;NEUTRO;30;NEUTRO;['Volatilidade alta (ATR 4.5%)', 'Volume alto (1.6x)'];alta;False;21387300
BEEF3;3,77;-2,33;-5,04;7,71;52,8;0,011;59,9;0,83;4,88;26,9;94,0;9.7;2,37;-;23.2%;30;NEUTRO;15;EVITAR;['Volatilidade alta (ATR 4.9%)'];alta;False;15284200
MOTV3;16,42;1,55;8,89;12,16;75,8;0,232;104,9;0,86;2,83;21,6;8,1;9.8;1,86;-;22.0%;30;NEUTRO;-20;EVITAR;[];alta;False;12418200
PETR3;52,52;-1,91;11,01;14,13;70,0;0,655;98,4;0,96;2,88;84,6;3,8;5.1;1,41;-;30.3%;30;NEUTRO;-20;EVITAR;[];alta;False;10993800
CYRE3;25,44;-0,16;6,89;16,54;68,0;0,307;90,8;0,52;4,13;28,7;41,6;5.5;0,99;-;20.6%;30;NEUTRO;15;EVITAR;['Volatilidade alta (ATR 4.1%)'];alta;False;4145700
SUZB3;46,48;-0,58;0,17;10,75;64,9;0,227;77,9;0,36;2,5;18,7;28,3;7.1;1,31;-;17.6%;30;NEUTRO;0;EVITAR;[];alta;False;2738800
ALPA4;13,8;-3,02;-3,63;12,56;56,6;0,087;66,6;1,15;4,42;76,2;17,5;13.9;2,59;-;18.1%;30;NEUTRO;15;EVITAR;['Volatilidade alta (ATR 4.4%)'];alta;False;2352200
CURY3;32,77;-2,64;-0,24;5,99;55,7;0,213;77,1;0,51;4,36;24,0;22,8;9.0;6,1;-;68.5%;30;NEUTRO;15;EVITAR;['Volatilidade alta (ATR 4.4%)'];alta;False;1841200
TEND3;33,69;-1,64;0,9;3,72;56,1;0,18;76,8;0,48;4,61;64,1;10,5;7.1;2,68;-;40.6%;30;NEUTRO;15;EVITAR;['Volatilidade alta (ATR 4.6%)'];alta;False;1239300
ALUP11;33,41;0,0;2,71;3,45;62,6;0,214;93,0;0,59;2,18;17,0;9,6;8.0;1,14;-;15.8%;30;NEUTRO;10;EVITAR;['Small Cap (potencial alto)'];baixa;True;659900
SEER3;13,38;-1,91;16,0;13,71;69,0;0,302;99,2;0,35;4,34;71,7;4,0;6.3;1,12;-;19.1%;30;NEUTRO;25;NEUTRO;['Volatilidade alta (ATR 4.3%)', 'Small Cap (potencial alto)'];baixa;True;531400
TFCO4;13,19;-1,64;3,45;-11,24;44,6;0,079;47,7;0,72;3,61;5,1;37,8;14.0;3,27;-;25.7%;30;NEUTRO;25;NEUTRO;['Volatilidade alta (ATR 3.6%)', 'Small Cap (potencial alto)'];baixa;True;495900
INTB3;15,25;0,39;3,53;4,24;62,5;0,082;93,2;0,32;3,27;53,9;2,7;8.3;1,51;-;18.6%;30;NEUTRO;25;NEUTRO;['Volatilidade alta (ATR 3.3%)', 'Small Cap (potencial alto)'];baixa;True;373600
CSED3;5,28;-0,38;10,0;16,04;76,1;0,099;98,6;0,6;3,94;55,8;33,2;6.2;1,15;-;19.3%;30;NEUTRO;5;EVITAR;['Volatilidade alta (ATR 3.9%)', 'Small Cap (potencial alto)'];baixa;True;212600
CSNA3;6,33;5,85;17,88;33,54;73,9;0,179;110,3;1,98;6,01;51,1;78,8;-;0,69;-;-12.3%;25;NEUTRO;10;EVITAR;['Volatilidade alta (ATR 6.0%)', 'Volume alto (2.0x)'];alta;False;34803700
BBAS3;22,27;0,04;12,07;10,36;73,7;0,456;103,2;0,89;3,11;25,8;23,1;10.4;0,7;-;10.5%;25;NEUTRO;-5;EVITAR;['Volatilidade alta (ATR 3.1%)'];alta;False;30760600
LREN3;11,52;1,59;8,37;-14,54;47,1;0,151;66,0;0,74;4,04;9,9;43,3;7.7;1,07;-;14.5%;25;NEUTRO;15;EVITAR;['Volatilidade alta (ATR 4.0%)'];alta;False;16839400
CPLE3;15,79;1,22;8,37;5,97;73,0;0,2;106,7;0,65;2,2;54,3;6,9;14.4;2,08;-;12.8%;25;NEUTRO;-20;EVITAR;[];alta;False;12720700
AXIA3;56,1;0,97;6,65;5,51;68,9;0,502;103,1;0,86;2,85;30,4;20,9;10.7;1,32;-;10.0%;25;NEUTRO;0;EVITAR;[];alta;False;10594000
AXIA7;55,96;0,79;7,35;5,72;68,9;0,488;104,6;3,89;2,79;18,6;16,6;-;1,31;-;10.0%;25;NEUTRO;15;EVITAR;['Volume alto (3.9x)'];alta;False;9117700
PRIO3;62,0;-3,74;1,49;5,78;54,3;0,126;63,0;1,27;3,1;81,4;17,7;13.0;1,75;-;14.2%;25;NEUTRO;15;EVITAR;['Volatilidade alta (ATR 3.1%)'];alta;False;8148000
GOAU4;11,03;-0,81;5,55;-0,46;60,9;0,067;79,0;0,71;3,39;67,2;3,7;18.4;0,76;-;4.2%;25;NEUTRO;15;EVITAR;['Volatilidade alta (ATR 3.4%)'];alta;False;7445200
GGBR4;24,99;-1,69;4,26;-1,59;59,6;0,182;78,7;0,6;3,52;59,9;4,7;21.7;0,92;-;4.2%;25;NEUTRO;15;EVITAR;['Volatilidade alta (ATR 3.5%)'];alta;False;6520800
DIRR3;11,52;0,52;5,01;-1,96;55,1;0,157;89,9;0,7;4,02;13,2;49,8;7.1;2,57;-;41.9%;25;NEUTRO;15;EVITAR;['Volatilidade alta (ATR 4.0%)'];alta;False;6213200
GRND3;3,65;-0,82;4,58;5,01;59,3;0,028;104,3;0,68;2,66;9,3;33,8;5.7;1,04;-;17.9%;25;NEUTRO;0;EVITAR;[];alta;False;2898400
EGIE3;30,38;0,76;5,3;3,6;64,4;0,373;103,0;0,67;2,44;14,4;25,3;8.8;2,31;-;28.6%;25;NEUTRO;0;EVITAR;[];alta;False;2673000
PLPL3;7,29;-4,2;0,69;2,53;51,4;0,101;77,6;1,67;5,37;13,6;138,4;4.8;1,32;-;31.8%;25;NEUTRO;30;NEUTRO;['Volatilidade alta (ATR 5.4%)', 'Volume alto (1.7x)'];alta;False;2483300
HYPE3;22,68;0,98;6,73;6,33;64,5;0,122;107,4;0,59;2,88;15,5;18,2;8.6;1,11;-;13.2%;25;NEUTRO;0;EVITAR;[];alta;False;1854900
RECV3;11,44;-0,87;7,32;17,33;68,4;0,112;101,6;0,86;3,06;28,8;20,5;6.7;0,76;-;11.3%;25;NEUTRO;15;EVITAR;['Volatilidade alta (ATR 3.1%)'];alta;False;1653400
MLAS3;1,87;-3,11;2,19;9,36;55,1;0,01;67,5;0,47;5,32;133,6;6,4;5.1;0,47;-;9.8%;25;NEUTRO;15;EVITAR;['Volatilidade alta (ATR 5.3%)'];alta;False;1150000
PASS3;23,38;0,52;3,59;0,26;54,3;0,281;85,3;0,57;3,48;14,4;21,3;14.5;2,77;-;17.4%;25;NEUTRO;25;NEUTRO;['Volatilidade alta (ATR 3.5%)', 'Small Cap (potencial alto)'];baixa;True;981500
CBAV3;11,18;0,27;-0,27;0,45;60,1;-0,011;64,0;0,33;0,54;231,2;0,7;12.1;1,44;-;14.6%;25;NEUTRO;10;EVITAR;['Small Cap (potencial alto)'];baixa;True;771300
MTRE3;3,43;-0,29;8,2;21,55;72,4;0,057;102,6;1,07;3,72;23,3;19,7;5.3;0,35;-;9.4%;25;NEUTRO;5;EVITAR;['Volatilidade alta (ATR 3.7%)', 'Small Cap (potencial alto)'];baixa;True;751600
SANB4;15,09;1,89;2,44;3,43;60,7;-0,01;98,4;1,56;2,42;17,4;22,5;8.5;0,44;-;11.2%;25;NEUTRO;25;NEUTRO;['Volume alto (1.6x)', 'Small Cap (potencial alto)'];baixa;True;600700
MYPK3;9,69;-1,72;6,6;3,09;62,7;0,076;103,2;0,69;2,91;12,8;43,6;15.9;0,35;-;4.9%;25;NEUTRO;10;EVITAR;['Small Cap (potencial alto)'];baixa;True;506600
WIZC3;8,05;-0,62;2,55;-0,12;56,7;0,062;90,2;1,47;2,53;9,8;24,4;6.5;1,87;-;26.6%;25;NEUTRO;10;EVITAR;['Small Cap (potencial alto)'];baixa;True;498600
PNVL3;12,89;1,1;7,69;5,92;70,6;0,125;105,5;0,66;3,59;47,2;26,4;14.2;1,42;-;10.8%;25;NEUTRO;5;EVITAR;['Volatilidade alta (ATR 3.6%)', 'Small Cap (potencial alto)'];baixa;True;455300
PETR4;47,65;-1,14;11,59;16,65;74,5;0,626;101,9;0,69;2,69;78,4;3,2;4.7;1,28;-;30.3%;20;NEUTRO;-20;EVITAR;[];alta;False;37972700
B3SA3;17,43;0,98;10,81;13,48;75,3;0,278;104,1;0,8;3,09;50,2;14,9;17.4;4,66;-;27.7%;20;NEUTRO;-5;EVITAR;['Volatilidade alta (ATR 3.1%)'];alta;False;27434600
UGPA3;35,84;-2,42;8,05;12,68;69,3;0,246;88,2;0,76;3,06;99,1;4,6;10.9;2,33;-;19.8%;20;NEUTRO;15;EVITAR;['Volatilidade alta (ATR 3.1%)'];alta;False;8774400
CMIN3;6,68;4,37;11,15;16,17;71,8;0,051;118,0;1,11;4,15;63,7;1,8;20.9;4,92;-;28.1%;20;NEUTRO;-5;EVITAR;['Volatilidade alta (ATR 4.2%)'];alta;False;7739500
