ticker;preco;var_1d;var_5d;var_20d;rsi;macd_hist;bb_pct;vol_ratio;atr_pct;dist_min52;dist_max52;pl;pvp;dy;roe;score;classificacao;score_trader;classificacao_trader;sinais_trader;liquidez;gema;volume_dia
OBTC3;6,16;-3,75;-13,24;-1,44;41,5;-0,084;18,5;3,91;6,85;7,9;84,7;-;1,73;-;-;70;FORTE OPORTUNIDADE;50;OBSERVAR;['Preço tocando banda inferior Bollinger', 'Volatilidade alta (ATR 6.8%)', 'Volume alto (3.9x)'];alta;False;3647900
VBBR3;36,35;4,36;8,15;3,59;65,1;0,093;118,9;1,61;2,92;81,9;0,8;8.6;1,99;-;22.6%;50;OBSERVAR;35;NEUTRO;['MACD cruzou para positivo', 'Volume alto (1.6x)'];alta;False;15909700
EMBJ3;92,5;0,35;-4,86;-0,55;47,3;-1,206;18,8;1,0;2,95;36,4;13,6;29.1;3,68;-;12.2%;50;OBSERVAR;20;NEUTRO;['Preço tocando banda inferior Bollinger'];alta;False;5618800
SHUL4;4,45;0,0;-1,77;-1,55;48,5;0,019;61,3;2,05;2,29;12,3;25,0;6.1;1,01;-;16.9%;45;OBSERVAR;15;EVITAR;['Volume alto (2.0x)'];alta;False;1015000
MATD3;5,01;0,8;0,0;1,01;54,7;0,007;71,7;1,76;3,36;25,3;23,2;11.9;1,11;-;9.5%;45;OBSERVAR;40;OBSERVAR;['Volatilidade alta (ATR 3.4%)', 'Volume alto (1.8x)', 'Small Cap (potencial alto)'];baixa;True;270500
MOTV3;16,17;3,06;7,09;8,02;73,7;0,207;107,8;3,65;2,86;19,8;9,8;9.6;1,83;-;22.0%;40;OBSERVAR;-5;EVITAR;['Volume alto (3.6x)'];alta;False;52976700
PETR3;53,54;2,23;16,57;16,74;76,0;0,646;118,1;1,61;2,73;88,2;0,4;5.1;1,43;-;30.3%;40;OBSERVAR;-5;EVITAR;['Volume alto (1.6x)'];alta;False;18260400
CMIN3;6,4;5,26;6,84;8,47;67,4;0,022;112,0;1,55;4,19;56,9;0,5;18.8;4,71;-;28.1%;40;OBSERVAR;50;OBSERVAR;['MACD cruzou para positivo', 'Volatilidade alta (ATR 4.2%)', 'Volume alto (1.5x)'];alta;False;10598000
TFCO4;13,41;0,45;4,6;-10,54;48,3;0,07;53,4;1,93;3,52;6,9;35,6;14.1;3,32;-;25.7%;40;OBSERVAR;30;NEUTRO;['Volatilidade alta (ATR 3.5%)', 'Volume alto (1.9x)'];alta;False;1321500
ALLD3;5,22;2,35;0,38;9,89;61,6;0,006;69,5;1,69;3,2;18,1;57,7;1.4;0,32;-;23.6%;40;OBSERVAR;40;OBSERVAR;['Volatilidade alta (ATR 3.2%)', 'Volume alto (1.7x)', 'Small Cap (potencial alto)'];baixa;True;921500
LEVE3;32,9;0,64;1,7;1,54;56,1;0,044;71,2;0,98;2,2;34,1;10,1;6.4;4,62;-;81.6%;40;OBSERVAR;10;EVITAR;['Small Cap (potencial alto)'];baixa;True;274400
VULC3;13,3;-0,89;-0,52;-4,73;38,3;-0,004;11,7;5,05;2,62;2,5;52,1;4.4;1,67;-;37.1%;35;NEUTRO;35;NEUTRO;['Preço tocando banda inferior Bollinger', 'Volume alto (5.1x)'];alta;False;9036200
VIVT3;30,2;0,7;0,83;-2,88;44,7;0,221;73,8;1,6;2,2;4,6;36,0;14.7;1,4;-;9.9%;35;NEUTRO;15;EVITAR;['Volume alto (1.6x)'];alta;False;8481900
MULT3;29,43;3,81;7,33;2,54;66,7;0,288;121,0;1,8;2,47;14,8;19,9;10.1;2,14;-;21.9%;35;NEUTRO;15;EVITAR;['Volume alto (1.8x)'];alta;False;7166000
GFSA3;0,21;0,0;0,0;-16,0;26,7;0,019;35,3;1,77;14,62;5,0;6447,6;-;0,0;-;-34.7%;35;NEUTRO;60;FORTE OPORTUNIDADE;['RSI sobrevendido (27)', 'Volatilidade alta (ATR 14.6%)', 'Volume alto (1.8x)'];alta;False;5707100
HYPE3;22,46;3,26;2,04;4,66;62,6;0,083;108,7;1,34;2,88;14,4;19,3;8.2;1,1;-;13.2%;35;NEUTRO;0;EVITAR;[];alta;False;4352100
MLAS3;1,93;2,12;2,66;9,04;60,2;0,014;82,6;1,52;5,2;141,1;3,1;5.1;0,48;-;9.8%;35;NEUTRO;30;NEUTRO;['Volatilidade alta (ATR 5.2%)', 'Volume alto (1.5x)'];alta;False;3933600
PNVL3;12,75;5,63;5,46;2,66;69,0;0,096;107,1;2,72;3,69;45,6;27,8;14.0;1,4;-;10.8%;35;NEUTRO;30;NEUTRO;['Volatilidade alta (ATR 3.7%)', 'Volume alto (2.7x)'];alta;False;1941600
VTRU3;14,73;3,81;8,55;13,66;70,0;0,157;110,1;1,84;4,24;48,6;17,8;2.0;0,53;17.0%;32.4%;35;NEUTRO;10;EVITAR;['Volatilidade alta (ATR 4.2%)', 'Volume alto (1.8x)'];alta;False;1374500
MYPK3;9,86;4,23;8,35;6,02;69,4;0,065;130,6;1,58;2,8;14,8;41,1;16.2;0,36;-;4.9%;35;NEUTRO;15;EVITAR;['Volume alto (1.6x)'];alta;False;1289700
