ticker;preco;var_1d;var_5d;var_20d;rsi;macd_hist;bb_pct;vol_ratio;atr_pct;dist_min52;dist_max52;pl;pvp;dy;roe;score;classificacao;liquidez;gema;volume_dia
PSSA3;52,73;-1,4;-2,98;-1,16;44,5;-0,322;-11,1;0,52;2,28;22,9;5,3;9.3;2,17;-;25.2%;65;FORTE OPORTUNIDADE;baixa;True;305200
SAUD3;14,44;-0,21;-8,43;-4,87;45,0;-0,132;14,5;0,56;3,37;39,7;14,1;13.9;6,14;-;10.5%;60;FORTE OPORTUNIDADE;alta;False;2144100
SMFT3;18,35;-7,97;-8,07;-8,02;36,2;-0,169;-17,4;3,39;3,76;10,8;43,9;16.5;1,91;-;12.1%;55;OBSERVAR;alta;False;19079200
TIMS3;18,92;1,18;-1,97;-15,12;27,2;-0,279;15,5;0,37;3,63;2,0;49,8;10.5;1,85;-;17.3%;55;OBSERVAR;alta;False;3475800
GRND3;3,54;-1,39;-4,84;-6,84;30,4;-0,014;-3,0;0,62;2,45;3,8;40,5;5.1;1,01;-;17.9%;55;OBSERVAR;alta;False;1168800
TTEN3;11,71;-0,76;-2,98;-22,86;26,1;-0,309;16,0;0,31;4,68;1,8;52,9;8.4;1,23;-;15.7%;55;OBSERVAR;baixa;True;606900
CXSE3;19,49;0,21;-1,34;-8,11;38,9;-0,295;15,6;0,27;2,67;60,1;13,6;13.3;4,25;-;31.6%;50;OBSERVAR;alta;False;1661000
FESA4;5,74;-3,69;-4,49;-2,21;37,3;-0,002;-16,3;1,55;2,6;4,4;55,1;12.8;0,59;-;4.9%;50;OBSERVAR;baixa;True;805000
TUPY3;15,33;-0,97;-2,97;2,96;48,9;-0,105;1,9;0,36;3,17;44,8;11,0;-;0,8;-;-26.1%;50;OBSERVAR;baixa;True;216900
BBDC4;17,74;-1,72;-3,27;-1,34;40,5;-0,112;-15,8;1,27;2,36;23,6;19,7;8.4;1,04;-;13.4%;45;OBSERVAR;alta;False;36853000
BBAS3;20,51;-2,57;-3,21;2,55;48,2;-0,011;31,5;0,61;2,29;12,5;34,3;9.2;0,63;-;9.2%;45;OBSERVAR;alta;False;10241000
POMO4;4,62;-0,86;-13,48;-18,8;24,9;-0,052;-5,0;0,37;4,0;1,3;72,1;4.6;1,41;-;30.9%;45;OBSERVAR;alta;False;4798500
BBDC3;15,48;-1,71;-2,91;-1,3;41,2;-0,096;-14,1;0,62;2,38;26,5;17,5;7.4;0,91;-;13.4%;45;OBSERVAR;alta;False;3798600
LAVV3;9,76;-7,66;-6,24;-8,96;36,8;-0,002;6,2;2,15;4,3;1,7;94,5;4.8;1,39;-;26.6%;45;OBSERVAR;alta;False;1119800
POMO3;4,29;-1,38;-13,16;-18,13;25,8;-0,035;-5,9;0,38;4,42;0,7;57,1;4.3;1,31;-;30.9%;45;OBSERVAR;baixa;True;721600
PASS3;23,61;-2,52;-4,95;-4,34;37,7;-0,081;-19,4;0,83;3,24;1,3;20,1;13.6;2,94;-;18.8%;45;OBSERVAR;baixa;True;618300
KEPL3;6,21;-1,43;-4,31;-2,66;35,5;-0,006;-2,6;0,72;2,37;0,6;69,1;7.3;1,36;-;19.6%;45;OBSERVAR;baixa;True;498300
ITUB4;42,32;-0,14;-0,94;-0,59;50,0;-0,106;33,7;0,62;2,13;31,8;15,1;10.1;2,22;-;21.5%;40;OBSERVAR;alta;False;10997000
ITSA4;13,59;-1,02;-1,52;0,0;49,6;-0,032;25,7;0,48;2,04;45,1;10,7;8.9;1,69;-;18.4%;40;OBSERVAR;alta;False;8091300
PMAM3;0,16;-15,79;-33,33;-30,43;26,7;-0,013;-1,1;1,08;26,33;0,0;1025,0;-;-0,0;-;-;40;OBSERVAR;alta;False;7435900
VIVT3;31,21;0,0;-4,35;-9,14;30,7;-0,436;5,5;0,53;2,94;5,2;32,1;15.2;1,45;-;9.9%;40;OBSERVAR;alta;False;2869700
