ticker;preco;var_1d;var_5d;var_20d;rsi;macd_hist;bb_pct;vol_ratio;atr_pct;dist_min52;dist_max52;pl;pvp;dy;roe;score;classificacao;score_trader;classificacao_trader;sinais_trader;liquidez;gema;volume_dia;alerta_spike
CURY3;28,83;-5,38;-10,96;-8,33;36,2;-0,4;-6,7;2,38;4,85;9,1;39,6;7.9;5,37;-;68.5%;70;FORTE OPORTUNIDADE;50;OBSERVAR;['Preço tocando banda inferior Bollinger', 'Volatilidade alta (ATR 4.9%)', 'Volume alto (2.4x)'];alta;False;8164900;False
OPCT3;9,14;-12,54;-18,03;-4,39;32,2;-0,105;-5,8;3,5;5,8;26,4;28,1;10.9;1,77;-;17.2%;70;FORTE OPORTUNIDADE;80;FORTE OPORTUNIDADE;['RSI sobrevendido (32)', 'Preço tocando banda inferior Bollinger', 'Volatilidade alta (ATR 5.8%)', 'Volume alto (3.5x)'];alta;False;4270600;False
CMIN3;5,7;-6,25;-18,45;-3,55;40,8;-0,096;16,6;1,54;5,71;39,7;24,0;17.8;4,19;-;28.1%;65;FORTE OPORTUNIDADE;50;OBSERVAR;['Preço tocando banda inferior Bollinger', 'Volatilidade alta (ATR 5.7%)', 'Volume alto (1.5x)'];alta;False;12430500;False
DIRR3;10,01;-0,69;-8,5;-4,76;33,3;-0,086;7,0;1,24;4,39;2,7;72,4;6.1;2,24;-;41.9%;55;OBSERVAR;65;FORTE OPORTUNIDADE;['RSI sobrevendido (33)', 'Preço tocando banda inferior Bollinger', 'Volatilidade alta (ATR 4.4%)'];alta;False;12744400;False
MILS3;15,89;0,44;0,13;1,66;65,4;0,002;101,3;5,18;0,67;55,8;0,3;8.5;1,92;-;26.3%;50;OBSERVAR;60;FORTE OPORTUNIDADE;['MACD cruzou para positivo', '🔥 ALERTA SPIKE: Volume Anômalo (5.2x) e Rompimento Iminente'];alta;False;3004500;True
KEPL3;6,43;0,31;-3,6;13,01;49,5;-0,019;42,9;1,27;2,49;15,4;63,3;7.9;1,4;-;18.3%;50;OBSERVAR;0;EVITAR;[];alta;False;1532000;False
VIVA3;22,37;-1,54;-1,67;7,7;50,5;-0,027;46,8;0,45;3,49;11,6;60,4;9.0;1,74;-;19.7%;50;OBSERVAR;25;NEUTRO;['Volatilidade alta (ATR 3.5%)', 'Small Cap (potencial alto)'];baixa;True;936600;False
POMO4;4,31;-4,86;-5,9;6,17;41,0;0,015;11,1;2,36;3,65;9,6;79,2;4.5;1,26;-;28.3%;45;OBSERVAR;50;OBSERVAR;['Preço tocando banda inferior Bollinger', 'Volatilidade alta (ATR 3.6%)', 'Volume alto (2.4x)'];alta;False;35323500;False
TEND3;29,13;-5,36;-11,99;-9,11;35,0;-0,466;-6,8;1,8;5,4;41,9;27,8;6.2;2,32;-;40.6%;45;OBSERVAR;50;OBSERVAR;['Preço tocando banda inferior Bollinger', 'Volatilidade alta (ATR 5.4%)', 'Volume alto (1.8x)'];alta;False;5551900;False
OBTC3;6,46;2,7;-11,87;-5,69;45,1;-0,084;18,8;2,29;7,66;13,1;76,2;-;1,81;-;-;45;OBSERVAR;50;OBSERVAR;['Preço tocando banda inferior Bollinger', 'Volatilidade alta (ATR 7.7%)', 'Volume alto (2.3x)'];alta;False;5041800;False
