ticker;preco;var_1d;var_5d;var_20d;rsi;macd_hist;bb_pct;vol_ratio;atr_pct;dist_min52;dist_max52;pl;pvp;dy;roe;score;classificacao;score_trader;classificacao_trader;sinais_trader;liquidez;gema;volume_dia
RCSL4;0,42;-14,29;-40,0;-42,47;36,3;-0,019;8,1;2,06;17,02;64,7;560,1;7.0;-2,36;-;-;55;OBSERVAR;50;OBSERVAR;['Preço tocando banda inferior Bollinger', 'Volatilidade alta (ATR 17.0%)', 'Volume alto (2.1x)'];alta;False;14509000
PCAR3;2,67;-3,96;-6,64;3,09;45,7;-0,016;15,6;2,24;6,65;90,7;72,3;-;3,22;-;-129.4%;50;OBSERVAR;50;OBSERVAR;['Preço tocando banda inferior Bollinger', 'Volatilidade alta (ATR 6.7%)', 'Volume alto (2.2x)'];alta;False;11839100
INTB3;14,73;0,0;4,77;2,54;58,1;0,013;70,7;0,31;3,52;48,7;6,3;8.0;1,46;-;18.6%;50;OBSERVAR;45;OBSERVAR;['MACD cruzou para positivo', 'Volatilidade alta (ATR 3.5%)', 'Small Cap (potencial alto)'];baixa;True;376000
ALPA4;14,41;0,63;12,23;17,44;71,3;0,167;111,7;1,52;3,71;84,0;12,6;14.6;2,7;-;18.1%;40;OBSERVAR;10;EVITAR;['Volatilidade alta (ATR 3.7%)', 'Volume alto (1.5x)'];alta;False;2822500
TEND3;32,83;-1,68;5,43;10,3;53,2;0,101;62,9;0,82;4,81;59,9;13,4;7.0;2,61;-;40.6%;40;OBSERVAR;15;EVITAR;['Volatilidade alta (ATR 4.8%)'];alta;False;2435100
TFCO4;12,84;0,71;-0,47;-12,59;35,0;-0,038;28,2;0,46;3,41;2,3;41,6;13.7;3,18;-;25.7%;40;OBSERVAR;55;OBSERVAR;['RSI sobrevendido (35)', 'Volatilidade alta (ATR 3.4%)', 'Small Cap (potencial alto)'];baixa;True;248800
LREN3;10,69;0,56;-2,73;-21,4;32,8;-0,004;28,3;0,46;4,38;2,0;54,5;7.1;0,99;-;14.5%;35;NEUTRO;45;OBSERVAR;['RSI sobrevendido (33)', 'Volatilidade alta (ATR 4.4%)'];alta;False;9984400
AZEV3;4,11;-49,94;-50,72;-8,67;45,1;0,148;34,0;1,33;47,64;234,1;265,0;-;1,1;-;-111.2%;35;NEUTRO;15;EVITAR;['Volatilidade alta (ATR 47.6%)'];alta;False;2372100
AZZA3;14,67;-0,81;-3,1;-10,66;36,3;0,003;21,6;0,84;4,76;2,4;122,5;2.9;0,37;-;4.0%;35;NEUTRO;35;NEUTRO;['MACD cruzou para positivo', 'Volatilidade alta (ATR 4.8%)'];alta;False;2363600
SEER3;12,14;1,85;9,37;0,0;57,6;0,107;74,4;1,72;4,56;50,7;16,4;5.7;1,02;-;19.1%;35;NEUTRO;30;NEUTRO;['Volatilidade alta (ATR 4.6%)', 'Volume alto (1.7x)'];alta;False;2205300
HYPE3;21,28;0,14;0,52;0,05;50,3;0,006;43,9;0,67;3,04;8,4;26,0;8.0;1,03;-;13.2%;35;NEUTRO;15;EVITAR;['Volatilidade alta (ATR 3.0%)'];alta;False;1970800
