ticker;preco;var_1d;var_5d;var_20d;rsi;macd_hist;bb_pct;vol_ratio;atr_pct;dist_min52;dist_max52;pl;pvp;dy;roe;score;classificacao;score_trader;classificacao_trader;sinais_trader;liquidez;gema;volume_dia;alerta_spike
TFCO4;12,61;-2,63;-5,54;-9,61;36,0;0,039;12,1;0,33;3,78;0,5;44,2;13.4;3,12;-;25.7%;45;OBSERVAR;45;OBSERVAR;['Preço tocando banda inferior Bollinger', 'Volatilidade alta (ATR 3.8%)', 'Small Cap (potencial alto)'];baixa;True;245000;False
VIVA3;22,39;-1,8;-0,49;7,18;51,5;0,114;62,0;0,21;3,72;11,7;60,3;9.0;1,74;-;19.7%;40;OBSERVAR;25;NEUTRO;['Volatilidade alta (ATR 3.7%)', 'Small Cap (potencial alto)'];baixa;True;527300;False
PRIO3;62,15;0,24;-2,88;4,89;54,4;-0,104;62,8;1,59;3,13;81,8;17,4;13.0;1,76;-;14.2%;35;NEUTRO;30;NEUTRO;['Volatilidade alta (ATR 3.1%)', 'Volume alto (1.6x)'];alta;False;11223500;False
DIRR3;11,08;-3,06;-0,18;0,64;46,7;0,113;62,2;0,42;3,97;8,8;55,8;6.8;2,48;-;41.9%;35;NEUTRO;15;EVITAR;['Volatilidade alta (ATR 4.0%)'];alta;False;3887700;False
VULC3;13,05;-0,15;-2,76;-4,26;34,4;-0,029;8,5;0,92;2,87;2,6;55,0;4.3;1,64;-;37.1%;35;NEUTRO;50;OBSERVAR;['RSI sobrevendido (34)', 'Preço tocando banda inferior Bollinger'];alta;False;2125200;False
CYRE3;25,32;-0,86;2,68;23,27;65,3;0,21;77,8;0,59;3,95;28,1;42,2;5.4;0,99;-;20.6%;30;NEUTRO;15;EVITAR;['Volatilidade alta (ATR 3.9%)'];alta;False;5109200;False
BEEF3;3,95;-0,25;3,13;20,8;59,2;0,011;67,5;0,21;4,67;33,0;85,2;10.1;2,47;-;23.2%;30;NEUTRO;15;EVITAR;['Volatilidade alta (ATR 4.7%)'];alta;False;4561300;False
RDOR3;36,69;-2,06;2,83;10,61;59,5;0,267;76,4;0,49;3,02;14,1;22,5;16.7;4,08;-;19.8%;30;NEUTRO;15;EVITAR;['Volatilidade alta (ATR 3.0%)'];alta;False;4364900;False
RENT3;35,77;-2,93;3,26;3,05;49,5;0,41;69,9;0,37;3,96;12,7;47,3;11.4;1,46;-;13.0%;30;NEUTRO;15;EVITAR;['Volatilidade alta (ATR 4.0%)'];alta;False;3514300;False
SUZB3;46,93;-0,21;2,56;16,22;67,3;0,146;74,4;0,31;2,35;19,8;27,1;7.2;1,32;-;17.6%;30;NEUTRO;0;EVITAR;[];alta;False;2447300;False
BBSE3;41,51;-1,98;2,24;11,41;65,9;0,355;79,6;0,32;2,19;47,9;3,5;8.8;7,4;-;85.9%;30;NEUTRO;0;EVITAR;[];alta;False;1981000;False
TEND3;33,16;-5,69;0,18;4,29;51,4;0,158;54,1;0,66;4,79;61,5;12,3;7.0;2,64;-;40.6%;30;NEUTRO;15;EVITAR;['Volatilidade alta (ATR 4.8%)'];alta;False;1856500;False
ALPA4;13,4;2,68;-4,29;4,12;52,0;-0,072;52,0;0,6;4,76;71,1;21,0;13.5;2,51;-;18.1%;30;NEUTRO;15;EVITAR;['Volatilidade alta (ATR 4.8%)'];alta;False;1452000;False
GGPS3;12,97;-0,69;2,77;17,91;63,4;0,106;78,1;0,37;3,33;19,4;51,5;10.3;2,17;-;22.3%;30;NEUTRO;15;EVITAR;['Volatilidade alta (ATR 3.3%)'];alta;False;1351800;False
MBRF3;17,15;-2,39;-6,28;6,13;46,3;-0,149;34,9;0,21;4,33;18,4;61,3;61.2;2,08;-;0.9%;30;NEUTRO;15;EVITAR;['Volatilidade alta (ATR 4.3%)'];alta;False;1179400;False
AMBP3;0,14;0,0;-17,65;-6,67;39,2;-0,002;16,7;0,22;7,84;0,0;10114,3;-;0,21;-;-1.3%;30;NEUTRO;45;OBSERVAR;['Preço tocando banda inferior Bollinger', 'Volatilidade alta (ATR 7.8%)', 'Small Cap (potencial alto)'];baixa;True;955700;False
CURY3;32,83;-1,97;1,64;6,29;54,8;0,141;69,0;0,24;4,05;24,3;22,6;9.0;6,11;-;68.5%;30;NEUTRO;25;NEUTRO;['Volatilidade alta (ATR 4.1%)', 'Small Cap (potencial alto)'];baixa;True;820700;False
MDIA3;17,11;-0,35;-1,04;0,82;45,3;0,026;39,8;0,41;2,71;2,4;68,3;8.9;0,68;-;7.8%;30;NEUTRO;10;EVITAR;['Small Cap (potencial alto)'];baixa;True;336300;False
AXIA3;55,19;-1,67;2,68;11,65;60,9;0,389;79,6;0,47;2,84;26,6;22,9;10.6;1,29;-;10.0%;25;NEUTRO;0;EVITAR;[];alta;False;5582500;False
POMO4;4,46;-2,83;-0,22;6,3;46,1;0,062;65,4;0,38;3,42;13,4;73,1;4.6;1,31;-;28.3%;25;NEUTRO;15;EVITAR;['Volatilidade alta (ATR 3.4%)'];alta;False;5172500;False
ANIM3;2,95;-3,28;5,36;48,24;67,8;0,052;79,0;0,38;5,12;53,6;79,3;7.2;0,46;-;9.6%;25;NEUTRO;15;EVITAR;['Volatilidade alta (ATR 5.1%)'];alta;False;3371600;False
