ticker;preco;var_1d;var_5d;var_20d;rsi;macd_hist;bb_pct;vol_ratio;atr_pct;dist_min52;dist_max52;pl;pvp;dy;roe;score;classificacao;score_trader;classificacao_trader;sinais_trader;liquidez;gema;volume_dia;alerta_spike
VSTE3;2,11;-8,26;-22,99;-25,96;31,6;-0,01;-10,4;6,11;8,38;5,5;163,8;5.1;0,22;-;-;60;FORTE OPORTUNIDADE;90;FORTE OPORTUNIDADE;['RSI sobrevendido (32)', 'Preço tocando banda inferior Bollinger', 'Volatilidade alta (ATR 8.4%)', 'Volume alto (6.1x)', 'Small Cap (potencial alto)'];baixa;True;606600;False
VULC3;12,98;-0,69;-3,28;-4,77;33,0;-0,033;2,6;2,2;2,89;2,0;55,9;4.3;1,63;-;37.1%;45;OBSERVAR;65;FORTE OPORTUNIDADE;['RSI sobrevendido (33)', 'Preço tocando banda inferior Bollinger', 'Volume alto (2.2x)'];alta;False;5477600;False
TFCO4;12,64;-2,39;-5,32;-9,39;36,3;0,041;14,5;0,81;3,8;0,7;43,8;13.4;3,13;-;25.7%;45;OBSERVAR;45;OBSERVAR;['Preço tocando banda inferior Bollinger', 'Volatilidade alta (ATR 3.8%)', 'Small Cap (potencial alto)'];baixa;True;624300;False
VIVA3;22,38;-1,84;-0,53;7,13;51,4;0,113;61,7;0,49;3,72;11,7;60,4;9.0;1,74;-;19.7%;40;OBSERVAR;15;EVITAR;['Volatilidade alta (ATR 3.7%)'];alta;False;1298400;False
ALUP11;33,39;-1,53;2,33;9,03;59,1;0,192;78,1;0,5;2,16;14,1;9,7;8.0;1,14;-;15.8%;40;OBSERVAR;10;EVITAR;['Small Cap (potencial alto)'];baixa;True;558600;False
MILS3;15,82;0,38;0,7;1,61;63,3;0,001;99,6;0,81;0,75;55,1;0,8;8.4;1,91;-;26.3%;40;OBSERVAR;30;NEUTRO;['MACD cruzou para positivo', 'Small Cap (potencial alto)'];baixa;True;432900;False
PRIO3;62,52;0,84;-2,3;5,52;55,5;-0,08;68,7;2,09;3,13;82,9;16,7;13.0;1,77;-;14.2%;35;NEUTRO;30;NEUTRO;['Volatilidade alta (ATR 3.1%)', 'Volume alto (2.1x)'];alta;False;15138900;False
DIRR3;10,93;-4,37;-1,53;-0,73;44,3;0,104;53,0;1,03;4,07;7,4;57,9;6.7;2,44;-;41.9%;35;NEUTRO;15;EVITAR;['Volatilidade alta (ATR 4.1%)'];alta;False;9907400;False
SHUL4;4,46;-1,11;0,22;5,44;49,1;0,009;58,1;0,72;2,16;12,6;24,7;6.1;1,02;-;16.9%;35;NEUTRO;10;EVITAR;['Small Cap (potencial alto)'];baixa;True;358700;False
AGRO3;19,23;0,58;-1,03;5,78;57,3;0,034;71,3;2,18;2,15;7,7;18,3;-;0,95;-;-4.3%;35;NEUTRO;25;NEUTRO;['Volume alto (2.2x)', 'Small Cap (potencial alto)'];baixa;True;337800;False
BEEF3;3,95;-0,25;3,13;20,8;59,2;0,011;67,5;0,7;4,67;33,0;85,2;10.1;2,48;-;23.2%;30;NEUTRO;15;EVITAR;['Volatilidade alta (ATR 4.7%)'];alta;False;15318800;False
VBBR3;37,95;1,23;8,96;14,2;72,1;0,378;103,4;1,02;2,65;89,9;0,0;8.9;2,08;-;22.6%;30;NEUTRO;-20;EVITAR;[];alta;False;10896700;False
CYRE3;25,11;-1,68;1,82;22,25;63,2;0,196;75,1;1,13;3,98;27,1;43,4;5.5;0,98;-;20.6%;30;NEUTRO;15;EVITAR;['Volatilidade alta (ATR 4.0%)'];alta;False;10080500;False
RDOR3;36,93;-1,41;3,5;11,34;61,5;0,282;79,9;0,95;3,03;14,8;21,7;17.0;4,11;-;19.8%;30;NEUTRO;15;EVITAR;['Volatilidade alta (ATR 3.0%)'];alta;False;8738800;False
UGPA3;38,4;0,95;8,81;27,59;80,4;0,402;97,0;0,74;2,79;107,9;0,0;11.7;2,49;-;19.8%;30;NEUTRO;-20;EVITAR;[];alta;False;8563300;False
RENT3;35,72;-3,07;3,12;2,91;49,2;0,407;69,1;0,72;3,96;12,5;47,5;11.7;1,46;-;13.0%;30;NEUTRO;15;EVITAR;['Volatilidade alta (ATR 4.0%)'];alta;False;7117400;False
BBSE3;40,91;-3,4;0,76;9,8;60,3;0,317;72,9;1,05;2,28;45,8;5,1;9.0;7,29;-;85.9%;30;NEUTRO;0;EVITAR;[];alta;False;6808900;False
SUZB3;47,23;0,43;3,21;16,96;69,2;0,165;77,4;0,67;2,36;20,6;26,3;7.2;1,33;-;17.6%;30;NEUTRO;0;EVITAR;[];alta;False;5344700;False
QUAL3;1,47;-4,55;-0,68;-1,34;41,6;-0,011;10,1;1,25;5,79;7,3;90,9;21.0;0,31;-;2.1%;30;NEUTRO;35;NEUTRO;['Preço tocando banda inferior Bollinger', 'Volatilidade alta (ATR 5.8%)'];alta;False;4604100;False
SBFG3;8,76;-2,12;1,62;0,46;48,7;0,118;69,9;1,71;4,0;10,7;74,5;5.0;0,63;-;13.7%;30;NEUTRO;30;NEUTRO;['Volatilidade alta (ATR 4.0%)', 'Volume alto (1.7x)'];alta;False;4257200;False
MBRF3;17,16;-2,33;-6,23;6,19;46,4;-0,148;35,2;0,71;4,33;18,4;61,2;61.3;2,08;-;0.9%;30;NEUTRO;15;EVITAR;['Volatilidade alta (ATR 4.3%)'];alta;False;4220900;False
TEND3;33,04;-6,03;-0,18;3,91;50,8;0,15;51,6;1,42;4,81;60,9;12,7;7.4;2,63;-;40.6%;30;NEUTRO;15;EVITAR;['Volatilidade alta (ATR 4.8%)'];alta;False;4193600;False
CXSE3;19,77;-2,71;2,44;7,15;56,3;0,191;77,2;0,65;2,42;54,2;12,0;13.1;4,3;-;33.3%;30;NEUTRO;0;EVITAR;[];alta;False;3832200;False
ALPA4;13,25;1,53;-5,36;2,95;50,5;-0,081;47,1;1,41;4,82;69,2;22,4;13.4;2,49;-;18.1%;30;NEUTRO;15;EVITAR;['Volatilidade alta (ATR 4.8%)'];alta;False;3557300;False
CURY3;32,27;-3,64;-0,09;4,47;51,8;0,106;57,5;0,68;4,22;22,1;24,7;8.8;6,01;-;68.5%;30;NEUTRO;15;EVITAR;['Volatilidade alta (ATR 4.2%)'];alta;False;2454600;False
GGPS3;12,96;-0,77;2,69;17,82;63,2;0,106;77,8;0,66;3,33;19,3;51,6;10.3;2,17;-;22.3%;30;NEUTRO;15;EVITAR;['Volatilidade alta (ATR 3.3%)'];alta;False;2454100;False
CPFE3;46,0;-2,79;2,2;5,38;57,0;0,436;76,4;1,26;2,82;32,2;15,2;9.1;2,33;-;27.3%;30;NEUTRO;0;EVITAR;[];alta;False;2318500;False
EVEN3;4,15;-3,26;-2,58;-2,35;37,3;0,021;10,4;0,99;4,46;1,0;105,6;3.4;0,43;-;11.1%;30;NEUTRO;35;NEUTRO;['Preço tocando banda inferior Bollinger', 'Volatilidade alta (ATR 4.5%)'];alta;False;1247500;False
MDIA3;17,23;0,35;-0,35;1,53;47,8;0,033;51,3;0,93;2,71;3,1;67,1;9.0;0,68;-;7.8%;30;NEUTRO;10;EVITAR;['Small Cap (potencial alto)'];baixa;True;785100;False
BMOB3;25,54;-0,78;0,59;13,47;61,8;0,206;79,2;0,82;3,1;35,8;10,3;13.5;2,26;-;16.4%;30;NEUTRO;25;NEUTRO;['Volatilidade alta (ATR 3.1%)', 'Small Cap (potencial alto)'];baixa;True;451700;False
AMBP3;0,14;0,0;-6,67;-6,67;39,2;-0,002;19,2;0,09;7,28;0,0;10114,3;-;0,21;-;-1.3%;30;NEUTRO;45;OBSERVAR;['Preço tocando banda inferior Bollinger', 'Volatilidade alta (ATR 7.3%)', 'Small Cap (potencial alto)'];baixa;True;379900;False
CSNA3;7,11;7,4;23,87;66,12;80,5;0,225;106,4;1,83;5,49;69,7;59,2;-;0,77;-;-12.3%;25;NEUTRO;10;EVITAR;['Volatilidade alta (ATR 5.5%)', 'Volume alto (1.8x)'];alta;False;35630700;False
AXIA3;55,08;-1,87;2,47;11,43;60,2;0,382;78,4;1,07;2,85;26,3;23,2;10.5;1,29;-;10.0%;25;NEUTRO;0;EVITAR;[];alta;False;13335500;False
POMO4;4,46;-2,83;-0,22;6,3;46,1;0,062;65,4;0,93;3,47;13,4;73,1;4.6;1,31;-;28.3%;25;NEUTRO;15;EVITAR;['Volatilidade alta (ATR 3.5%)'];alta;False;12839500;False
YDUQ3;10,2;2,51;15,65;35,64;76,7;0,212;96,0;1,85;4,09;45,3;49,9;24.3;0,89;-;3.8%;25;NEUTRO;10;EVITAR;['Volatilidade alta (ATR 4.1%)', 'Volume alto (1.8x)'];alta;False;10288300;False
SLCE3;17,88;6,11;9,63;34,44;82,7;0,168;96,4;2,25;2,92;42,1;8,9;28.8;1,64;-;7.0%;25;NEUTRO;-5;EVITAR;['Volume alto (2.2x)'];alta;False;8937200;False
ONCO3;1,17;-2,5;8,33;108,93;50,9;-0,025;45,7;0,2;21,12;120,8;234,0;-;78,0;-;-273.5%;25;NEUTRO;15;EVITAR;['Volatilidade alta (ATR 21.1%)'];alta;False;8411600;False
ANIM3;2,91;-4,59;3,93;46,23;65,3;0,049;76,4;0,66;5,19;51,6;81,7;7.5;0,45;-;9.6%;25;NEUTRO;15;EVITAR;['Volatilidade alta (ATR 5.2%)'];alta;False;6288500;False
EZTC3;12,79;-1,54;-3,18;25,17;62,6;0,206;77,0;0,9;4,3;26,9;28,6;7.8;0,68;-;10.6%;25;NEUTRO;15;EVITAR;['Volatilidade alta (ATR 4.3%)'];alta;False;3681200;False
LWSA3;3,99;-1,72;-5,45;12,07;47,9;-0,017;43,1;0,78;3,95;23,0;19,1;-;0,92;-;-7.8%;25;NEUTRO;15;EVITAR;['Volatilidade alta (ATR 3.9%)'];alta;False;3201600;False
SANB11;29,96;-1,41;2,11;1,49;57,3;-0,03;64,8;0,64;2,15;20,1;21,7;14.6;0,88;-;11.2%;25;NEUTRO;0;EVITAR;[];alta;False;2993400;False
PLPL3;6,95;-6,08;-4,01;6,76;46,0;0,049;43,3;1,46;5,56;8,3;150,1;4.9;1,26;-;31.8%;25;NEUTRO;15;EVITAR;['Volatilidade alta (ATR 5.6%)'];alta;False;2462800;False
GMAT3;4,73;-1,25;0,0;28,18;65,4;0,029;70,9;0,31;3,84;37,9;48,9;6.6;0,97;-;14.3%;25;NEUTRO;15;EVITAR;['Volatilidade alta (ATR 3.8%)'];alta;False;2285500;False
POMO3;4,18;-3,02;-0,95;6,78;46,9;0,061;67,1;0,85;3,37;12,6;56,3;4.4;1,22;-;28.3%;25;NEUTRO;15;EVITAR;['Volatilidade alta (ATR 3.4%)'];alta;False;1690700;False
OBTC3;7,49;7,15;17,03;21,39;61,0;0,001;85,1;1,24;5,99;31,2;51,9;-;2,1;-;-;25;NEUTRO;35;NEUTRO;['MACD cruzou para positivo', 'Volatilidade alta (ATR 6.0%)'];alta;False;1676300;False
CAML3;5,0;0,0;-0,6;13,76;60,0;0,027;75,4;1,87;3,28;23,7;44,0;16.7;0,57;-;3.4%;25;NEUTRO;30;NEUTRO;['Volatilidade alta (ATR 3.3%)', 'Volume alto (1.9x)'];alta;False;1522500;False
HYPE3;22,59;-2,12;3,86;6,76;59,6;0,149;79,6;0,45;2,98;15,0;18,7;8.7;1,1;-;13.2%;25;NEUTRO;0;EVITAR;[];alta;False;1385800;False
SMTO3;20,25;-1,6;-4,53;34,91;66,9;0,163;72,5;0,5;4,4;59,1;5,7;8.4;0,89;-;11.3%;25;NEUTRO;15;EVITAR;['Volatilidade alta (ATR 4.4%)'];alta;False;1229700;False
MTRE3;3,46;-0,91;6,34;23,17;71,6;0,052;89,9;1,69;3,65;25,4;17,7;5.7;0,36;-;9.4%;25;NEUTRO;10;EVITAR;['Volatilidade alta (ATR 3.7%)', 'Volume alto (1.7x)'];alta;False;1222200;False
AMAR3;0,9;15,38;23,29;69,81;74,3;0,023;96,3;2,17;7,28;100,0;48,9;-;7,56;-;-130.6%;25;NEUTRO;10;EVITAR;['Volatilidade alta (ATR 7.3%)', 'Volume alto (2.2x)'];alta;False;1212100;False
