ticker;preco;var_1d;var_5d;var_20d;rsi;macd_hist;bb_pct;vol_ratio;atr_pct;dist_min52;dist_max52;pl;pvp;dy;roe;score;classificacao;liquidez;gema;volume_dia
IRBR3;53,88;0,07;-5,14;-0,45;43,8;-0,406;14,4;0,9;2,61;25,5;20,1;12.6;0,83;-;6.7%;60;FORTE OPORTUNIDADE;baixa;True;333300
EGIE3;29,78;1,33;-1,62;-12,87;34,2;-0,189;18,8;0,36;2,79;11,4;30,3;13.4;2,5;-;20.2%;55;OBSERVAR;alta;False;1276600
CXSE3;20,65;-2,91;-7,32;4,77;45,8;-0,186;28,5;0,46;2,63;66,7;9,2;14.1;4,5;-;31.6%;50;OBSERVAR;alta;False;3314800
PGMN3;3,34;-0,89;-1,76;-9,49;32,5;0,004;8,7;0,36;4,06;4,4;128,1;6.8;0,72;-;10.1%;50;OBSERVAR;alta;False;1435000
CPFE3;44,93;-0,35;-3,0;-0,49;44,0;-0,211;21,8;0,48;2,11;30,3;17,9;9.0;2,13;-;24.8%;50;OBSERVAR;baixa;True;504500
COGN3;2,13;2,4;-2,29;-6,99;39,1;-0,009;18,2;0,4;3,82;3,4;121,9;6.3;0,31;-;4.7%;40;OBSERVAR;alta;False;8611600
ONCO3;0,63;6,78;-7,35;-53,33;34,1;-0,022;20,0;0,3;20,19;6,8;852,4;-;1,32;-;-205.9%;40;OBSERVAR;alta;False;4388300
BHIA3;0,8;0,0;-20,79;-28,57;21,9;-0,011;1,5;0,37;8,1;1,3;585,0;-;0,29;-;-188.5%;40;OBSERVAR;alta;False;1885000
SBSP3;28,66;0,99;-1,1;-3,34;45,2;-0,18;17,2;0,24;2,44;43,2;23,2;11.3;2,3;-;21.2%;35;NEUTRO;alta;False;2692300
ITUB4;42,52;1,0;0,52;0,3;53,0;-0,145;43,7;0,32;1,86;40,0;14,6;10.3;2,23;-;21.8%;30;NEUTRO;alta;False;5956500
ITSA4;13,66;1,56;0,22;1,04;53,7;-0,04;51,9;0,31;1,86;53,1;10,2;9.0;1,7;-;18.4%;30;NEUTRO;alta;False;5460400
UGPA3;32,14;-1,74;1,39;22,11;66,5;0,174;71,6;0,25;2,7;111,1;3,9;11.3;2,09;-;19.2%;30;NEUTRO;alta;False;2641400
ISAE4;26,61;0,57;-5,34;-5,81;37,5;-0,221;-0,2;0,66;3,04;35,5;20,4;7.5;0,82;-;11.3%;30;NEUTRO;alta;False;2425100
CMIN3;5,74;0,88;6,49;37,98;69,8;0,071;79,5;0,22;4,2;40,7;11,0;14.0;4,41;-;25.7%;30;NEUTRO;alta;False;2369100
