ticker;preco;var_1d;var_5d;var_20d;rsi;macd_hist;bb_pct;vol_ratio;atr_pct;dist_min52;dist_max52;pl;pvp;dy;roe;score;classificacao;score_trader;classificacao_trader;sinais_trader;liquidez;gema;volume_dia;alerta_spike
COGN3;2,21;-3,91;-3,49;-0,9;43,5;-0,016;1,9;1,5;4,78;11,1;113,9;6.1;0,32;-;4.9%;80;FORTE OPORTUNIDADE;50;OBSERVAR;['Preço tocando banda inferior Bollinger', 'Volatilidade alta (ATR 4.8%)', 'Volume alto (1.5x)'];alta;False;47387900;False
VIVA3;21,99;-1,43;-1,79;-3,13;46,0;-0,068;15,8;1,39;3,97;9,7;63,2;8.8;1,71;-;19.7%;75;FORTE OPORTUNIDADE;35;NEUTRO;['Preço tocando banda inferior Bollinger', 'Volatilidade alta (ATR 4.0%)'];alta;False;3658100;False
SUZB3;45,84;-3,47;-3,29;-0,67;47,9;-0,232;14,6;0,66;2,59;17,0;30,1;7.0;1,29;-;17.6%;65;FORTE OPORTUNIDADE;20;NEUTRO;['Preço tocando banda inferior Bollinger'];alta;False;4009100;False
KLBN11;18,29;-1,98;-6,83;-2,24;38,4;-0,162;-15,3;0,67;2,34;14,1;16,2;27.7;2,37;-;3.7%;60;FORTE OPORTUNIDADE;20;NEUTRO;['Preço tocando banda inferior Bollinger'];alta;False;3118300;False
SANB11;29,43;-0,07;-3,6;-1,01;47,9;-0,16;18,2;0,47;2,24;18,0;23,9;14.4;0,87;-;11.2%;60;FORTE OPORTUNIDADE;20;NEUTRO;['Preço tocando banda inferior Bollinger'];alta;False;1355200;False
EGIE3;29,0;-1,16;-6,09;0,55;41,1;-0,145;11,9;0,31;2,41;8,2;31,2;8.4;2,21;-;28.6%;60;FORTE OPORTUNIDADE;20;NEUTRO;['Preço tocando banda inferior Bollinger'];alta;False;1038400;False
RECV3;10,73;-1,56;-4,37;3,47;45,8;-0,099;15,6;0,42;3,0;20,8;28,5;6.3;0,71;-;11.3%;60;FORTE OPORTUNIDADE;30;NEUTRO;['Preço tocando banda inferior Bollinger', 'Small Cap (potencial alto)'];baixa;True;829600;False
ALUP11;31,83;-1,3;-4,7;-2,96;39,2;-0,197;-4,0;0,71;2,08;7,8;15,1;7.6;1,09;-;15.8%;60;FORTE OPORTUNIDADE;30;NEUTRO;['Preço tocando banda inferior Bollinger', 'Small Cap (potencial alto)'];baixa;True;746700;False
HBRE3;2,54;-2,68;-5,93;-1,93;47,3;-0,025;0,5;0,6;4,72;29,6;74,4;7.3;0,15;-;4.0%;60;FORTE OPORTUNIDADE;45;OBSERVAR;['Preço tocando banda inferior Bollinger', 'Volatilidade alta (ATR 4.7%)', 'Small Cap (potencial alto)'];baixa;True;336300;False
PASS3;22,81;-1,98;-1,3;-1,51;44,6;-0,042;19,1;0,27;2,98;11,6;24,3;14.2;2,7;-;17.4%;60;FORTE OPORTUNIDADE;30;NEUTRO;['Preço tocando banda inferior Bollinger', 'Small Cap (potencial alto)'];baixa;True;299900;False
BBDC4;17,73;-1,66;-2,31;4,47;48,7;-0,02;40,1;0,43;2,37;14,0;19,7;8.1;1,03;-;13.8%;55;OBSERVAR;0;EVITAR;[];alta;False;18130100;False
CURY3;27,47;0,62;-4,95;-14,13;32,1;-0,538;4,5;0,52;4,7;4,0;46,5;7.5;5,11;-;68.5%;55;OBSERVAR;65;FORTE OPORTUNIDADE;['RSI sobrevendido (32)', 'Preço tocando banda inferior Bollinger', 'Volatilidade alta (ATR 4.7%)'];alta;False;2130800;False
LIGT3;3,36;-4,0;-5,35;0,6;41,5;-0,043;-14,4;0,52;4,74;39,4;93,2;2.2;0,13;-;32.4%;55;OBSERVAR;35;NEUTRO;['Preço tocando banda inferior Bollinger', 'Volatilidade alta (ATR 4.7%)'];alta;False;1619500;False
SHUL4;4,32;0,0;-0,69;-4,64;39,8;-0,009;17,0;1,68;2,0;9,1;28,8;5.9;0,99;-;16.9%;55;OBSERVAR;35;NEUTRO;['Preço tocando banda inferior Bollinger', 'Volume alto (1.7x)'];alta;False;1036700;False
KEPL3;6,41;-1,38;0,0;-1,69;47,1;-0,025;10,1;0,59;2,38;15,1;63,8;8.0;1,39;-;18.3%;55;OBSERVAR;30;NEUTRO;['Preço tocando banda inferior Bollinger', 'Small Cap (potencial alto)'];baixa;True;653100;False
CMIN3;5,03;-1,37;-12,37;-16,03;30,5;-0,192;5,4;0,53;5,59;23,3;40,6;15.7;3,7;-;28.1%;50;OBSERVAR;65;FORTE OPORTUNIDADE;['RSI sobrevendido (31)', 'Preço tocando banda inferior Bollinger', 'Volatilidade alta (ATR 5.6%)'];alta;False;4564400;False
CMIG4;10,94;-0,82;-2,41;4,84;48,9;-0,025;40,2;0,28;2,38;15,6;21,1;6.8;1,07;-;15.9%;50;OBSERVAR;0;EVITAR;[];alta;False;4346900;False
BBSE3;38,89;0,08;-3,76;-1,32;43,7;-0,3;11,3;0,35;2,49;38,6;10,5;8.2;6,93;-;85.9%;50;OBSERVAR;20;NEUTRO;['Preço tocando banda inferior Bollinger'];alta;False;2204000;False
TTEN3;10,13;-0,49;-3,25;-9,23;34,6;-0,042;12,5;0,64;3,88;5,4;76,7;8.2;1,01;-;12.1%;50;OBSERVAR;65;FORTE OPORTUNIDADE;['RSI sobrevendido (35)', 'Preço tocando banda inferior Bollinger', 'Volatilidade alta (ATR 3.9%)'];alta;False;1085900;False
CASH3;5,14;-3,75;-6,72;-10,3;44,6;-0,045;7,0;0,5;5,18;60,1;16,7;-;1,36;-;-20.8%;50;OBSERVAR;45;OBSERVAR;['Preço tocando banda inferior Bollinger', 'Volatilidade alta (ATR 5.2%)', 'Small Cap (potencial alto)'];baixa;True;737900;False
INTB3;14,05;-2,23;-4,22;-2,23;41,4;-0,127;-18,7;0,36;3,17;42,4;11,0;7.7;1,39;-;18.6%;50;OBSERVAR;45;OBSERVAR;['Preço tocando banda inferior Bollinger', 'Volatilidade alta (ATR 3.2%)', 'Small Cap (potencial alto)'];baixa;True;347400;False
PGMN3;3,56;-5,07;-4,81;3,19;45,9;-0,019;23,1;1,06;5,04;15,2;114,0;7.1;0,75;-;10.6%;45;OBSERVAR;15;EVITAR;['Volatilidade alta (ATR 5.0%)'];alta;False;6445400;False
DIRR3;9,96;0,81;-1,09;-9,54;35,4;-0,049;19,0;0,49;4,17;3,0;73,3;6.1;2,22;-;41.9%;45;OBSERVAR;35;NEUTRO;['Preço tocando banda inferior Bollinger', 'Volatilidade alta (ATR 4.2%)'];alta;False;5497800;False
BBDC3;15,64;-1,94;-2,43;4,94;49,1;-0,02;40,3;0,59;2,35;17,6;16,2;7.1;0,91;-;13.8%;45;OBSERVAR;0;EVITAR;[];alta;False;4620600;False
