ticker;preco;var_1d;var_5d;var_20d;rsi;macd_hist;bb_pct;vol_ratio;atr_pct;dist_min52;dist_max52;pl;pvp;dy;roe;score;classificacao;score_trader;classificacao_trader;sinais_trader;liquidez;gema;volume_dia;alerta_spike
ALUP11;32,7;-2,1;-3,08;5,28;47,9;-0,056;33,1;3,45;2,06;11,7;12,0;7.8;1,12;-;15.8%;70;FORTE OPORTUNIDADE;15;EVITAR;['Volume alto (3.5x)'];alta;False;3689400;False
OPCT3;9,32;1,19;-17,67;-2,82;34,5;-0,168;2,6;1,51;5,54;28,5;25,6;11.1;1,8;-;17.2%;70;FORTE OPORTUNIDADE;80;FORTE OPORTUNIDADE;['RSI sobrevendido (35)', 'Preço tocando banda inferior Bollinger', 'Volatilidade alta (ATR 5.5%)', 'Volume alto (1.5x)'];alta;False;2010700;False
DIRR3;10,05;-0,2;-4,01;-3,46;33,8;-0,082;11,3;1,53;4,34;3,9;71,7;6.2;2,25;-;41.9%;65;FORTE OPORTUNIDADE;80;FORTE OPORTUNIDADE;['RSI sobrevendido (34)', 'Preço tocando banda inferior Bollinger', 'Volatilidade alta (ATR 4.3%)', 'Volume alto (1.5x)'];alta;False;16618700;False
SANB11;29,47;-3,47;-3,76;1,73;48,5;-0,114;19,5;0,98;2,35;18,2;23,7;14.4;0,87;-;11.2%;60;FORTE OPORTUNIDADE;20;NEUTRO;['Preço tocando banda inferior Bollinger'];alta;False;3389200;False
COGN3;2,26;-1,31;-3,0;10,78;47,1;-0,01;37,3;0,98;4,52;13,6;109,1;6.3;0,33;-;4.9%;55;OBSERVAR;15;EVITAR;['Volatilidade alta (ATR 4.5%)'];alta;False;28828900;False
AXIA3;53,8;-2,89;-1,82;5,24;49,3;-0,087;39,1;1,97;2,85;14,4;26,1;10.3;1,26;-;10.0%;55;OBSERVAR;15;EVITAR;['Volume alto (2.0x)'];alta;False;23390200;False
CURY3;29,05;0,52;-8,71;-3,01;37,4;-0,45;0,8;1,72;4,63;10,0;38,5;8.0;5,41;-;68.5%;55;OBSERVAR;50;OBSERVAR;['Preço tocando banda inferior Bollinger', 'Volatilidade alta (ATR 4.6%)', 'Volume alto (1.7x)'];alta;False;6217200;False
MYPK3;9,22;-2,33;-6,96;2,22;43,3;-0,036;28,8;1,56;3,05;7,3;40,9;15.1;0,34;-;4.9%;55;OBSERVAR;30;NEUTRO;['Volatilidade alta (ATR 3.0%)', 'Volume alto (1.6x)'];alta;False;1213500;False
CMIN3;5,46;-4,88;-18,75;-3,02;36,9;-0,135;3,3;1,51;5,9;33,8;29,5;17.1;4,02;-;28.1%;50;OBSERVAR;50;OBSERVAR;['Preço tocando banda inferior Bollinger', 'Volatilidade alta (ATR 5.9%)', 'Volume alto (1.5x)'];alta;False;12952100;False
MRVE3;5,23;-3,68;-8,89;6,52;46,4;-0,05;14,6;0,87;5,77;24,5;101,3;-;0,64;-;-10.0%;50;OBSERVAR;35;NEUTRO;['Preço tocando banda inferior Bollinger', 'Volatilidade alta (ATR 5.8%)'];alta;False;11774500;False
MDIA3;16,81;-0,88;-1,64;-0,77;39,0;-0,045;6,5;2,77;2,35;0,6;71,3;8.8;0,66;-;7.8%;50;OBSERVAR;35;NEUTRO;['Preço tocando banda inferior Bollinger', 'Volume alto (2.8x)'];alta;False;2115000;False
BBAS3;23,2;1,84;3,16;29,24;70,4;0,132;80,0;1,77;3,18;31,1;18,1;10.8;0,73;-;10.5%;45;OBSERVAR;10;EVITAR;['Volatilidade alta (ATR 3.2%)', 'Volume alto (1.8x)'];alta;False;59771100;False
