ticker;preco;var_1d;var_5d;var_20d;rsi;macd_hist;bb_pct;vol_ratio;atr_pct;dist_min52;dist_max52;pl;pvp;dy;roe;score;classificacao;score_trader;classificacao_trader;sinais_trader;liquidez;gema;volume_dia;alerta_spike
AZTE3;1,35;1,5;-16,15;-6,9;45,2;-0,022;19,6;0,2;11,44;28,6;322,2;4.4;0,19;-;-;20;NEUTRO;45;OBSERVAR;['Preço tocando banda inferior Bollinger', 'Volatilidade alta (ATR 11.4%)', 'Small Cap (potencial alto)'];baixa;True;373000;False
SAPR4;6,82;1,04;0,0;5,9;53,5;0,01;65,1;0,3;2,53;10,5;35,3;24.4;0,17;-;3.8%;20;NEUTRO;10;EVITAR;['Small Cap (potencial alto)'];baixa;True;338700;False
TAEE11;41,74;-0,41;3,04;11,1;64,6;0,11;76,8;0,21;1,98;26,6;5,0;39.4;1,78;-;20.9%;20;NEUTRO;10;EVITAR;['Small Cap (potencial alto)'];baixa;True;323200;False
LOGG3;24,86;1,39;6,24;6,51;55,3;0,093;79,3;1,08;3,18;53,5;14,6;5.8;0,62;-;10.5%;20;NEUTRO;25;NEUTRO;['Volatilidade alta (ATR 3.2%)', 'Small Cap (potencial alto)'];baixa;True;301500;False
RIAA3;6,98;1,75;-0,99;2,35;45,6;0,005;37,1;0,14;4,28;13,6;55,2;2.3;0,65;-;28.0%;20;NEUTRO;25;NEUTRO;['Volatilidade alta (ATR 4.3%)', 'Small Cap (potencial alto)'];baixa;True;222800;False
ONCO3;1,29;0,0;20,56;12,17;56,0;-0,016;51,9;0,34;14,65;143,4;202,9;-;86,0;-;-273.5%;15;EVITAR;15;EVITAR;['Volatilidade alta (ATR 14.6%)'];alta;False;8982200;False
PMAM3;0,42;10,53;-32,26;223,08;53,7;-0,002;59,3;0,34;30,66;366,7;250,0;-;-0,01;-;-;15;EVITAR;15;EVITAR;['Volatilidade alta (ATR 30.7%)'];alta;False;8257800;False
CSNA3;6,06;3,59;-4,57;26,51;53,4;-0,065;51,1;0,24;6,66;44,6;86,8;-;0,66;-;-12.3%;15;EVITAR;15;EVITAR;['Volatilidade alta (ATR 6.7%)'];alta;False;5823800;False
PCAR3;3,0;-1,64;-2,6;4,9;54,1;0,021;61,0;0,78;5,78;114,3;53,3;-;3,61;-;-129.4%;15;EVITAR;15;EVITAR;['Volatilidade alta (ATR 5.8%)'];alta;False;4463900;False
SMFT3;17,32;1,88;1,35;0,43;46,6;0,034;50,0;0,44;3,26;5,7;51,9;15.7;1,76;-;11.7%;15;EVITAR;15;EVITAR;['Volatilidade alta (ATR 3.3%)'];alta;False;3809300;False
MRVE3;5,45;4,21;-1,8;7,07;52,2;-0,053;38,3;0,28;5,45;29,8;93,2;-;0,67;-;-10.0%;15;EVITAR;15;EVITAR;['Volatilidade alta (ATR 5.5%)'];alta;False;3554400;False
CPLE3;16,06;0,44;0,88;13,5;68,7;0,028;71,7;0,17;2,03;52,4;5,1;15.0;2,11;-;12.8%;15;EVITAR;0;EVITAR;[];alta;False;2888500;False
BPAC11;62,62;1,99;3,54;20,77;73,5;0,343;86,0;0,27;2,64;42,6;3,1;102.1;3,75;-;24.4%;15;EVITAR;-20;EVITAR;[];alta;False;2570100;False
GGBR4;25,44;0,39;1,52;14,85;55,3;0,026;63,9;0,23;3,3;60,8;3,3;22.1;0,93;-;4.2%;15;EVITAR;15;EVITAR;['Volatilidade alta (ATR 3.3%)'];alta;False;2157800;False
HAPV3;6,32;1,77;-5,95;-3,36;35,3;0,065;22,8;0,25;6,43;5,2;505,7;-;0,06;-;-0.4%;15;EVITAR;15;EVITAR;['Volatilidade alta (ATR 6.4%)'];alta;False;2101600;False
GOAU4;11,46;0,35;2,23;16,35;58,8;0,039;70,5;0,21;3,17;69,3;2,8;19.1;0,79;-;4.2%;15;EVITAR;15;EVITAR;['Volatilidade alta (ATR 3.2%)'];alta;False;2098300;False
EMBJ3;97,2;0,12;0,7;-0,07;58,6;-0,125;74,7;0,32;2,73;43,3;8,1;30.8;3,86;-;12.2%;15;EVITAR;0;EVITAR;[];alta;False;1433100;False
KLBN11;19,21;0,37;-0,05;3,89;55,9;-0,066;48,7;0,31;2,0;19,9;10,6;29.1;2,49;-;3.7%;15;EVITAR;0;EVITAR;[];alta;False;1399800;False
AZZA3;14,52;1,54;-7,93;-4,1;38,8;-0,169;24,8;0,44;5,09;1,5;102,4;2.9;0,37;-;4.0%;15;EVITAR;15;EVITAR;['Volatilidade alta (ATR 5.1%)'];alta;False;1363500;False
HYPE3;23,72;-0,34;0,81;12,05;67,0;0,096;82,8;0,42;2,84;20,8;13,0;9.0;1,16;-;13.2%;15;EVITAR;0;EVITAR;[];alta;False;1223500;False
