ticker;preco;var_1d;var_5d;var_20d;rsi;macd_hist;bb_pct;vol_ratio;atr_pct;dist_min52;dist_max52;pl;pvp;dy;roe;score;classificacao;score_trader;classificacao_trader;sinais_trader;liquidez;gema;volume_dia;alerta_spike
ALUP11;32,85;0,46;-1,65;2,24;49,5;-0,082;37,2;0,35;2,03;11,3;11,5;7.9;1,12;-;15.8%;60;FORTE OPORTUNIDADE;10;EVITAR;['Small Cap (potencial alto)'];baixa;True;352800;False
DIRR3;10,08;0,3;-0,49;-3,82;34,6;-0,074;15,3;0,28;4,17;4,2;71,2;6.2;2,25;-;41.9%;55;OBSERVAR;65;FORTE OPORTUNIDADE;['RSI sobrevendido (35)', 'Preço tocando banda inferior Bollinger', 'Volatilidade alta (ATR 4.2%)'];alta;False;2746000;False
VIVA3;23,16;2,57;3,39;7,62;58,5;0,01;80,0;0,54;3,26;15,6;55,0;9.3;1,8;-;19.7%;50;OBSERVAR;35;NEUTRO;['MACD cruzou para positivo', 'Volatilidade alta (ATR 3.3%)'];alta;False;1084300;False
CURY3;28,82;-0,79;-6,43;-3,61;36,5;-0,475;0,9;0,29;4,59;9,1;39,7;7.9;5,36;-;68.5%;45;OBSERVAR;45;OBSERVAR;['Preço tocando banda inferior Bollinger', 'Volatilidade alta (ATR 4.6%)', 'Small Cap (potencial alto)'];baixa;True;942100;False
RECV3;10,92;-0,91;-3,96;3,9;49,7;-0,07;38,5;0,2;3,1;22,9;26,3;6.4;0,72;-;11.3%;45;OBSERVAR;25;NEUTRO;['Volatilidade alta (ATR 3.1%)', 'Small Cap (potencial alto)'];baixa;True;414000;False
SMTO3;18,76;-1,16;-4,96;1,9;49,6;-0,328;21,2;0,19;4,51;47,4;14,1;7.7;0,82;-;11.3%;45;OBSERVAR;25;NEUTRO;['Volatilidade alta (ATR 4.5%)', 'Small Cap (potencial alto)'];baixa;True;402500;False
CMIN3;5,49;0,55;-12,3;-6,95;37,7;-0,153;8,9;0,26;5,65;34,6;28,8;17.2;4,04;-;28.1%;40;OBSERVAR;35;NEUTRO;['Preço tocando banda inferior Bollinger', 'Volatilidade alta (ATR 5.7%)'];alta;False;2083600;False
AGRO3;18,21;0,72;-0,44;-4,61;39,5;-0,118;12,7;1,68;2,18;2,0;24,9;-;0,9;-;-4.3%;40;OBSERVAR;45;OBSERVAR;['Preço tocando banda inferior Bollinger', 'Volume alto (1.7x)', 'Small Cap (potencial alto)'];baixa;True;351200;False
EGIE3;30,53;0,46;0,23;10,5;57,6;0,064;66,0;0,1;2,15;13,9;24,7;8.9;2,32;-;28.6%;40;OBSERVAR;10;EVITAR;['Small Cap (potencial alto)'];baixa;True;302300;False
TTEN3;10,38;0,29;-1,98;-8,06;36,3;-0,045;11,9;0,18;4,05;8,0;72,4;8.4;1,04;-;12.1%;40;OBSERVAR;45;OBSERVAR;['Preço tocando banda inferior Bollinger', 'Volatilidade alta (ATR 4.0%)', 'Small Cap (potencial alto)'];baixa;True;286800;False
POMO4;4,25;-0,7;-4,06;-2,1;38,9;-0,006;2,7;0,61;3,53;8,1;75,3;4.4;1,24;-;28.3%;35;NEUTRO;35;NEUTRO;['Preço tocando banda inferior Bollinger', 'Volatilidade alta (ATR 3.5%)'];alta;False;8729700;False
