ticker;preco;var_1d;var_5d;var_20d;rsi;macd_hist;bb_pct;vol_ratio;atr_pct;dist_min52;dist_max52;pl;pvp;dy;roe;score;classificacao;score_trader;classificacao_trader;sinais_trader;liquidez;gema;volume_dia
RCSL4;0,49;-14,04;-25,76;-30,0;40,6;-0,007;18,4;0,74;13,05;92,2;465,8;6.8;-2,3;-;-;60;FORTE OPORTUNIDADE;35;NEUTRO;['Preço tocando banda inferior Bollinger', 'Volatilidade alta (ATR 13.0%)'];alta;False;15552300
UNIP6;55,19;-1,81;-4,93;-12,06;31,2;-0,286;9,5;2,12;2,63;4,3;31,7;24.8;3,3;-;10.8%;50;OBSERVAR;75;FORTE OPORTUNIDADE;['RSI sobrevendido (31)', 'Preço tocando banda inferior Bollinger', 'Volume alto (2.1x)', 'Small Cap (potencial alto)'];baixa;True;220400
MULT3;27,42;0,0;4,06;-2,87;47,9;0,089;49,2;1,51;2,44;7,0;28,7;9.8;1,99;-;21.9%;40;OBSERVAR;15;EVITAR;['Volume alto (1.5x)'];alta;False;3393300
TEND3;33,39;4,15;8,09;13,23;55,9;0,095;77,9;1,4;4,59;62,6;11,5;6.8;2,61;-;40.6%;40;OBSERVAR;15;EVITAR;['Volatilidade alta (ATR 4.6%)'];alta;False;2648300
TFCO4;12,75;-0,55;-0,16;-11,76;32,7;-0,061;23,3;1,36;3,5;1,6;42,6;13.9;3,19;-;25.7%;40;OBSERVAR;55;OBSERVAR;['RSI sobrevendido (33)', 'Volatilidade alta (ATR 3.5%)', 'Small Cap (potencial alto)'];baixa;True;365700
LREN3;10,63;-1,57;1,24;-21,38;31,7;-0,026;24,9;0,54;4,44;1,4;55,3;7.2;0,99;-;14.5%;35;NEUTRO;45;OBSERVAR;['RSI sobrevendido (32)', 'Volatilidade alta (ATR 4.4%)'];alta;False;11580500
SEER3;11,92;0,93;16,18;-1,24;55,1;0,082;65,0;3,25;4,77;48,0;18,5;5.7;1,02;-;19.1%;35;NEUTRO;30;NEUTRO;['Volatilidade alta (ATR 4.8%)', 'Volume alto (3.3x)'];alta;False;2818600
PTBL3;1,47;6,52;5,76;-15,03;44,1;0,001;36,0;2,1;8,08;13,1;199,3;-;-2,14;-;-440.3%;35;NEUTRO;60;FORTE OPORTUNIDADE;['MACD cruzou para positivo', 'Volatilidade alta (ATR 8.1%)', 'Volume alto (2.1x)', 'Small Cap (potencial alto)'];baixa;True;916300
TCSA3;0,69;13,11;4,55;0,0;48,2;0,0;44,8;3,63;7,33;13,1;179,7;-;0,18;-;-22.4%;35;NEUTRO;60;FORTE OPORTUNIDADE;['MACD cruzou para positivo', 'Volatilidade alta (ATR 7.3%)', 'Volume alto (3.6x)', 'Small Cap (potencial alto)'];baixa;True;220300
SBSP3;25,08;0,08;7,59;-8,5;43,1;0,125;44,2;0,63;3,18;10,4;40,8;10.6;1,97;-;18.8%;30;NEUTRO;15;EVITAR;['Volatilidade alta (ATR 3.2%)'];alta;False;28781200
RADL3;19,4;0,47;10,42;6,3;58,1;0,118;67,9;0,83;3,68;20,9;39,8;22.8;4,64;-;20.0%;30;NEUTRO;15;EVITAR;['Volatilidade alta (ATR 3.7%)'];alta;False;5103600
