ticker;preco;var_1d;var_5d;var_20d;rsi;macd_hist;bb_pct;vol_ratio;atr_pct;dist_min52;dist_max52;pl;pvp;dy;roe;score;classificacao;score_trader;classificacao_trader;sinais_trader;liquidez;gema;volume_dia
RCSL3;0,37;-2,63;-7,5;-32,73;33,1;-0,005;19,0;1,64;9,69;5,7;216,2;6.2;-3,43;-;-;50;OBSERVAR;90;FORTE OPORTUNIDADE;['RSI sobrevendido (33)', 'Preço tocando banda inferior Bollinger', 'Volatilidade alta (ATR 9.7%)', 'Volume alto (1.6x)', 'Small Cap (potencial alto)'];baixa;True;400000
OBTC3;6,44;-6,4;-13,79;0,62;45,4;-0,029;33,3;4,47;6,34;12,8;76,7;-;1,1;-;-;45;OBSERVAR;30;NEUTRO;['Volatilidade alta (ATR 6.3%)', 'Volume alto (4.5x)'];alta;False;3261700
TEND3;33,5;1,21;0,21;7,15;56,0;0,142;77,3;0,45;4,55;63,1;11,1;7.1;2,67;-;40.6%;40;OBSERVAR;15;EVITAR;['Volatilidade alta (ATR 4.6%)'];alta;False;1225900
TFCO4;13,34;4,38;2,93;-11,01;47,1;0,031;47,9;0,59;3,42;6,3;36,3;14.2;3,3;-;25.7%;40;OBSERVAR;45;OBSERVAR;['MACD cruzou para positivo', 'Volatilidade alta (ATR 3.4%)', 'Small Cap (potencial alto)'];baixa;True;363900
HAPV3;6,71;1,51;4,52;-43,04;34,0;0,033;36,6;0,53;7,7;11,6;535,8;-;0,07;-;-0.4%;35;NEUTRO;65;FORTE OPORTUNIDADE;['RSI sobrevendido (34)', 'MACD cruzou para positivo', 'Volatilidade alta (ATR 7.7%)'];alta;False;6118700
EMBJ3;92,84;-0,7;-3,63;2,57;48,0;-1,081;20,4;0,49;2,97;36,9;13,2;28.9;3,69;-;12.2%;35;NEUTRO;0;EVITAR;[];alta;False;2646000
HYPE3;22,12;1,94;1,47;2,69;59,3;0,058;95,3;0,38;2,84;12,6;21,2;8.3;1,08;-;13.2%;35;NEUTRO;0;EVITAR;[];alta;False;1165000
WIZC3;7,96;0,0;2,58;-2,93;54,9;0,056;77,5;1,02;2,47;8,6;25,8;6.4;1,85;-;26.6%;35;NEUTRO;10;EVITAR;['Small Cap (potencial alto)'];baixa;True;333800
SANB4;14,6;-1,35;-1,55;0,83;52,7;-0,027;40,2;0,62;2,47;13,6;26,6;8.2;0,43;-;11.2%;35;NEUTRO;10;EVITAR;['Small Cap (potencial alto)'];baixa;True;252000
MOTV3;15,9;2,85;5,16;6,28;71,1;0,187;105,9;1,1;2,7;17,8;11,6;9.5;1,8;-;22.0%;30;NEUTRO;-20;EVITAR;[];alta;False;13034200
