ticker;preco;var_1d;var_5d;var_20d;rsi;macd_hist;bb_pct;vol_ratio;atr_pct;dist_min52;dist_max52;pl;pvp;dy;roe;score;classificacao;liquidez;gema;volume_dia
BRKM5;3,75;-8,76;-26,61;-34,44;21,0;-0,102;-13,7;1,55;11,72;1,4;267,5;-;-0,24;-;-;50;OBSERVAR;alta;False;13144700
CMIG4;10,49;-0,19;3,15;-4,64;46,8;0,002;43,9;0,46;2,41;10,2;27,1;6.5;1,03;-;15.9%;40;OBSERVAR;alta;False;6760400
BHIA3;0,38;-2,56;-9,52;-50,0;18,5;-0,01;15,9;0,39;15,56;2,7;1342,1;-;-0,05;-;-;40;OBSERVAR;alta;False;3423600
TEND3;32,67;-2,27;1,93;14,44;53,2;0,059;63,2;0,86;4,39;63,5;14,0;6.9;2,6;-;40.6%;40;OBSERVAR;alta;False;2322800
DESK3;18,34;-3,47;-3,12;0,44;43,2;-0,048;-2,6;1,23;1,63;139,3;4,6;38.2;1,49;-;4.7%;40;OBSERVAR;baixa;True;599600
UNIP6;56,65;-2,53;-1,58;-10,46;35,7;-0,154;18,9;1,72;2,44;7,0;28,3;25.2;3,38;-;10.8%;40;OBSERVAR;baixa;True;309700
BBDC4;17,02;1,43;6,24;-6,99;48,5;0,019;49,4;0,55;2,53;14,8;24,8;7.8;0,99;-;13.8%;35;NEUTRO;alta;False;20189500
LREN3;10,9;-1,62;1,58;-18,41;34,0;-0,036;27,8;0,63;4,47;4,0;51,5;7.3;1,01;-;14.5%;35;NEUTRO;alta;False;13525500
GOAU4;9,87;0,3;-3,8;-7,37;37,9;-0,158;12,4;0,6;3,36;49,6;15,9;16.4;0,68;-;4.2%;35;NEUTRO;alta;False;6281400
RCSL4;0,59;-21,33;-1,67;-10,61;48,1;0,006;38,4;0,65;10,37;131,4;369,9;9.8;-3,31;-;-;35;NEUTRO;alta;False;4299600
FESA4;5,19;0,58;6,57;-13,64;41,3;0,017;41,4;1,42;3,56;9,3;71,5;12.7;0,54;-;4.4%;35;NEUTRO;alta;False;1931000
HYPE3;22,08;1,28;6,2;4,99;60,8;0,052;97,4;0,65;2,93;12,4;21,4;8.4;1,07;-;13.2%;35;NEUTRO;alta;False;1830600
BBSE3;39,11;0,54;6,68;0,44;59,7;0,088;73,2;0,28;1,96;39,4;4,2;8.3;6,97;-;85.9%;35;NEUTRO;alta;False;1778200
DXCO3;5,15;0,0;3,41;2,39;55,5;0,0;65,2;0,46;3,23;16,3;20,8;-;0,68;-;0.7%;35;NEUTRO;baixa;True;806900
SBSP3;25,14;1,82;5,28;-5,52;43,6;0,051;43,5;0,71;3,25;15,0;40,5;10.6;1,96;-;18.8%;30;NEUTRO;alta;False;15998700
UGPA3;33,22;-1,19;0,78;6,89;62,7;0,09;75,4;1,02;3,11;102,2;3,0;10.1;2,16;-;19.8%;30;NEUTRO;alta;False;10598700
CYRE3;24,23;-2,02;11,66;16,66;66,7;0,402;100,0;1,39;3,69;22,6;48,6;5.2;0,95;-;20.6%;30;NEUTRO;alta;False;10335100
ITSA4;12,92;0,54;4,36;-4,23;49,2;0,022;48,9;0,43;2,29;34,3;16,5;8.0;1,54;-;18.9%;30;NEUTRO;alta;False;9386000
