ticker;preco;var_1d;var_5d;var_20d;rsi;macd_hist;bb_pct;vol_ratio;atr_pct;dist_min52;dist_max52;pl;pvp;dy;roe;score;classificacao;score_trader;classificacao_trader;sinais_trader;liquidez;gema;volume_dia;alerta_spike
ALUP11;32,65;-0,15;-2,25;1,62;47,4;-0,095;28,4;1,52;2,05;10,6;12,2;7.8;1,12;-;15.8%;70;FORTE OPORTUNIDADE;15;EVITAR;['Volume alto (1.5x)'];alta;False;1650300;False
ALLD3;5,01;-0,79;-0,99;-0,6;47,4;-0,028;8,3;0,91;2,61;13,3;64,4;1.4;0,31;-;23.6%;65;FORTE OPORTUNIDADE;30;NEUTRO;['Preço tocando banda inferior Bollinger', 'Small Cap (potencial alto)'];baixa;True;457100;False
SMTO3;18,53;-2,37;-6,13;0,65;48,0;-0,343;15,6;1,0;4,66;45,6;15,5;7.6;0,81;-;11.3%;60;FORTE OPORTUNIDADE;35;NEUTRO;['Preço tocando banda inferior Bollinger', 'Volatilidade alta (ATR 4.7%)'];alta;False;2188300;False
CURY3;29,04;-0,03;-5,71;-2,88;37,4;-0,461;3,7;1,63;4,56;9,9;38,6;8.0;5,4;-;68.5%;55;OBSERVAR;50;OBSERVAR;['Preço tocando banda inferior Bollinger', 'Volatilidade alta (ATR 4.6%)', 'Volume alto (1.6x)'];alta;False;6086100;False
MRVE3;5,26;0,57;-5,23;3,34;47,3;-0,065;14,7;1,21;5,76;25,2;100,2;-;0,65;-;-10.0%;50;OBSERVAR;35;NEUTRO;['Preço tocando banda inferior Bollinger', 'Volatilidade alta (ATR 5.8%)'];alta;False;16685400;False
VIVA3;23,82;5,49;6,34;10,69;63,6;0,052;106,2;2,18;3,41;18,9;50,7;9.6;1,85;-;19.7%;50;OBSERVAR;50;OBSERVAR;['MACD cruzou para positivo', 'Volatilidade alta (ATR 3.4%)', 'Volume alto (2.2x)'];alta;False;4976700;False
POMO4;4,23;-1,17;-4,51;-2,56;38,2;-0,007;-0,9;1,86;3,55;7,5;76,1;4.5;1,24;-;28.3%;45;OBSERVAR;50;OBSERVAR;['Preço tocando banda inferior Bollinger', 'Volatilidade alta (ATR 3.5%)', 'Volume alto (1.9x)'];alta;False;28715900;False
PGMN3;3,89;5,42;2,37;15,43;60,2;0,005;78,9;2,8;4,02;25,9;95,9;7.3;0,82;-;10.6%;45;OBSERVAR;30;NEUTRO;['Volatilidade alta (ATR 4.0%)', 'Volume alto (2.8x)'];alta;False;14636700;False
MLAS3;1,99;6,42;7,57;9,94;64,5;0,003;120,4;1,8;4,03;148,6;0,5;5.4;0,5;-;9.8%;45;OBSERVAR;50;OBSERVAR;['MACD cruzou para positivo', 'Volatilidade alta (ATR 4.0%)', 'Volume alto (1.8x)'];alta;False;3775300;False
RECV3;10,85;-1,54;-4,57;3,24;48,4;-0,074;34,1;0,96;3,12;22,1;27,1;6.5;0,72;-;11.3%;45;OBSERVAR;15;EVITAR;['Volatilidade alta (ATR 3.1%)'];alta;False;2105900;False
