ticker;preco;var_1d;var_5d;var_20d;rsi;macd_hist;bb_pct;vol_ratio;atr_pct;dist_min52;dist_max52;pl;pvp;dy;roe;score;classificacao;score_trader;classificacao_trader;sinais_trader;liquidez;gema;volume_dia;alerta_spike
PGMN3;3,37;-2,32;-8,67;-1,75;40,8;-0,048;-0,6;1,48;5,7;9,1;126,1;6.7;0,71;-;10.6%;70;FORTE OPORTUNIDADE;35;NEUTRO;['Preço tocando banda inferior Bollinger', 'Volatilidade alta (ATR 5.7%)'];alta;False;10530500;False
RAPT4;4,75;-6,31;-3,65;-1,45;41,7;-0,021;0,6;2,09;4,01;13,6;47,8;-;0,55;-;-1.4%;70;FORTE OPORTUNIDADE;50;OBSERVAR;['Preço tocando banda inferior Bollinger', 'Volatilidade alta (ATR 4.0%)', 'Volume alto (2.1x)'];alta;False;7205000;False
GGPS3;12,52;-0,87;-3,1;0,81;48,0;-0,086;13,5;0,93;3,36;15,3;56,9;9.9;2,09;-;22.3%;65;FORTE OPORTUNIDADE;35;NEUTRO;['Preço tocando banda inferior Bollinger', 'Volatilidade alta (ATR 3.4%)'];alta;False;2829800;False
SUZB3;45,05;-1,16;-6,13;-2,91;44,2;-0,376;0,0;0,44;2,58;15,0;32,4;6.9;1,27;-;17.6%;65;FORTE OPORTUNIDADE;20;NEUTRO;['Preço tocando banda inferior Bollinger'];alta;False;2567100;False
RADL3;18,14;-1,68;-10,33;-6,49;37,9;-0,226;-16,1;1,68;4,45;12,7;49,5;21.3;4,35;-;20.0%;60;FORTE OPORTUNIDADE;50;OBSERVAR;['Preço tocando banda inferior Bollinger', 'Volatilidade alta (ATR 4.4%)', 'Volume alto (1.7x)'];alta;False;15736900;False
CMIG4;10,88;-0,27;-2,34;5,26;47,4;-0,043;30,8;0,55;2,32;15,0;21,8;6.7;1,07;-;15.9%;60;FORTE OPORTUNIDADE;0;EVITAR;[];alta;False;8808000;False
ALUP11;32,08;0,09;-1,9;-1,38;41,6;-0,191;8,0;0,84;2,0;8,6;14,2;7.7;1,1;-;15.8%;60;FORTE OPORTUNIDADE;30;NEUTRO;['Preço tocando banda inferior Bollinger', 'Small Cap (potencial alto)'];baixa;True;935800;False
COGN3;2,15;-1,38;-4,87;-3,59;40,0;-0,025;-8,7;1,25;4,86;8,0;119,8;6.0;0,31;-;4.9%;55;OBSERVAR;35;NEUTRO;['Preço tocando banda inferior Bollinger', 'Volatilidade alta (ATR 4.9%)'];alta;False;42036700;False
KLBN11;18,14;-0,77;-5,22;-3,46;36,4;-0,196;-12,5;2,34;2,3;13,2;17,1;27.4;2,35;-;3.7%;55;OBSERVAR;35;NEUTRO;['Preço tocando banda inferior Bollinger', 'Volume alto (2.3x)'];alta;False;11843400;False
DIRR3;9,81;-0,51;-2,39;-10,57;32,3;-0,053;16,9;0,66;4,09;1,4;75,9;6.0;2,19;-;41.9%;55;OBSERVAR;65;FORTE OPORTUNIDADE;['RSI sobrevendido (32)', 'Preço tocando banda inferior Bollinger', 'Volatilidade alta (ATR 4.1%)'];alta;False;7430400;False
