ticker;preco;var_1d;var_5d;var_20d;rsi;macd_hist;bb_pct;vol_ratio;atr_pct;dist_min52;dist_max52;pl;pvp;dy;roe;score;classificacao;score_trader;classificacao_trader;sinais_trader;liquidez;gema;volume_dia
FLRY3;18,66;0,11;2,08;13,32;70,1;-0,006;76,2;0,71;2,5;44,6;3,5;16.1;2,03;-;12.6%;15;EVITAR;-20;EVITAR;[];alta;False;3155500
PGMN3;3,45;-1,71;4,55;10,22;52,2;0,032;74,8;0,61;4,31;11,7;120,9;6.9;0,73;-;10.6%;15;EVITAR;15;EVITAR;['Volatilidade alta (ATR 4.3%)'];alta;False;3091300
CURY3;31,99;-1,81;1,72;13,08;54,6;0,142;81,9;0,77;4,1;21,1;25,8;8.8;5,95;-;68.5%;15;EVITAR;15;EVITAR;['Volatilidade alta (ATR 4.1%)'];alta;False;2988300
AZZA3;14,89;1,71;-3,19;-7,8;38,1;-0,025;23,6;0,96;4,93;3,4;119,3;3.0;0,37;-;4.0%;15;EVITAR;15;EVITAR;['Volatilidade alta (ATR 4.9%)'];alta;False;2808300
SMTO3;18,63;0,92;12,16;30,55;71,4;0,465;92,2;0,99;4,42;46,3;14,9;7.6;0,82;-;11.3%;15;EVITAR;-5;EVITAR;['Volatilidade alta (ATR 4.4%)'];alta;False;2382000
SLCE3;16,29;2,39;13,68;24,45;80,9;0,326;103,1;0,82;2,7;29,5;19,6;26.3;1,49;-;7.0%;15;EVITAR;-20;EVITAR;[];alta;False;2302500
CASH3;5,73;2,69;13,92;32,64;67,6;0,043;89,7;0,96;4,9;78,5;0,7;-;1,51;-;-20.8%;15;EVITAR;15;EVITAR;['Volatilidade alta (ATR 4.9%)'];alta;False;1868700
ALUP11;32,8;0,43;4,46;2,32;58,0;0,18;85,9;1,24;2,19;16,0;11,7;7.9;1,12;-;15.8%;15;EVITAR;0;EVITAR;[];alta;False;1458400
KEPL3;6,52;1,87;14,59;1,09;63,4;0,082;89,6;1,03;2,95;17,1;61,0;8.0;1,42;-;18.3%;15;EVITAR;0;EVITAR;[];alta;False;1371500
SAPR4;6,53;-1,36;4,65;-6,18;44,4;0,032;45,6;0,72;2,8;5,8;41,3;23.3;0,16;-;3.8%;15;EVITAR;0;EVITAR;[];alta;False;1158300
POSI3;3,39;-1,17;2,11;-4,51;43,0;0,018;40,9;1,18;4,19;6,6;41,6;37.7;0,3;-;0.8%;15;EVITAR;25;NEUTRO;['Volatilidade alta (ATR 4.2%)', 'Small Cap (potencial alto)'];baixa;True;907600
LOGG3;23,92;0,08;4,64;-3,88;45,2;0,068;44,5;1,48;3,28;50,7;19,1;5.6;0,59;-;10.5%;15;EVITAR;25;NEUTRO;['Volatilidade alta (ATR 3.3%)', 'Small Cap (potencial alto)'];baixa;True;724600
MDIA3;17,35;0,23;1,52;2,12;51,5;0,059;68,4;0,96;2,44;3,8;66,4;9.0;0,71;-;7.8%;15;EVITAR;10;EVITAR;['Small Cap (potencial alto)'];baixa;True;653700
ABCB4;23,04;-0,04;3,78;-2,83;48,3;0,025;46,8;1,18;1,91;20,7;18,6;4.1;0,82;-;14.9%;15;EVITAR;30;NEUTRO;['MACD cruzou para positivo', 'Small Cap (potencial alto)'];baixa;True;574800
EVEN3;4,51;-0,22;6,62;-5,25;46,3;0,047;53,8;0,57;4,39;9,7;89,2;3.7;0,46;-;11.1%;15;EVITAR;25;NEUTRO;['Volatilidade alta (ATR 4.4%)', 'Small Cap (potencial alto)'];baixa;True;552900
MYPK3;9,1;-1,19;1,11;-4,61;46,7;-0,004;36,8;0,62;2,75;5,9;52,9;14.9;0,33;-;4.9%;15;EVITAR;10;EVITAR;['Small Cap (potencial alto)'];baixa;True;521000
VTRU3;13,57;-1,81;4,3;10,33;58,0;0,113;91,3;0,73;4,35;36,9;27,8;1.9;0,49;18.0%;32.4%;15;EVITAR;25;NEUTRO;['Volatilidade alta (ATR 4.3%)', 'Small Cap (potencial alto)'];baixa;True;455700
BMOB3;24,17;1,64;7,42;6,3;59,3;0,133;102,0;1,01;3,06;35,8;16,6;12.8;2,14;-;16.4%;15;EVITAR;25;NEUTRO;['Volatilidade alta (ATR 3.1%)', 'Small Cap (potencial alto)'];baixa;True;386100
SYNE3;3,6;-2,44;-0,83;-10,22;39,8;-0,01;26,4;0,7;3,92;8,4;44,8;10.0;0,79;-;4.4%;15;EVITAR;25;NEUTRO;['Volatilidade alta (ATR 3.9%)', 'Small Cap (potencial alto)'];baixa;True;223300
CVCB3;1,78;2,3;19,46;39,06;71,6;0,04;108,5;0,76;5,85;67,9;56,7;59.3;2,87;-;-33.3%;10;EVITAR;-5;EVITAR;['Volatilidade alta (ATR 5.8%)'];alta;False;11903400
ANIM3;2,73;-0,36;24,66;20,26;66,9;0,091;111,6;1,18;5,28;42,2;93,7;6.7;0,43;-;9.6%;10;EVITAR;15;EVITAR;['Volatilidade alta (ATR 5.3%)'];alta;False;11412200
GGBR4;22,88;1,92;0,75;-6,77;43,4;-0,303;24,9;0,96;3,53;46,4;14,4;19.9;0,84;-;4.2%;10;EVITAR;15;EVITAR;['Volatilidade alta (ATR 3.5%)'];alta;False;10975100
EQTL3;36,83;-0,86;5,74;-2,62;49,5;0,201;52,9;0,74;2,76;10,5;25,8;65.8;1,77;-;5.0%;10;EVITAR;0;EVITAR;[];alta;False;8226300
CMIN3;5,99;1,87;1,35;0,17;59,5;-0,004;87,0;0,74;4,66;46,8;6,4;18.7;4,41;-;28.1%;10;EVITAR;15;EVITAR;['Volatilidade alta (ATR 4.7%)'];alta;False;5069000
