ticker;preco;var_1d;var_5d;var_20d;rsi;macd_hist;bb_pct;vol_ratio;atr_pct;dist_min52;dist_max52;pl;pvp;dy;roe;score;classificacao;score_trader;classificacao_trader;sinais_trader;liquidez;gema;volume_dia
VULC3;13,06;-1,8;-2,97;-6,31;33,3;-0,02;-8,3;1,83;2,79;0,6;54,9;4.3;1,64;-;37.1%;55;OBSERVAR;65;FORTE OPORTUNIDADE;['RSI sobrevendido (33)', 'Preço tocando banda inferior Bollinger', 'Volume alto (1.8x)'];alta;False;3479800
OBTC3;6,44;4,55;-14,48;0,78;46,5;-0,097;33,7;3,14;6,48;12,8;76,7;-;1,81;-;-;55;OBSERVAR;30;NEUTRO;['Volatilidade alta (ATR 6.5%)', 'Volume alto (3.1x)'];alta;False;3439600
VBBR3;36,2;-0,41;8,55;3,28;63,8;0,168;105,6;1,64;2,92;81,1;2,6;8.5;1,99;-;22.6%;40;OBSERVAR;15;EVITAR;['Volume alto (1.6x)'];alta;False;16983700
EMBJ3;93,35;0,92;-4,36;1,85;49,7;-1,165;24,3;0,56;2,86;37,6;12,6;29.3;3,71;-;12.2%;35;NEUTRO;0;EVITAR;[];alta;False;3113900
SHUL4;4,44;-0,22;-2,84;-0,89;47,7;0,013;59,7;0,68;2,29;12,1;25,3;6.1;1,01;-;16.9%;35;NEUTRO;10;EVITAR;['Small Cap (potencial alto)'];baixa;True;319500
ASAI3;9,12;-0,11;11,22;7,42;62,4;0,101;106,4;1,64;4,53;32,0;16,2;24.6;1,92;-;16.2%;30;NEUTRO;30;NEUTRO;['Volatilidade alta (ATR 4.5%)', 'Volume alto (1.6x)'];alta;False;21387300
BEEF3;3,78;-2,07;-4,79;8,0;53,2;0,012;60,6;0,83;4,87;27,3;93,5;9.7;2,37;-;23.2%;30;NEUTRO;15;EVITAR;['Volatilidade alta (ATR 4.9%)'];alta;False;15284200
MOTV3;16,4;1,42;8,75;12,02;75,6;0,231;104,5;0,84;2,83;21,5;8,2;9.8;1,86;-;22.0%;30;NEUTRO;-20;EVITAR;[];alta;False;12418200
PETR3;52,49;-1,96;10,95;14,07;69,8;0,653;98,2;0,95;2,88;84,5;3,9;5.1;1,41;-;30.3%;30;NEUTRO;0;EVITAR;[];alta;False;10993800
CYRE3;25,58;0,39;7,48;17,18;68,8;0,315;92,5;0,49;4,11;29,5;40,8;5.5;1,0;-;20.6%;30;NEUTRO;15;EVITAR;['Volatilidade alta (ATR 4.1%)'];alta;False;4145700
SUZB3;46,42;-0,71;0,04;10,6;64,4;0,223;77,4;0,36;2,5;18,5;28,5;7.1;1,31;-;17.6%;30;NEUTRO;0;EVITAR;[];alta;False;2738800
ALPA4;13,79;-3,09;-3,7;12,48;56,5;0,087;66,2;1,14;4,42;76,1;17,6;13.9;2,59;-;18.1%;30;NEUTRO;15;EVITAR;['Volatilidade alta (ATR 4.4%)'];alta;False;2352200
CURY3;32,78;-2,61;-0,21;6,02;55,8;0,214;77,3;0,5;4,36;24,1;22,8;9.0;6,1;-;68.5%;30;NEUTRO;15;EVITAR;['Volatilidade alta (ATR 4.4%)'];alta;False;1841200
TEND3;33,66;-1,72;0,81;3,63;55,9;0,178;76,1;0,47;4,61;63,9;10,6;7.1;2,68;-;40.6%;30;NEUTRO;15;EVITAR;['Volatilidade alta (ATR 4.6%)'];alta;False;1239300
ALUP11;33,43;0,06;2,77;3,51;62,8;0,215;93,4;0,59;2,17;17,1;9,6;8.0;1,14;-;15.8%;30;NEUTRO;10;EVITAR;['Small Cap (potencial alto)'];baixa;True;659900
SEER3;13,37;-1,98;15,91;13,63;68,9;0,301;99,0;0,34;4,34;71,5;4,1;6.3;1,12;-;19.1%;30;NEUTRO;25;NEUTRO;['Volatilidade alta (ATR 4.3%)', 'Small Cap (potencial alto)'];baixa;True;531400
TFCO4;13,17;-1,79;3,29;-11,37;44,3;0,078;46,8;0,71;3,61;4,9;38,0;14.0;3,26;-;25.7%;30;NEUTRO;25;NEUTRO;['Volatilidade alta (ATR 3.6%)', 'Small Cap (potencial alto)'];baixa;True;495900
INTB3;15,26;0,46;3,6;4,31;62,6;0,082;93,6;0,32;3,27;54,0;2,6;8.3;1,51;-;18.6%;30;NEUTRO;25;NEUTRO;['Volatilidade alta (ATR 3.3%)', 'Small Cap (potencial alto)'];baixa;True;373600
CSED3;5,28;-0,38;10,0;16,04;76,1;0,099;98,6;0,6;3,94;55,8;33,2;6.2;1,15;-;19.3%;30;NEUTRO;5;EVITAR;['Volatilidade alta (ATR 3.9%)', 'Small Cap (potencial alto)'];baixa;True;212600
