ticker;preco;var_1d;var_5d;var_20d;rsi;macd_hist;bb_pct;vol_ratio;atr_pct;dist_min52;dist_max52;pl;pvp;dy;roe;score;classificacao;liquidez;gema;volume_dia
SAUD3;14,39;1,12;-4,13;-4,07;44,3;-0,106;8,4;1,22;3,46;39,3;14,5;13.8;6,12;-;10.5%;60;FORTE OPORTUNIDADE;alta;False;4410700
TIMS3;18,93;0,53;-2,82;-15,07;25,8;-0,31;10,8;0,48;3,71;1,9;49,8;10.6;1,85;-;17.3%;55;OBSERVAR;alta;False;4499300
PSSA3;53,65;-1,11;-0,3;2,19;49,4;-0,242;16,9;0,61;2,26;25,0;3,5;9.6;2,21;-;25.2%;55;OBSERVAR;baixa;True;729100
TTEN3;11,76;2,26;-4,39;-19,89;26,0;-0,359;12,8;0,34;4,76;2,3;52,2;8.4;1,23;-;15.7%;55;OBSERVAR;baixa;True;659500
WIZC3;8,1;-1,22;-0,37;-1,82;45,8;-0,032;10,6;0,87;2,49;17,9;23,6;6.7;1,88;-;28.6%;55;OBSERVAR;baixa;True;204300
BBDC4;18,19;0,01;-0,6;2,93;48,5;-0,074;18,8;0,48;2,21;26,8;16,8;8.7;1,07;-;13.4%;50;OBSERVAR;alta;False;12807200
CXSE3;19,52;-1,16;-2,26;-5,87;38,9;-0,313;12,1;0,33;2,74;60,4;13,4;13.4;4,25;-;31.6%;50;OBSERVAR;alta;False;2026300
BBDC3;15,85;-0,45;-0,9;2,37;48,5;-0,065;18,6;0,27;2,26;29,5;14,8;7.5;0,93;-;13.4%;50;OBSERVAR;alta;False;1611100
CEAB3;9,17;-5,66;0,55;-9,48;39,3;0,018;17,9;1,9;4,84;2,1;97,1;4.9;0,75;-;16.8%;45;OBSERVAR;alta;False;11625600
POMO4;4,79;-0,42;-9,79;-13,85;27,9;-0,027;-2,6;0,87;3,75;0,4;66,0;4.8;1,46;-;30.9%;45;OBSERVAR;alta;False;10644000
GRND3;3,62;-1,09;-1,9;-2,16;35,3;-0,007;6,8;1,08;2,25;6,2;37,4;5.2;1,03;-;17.9%;45;OBSERVAR;alta;False;1881700
POMO3;4,49;-1,1;-9,29;-12,65;29,5;-0,008;0,5;0,82;4,11;1,8;50,1;4.4;1,37;-;30.9%;45;OBSERVAR;alta;False;1486500
VIVT3;31,43;-0,7;-3,41;-8,0;31,7;-0,429;1,4;0,69;3,05;5,9;31,2;15.3;1,46;-;9.9%;40;OBSERVAR;alta;False;3613000
PMAM3;0,2;0,0;-28,57;-4,76;31,8;-0,01;10,6;0,47;21,14;5,3;800,0;-;-0,0;-;-;40;OBSERVAR;alta;False;3200600
SAPR4;6,9;-0,72;-0,86;-1,43;38,7;-0,011;0,5;0,98;2,29;14,0;33,8;9.1;0,16;-;9.9%;40;OBSERVAR;baixa;True;805400
RECV3;10,14;-1,07;-1,74;-0,39;45,0;-0,002;24,4;0,37;3,12;10,5;40,4;5.5;0,71;-;12.3%;40;OBSERVAR;baixa;True;613400
RAIZ4;0,26;-7,14;0,0;-31,58;31,8;0,004;30,9;0,39;9,66;4,0;446,2;-;-0,31;-;-548.1%;35;NEUTRO;alta;False;5669800
GFSA3;0,24;-4,0;-20,0;-63,64;17,0;0,011;20,2;0,33;26,78;4,3;7383,3;-;0,0;-;-34.7%;35;NEUTRO;alta;False;2149300
VIVA3;22,27;-1,46;-0,36;0,45;49,1;0,034;43,8;0,33;3,26;11,1;61,2;8.9;1,73;-;20.7%;35;NEUTRO;baixa;True;925400
ENGI11;50,47;0,28;4,15;3,85;56,3;0,009;62,0;0,17;2,39;26,9;17,4;36.6;0,98;-;12.1%;35;NEUTRO;baixa;True;432700
KEPL3;6,32;-0,47;-2,02;0,16;40,7;0,004;19,3;0,35;2,27;1,9;66,1;7.4;1,38;-;19.6%;35;NEUTRO;baixa;True;238900
ITUB4;43,12;2,42;3,15;2,98;55,2;-0,053;65,3;0,93;2,11;38,3;12,9;10.3;2,27;-;21.8%;30;NEUTRO;alta;False;16322900
PETR4;42,35;-0,35;0,83;6,81;56,9;0,127;67,5;0,46;2,29;54,9;16,1;5.2;1,23;-;25.6%;30;NEUTRO;alta;False;13060900
ITSA4;13,92;1,98;3,19;4,43;57,0;-0,011;75,1;0,55;2,03;53,3;8,1;9.2;1,73;-;18.4%;30;NEUTRO;alta;False;8947200
DIRR3;11,76;0,6;6,04;-6,52;43,4;0,032;40,8;0,67;3,95;6,4;46,8;7.4;2,87;-;42.9%;30;NEUTRO;alta;False;5301100
USIM5;7,45;-0,93;-10,46;-10,78;33,5;-0,064;8,5;0,5;5,09;90,1;63,5;-;0,45;-;-9.3%;30;NEUTRO;alta;False;5297100
CMIG4;11,3;0,18;2,73;4,63;56,9;0,014;79,7;0,38;1,86;25,2;18,0;6.6;1,12;-;17.0%;30;NEUTRO;alta;False;3661200
PETR3;47,67;-1,0;0,34;7,95;56,4;0,15;65,6;0,39;2,54;63,0;14,6;5.9;1,38;-;25.6%;30;NEUTRO;alta;False;3468500
BBSE3;41,52;-1,31;1,47;7,15;59,3;-0,103;63,9;0,63;1,92;43,8;3,2;8.8;7,4;-;85.9%;30;NEUTRO;alta;False;3219400
UGPA3;32,39;-0,64;1,22;10,32;61,6;-0,142;60,2;0,18;2,59;112,7;3,1;11.4;2,1;-;19.2%;30;NEUTRO;alta;False;1870900
CMIN3;5,83;-1,35;-2,51;25,11;64,2;-0,013;70,3;0,14;4,08;42,9;9,3;14.2;4,47;-;25.7%;30;NEUTRO;alta;False;1431400
VULC3;13,99;1,75;-0,64;1,38;46,1;0,001;31,5;1,31;2,67;3,3;44,6;3.6;1,75;-;48.4%;30;NEUTRO;alta;False;1090200
EGIE3;30,18;0,17;3,04;-6,91;42,1;0,092;40,8;0,17;2,55;12,9;28,6;13.5;2,53;-;20.2%;30;NEUTRO;baixa;True;743600
INTB3;15,16;0,93;15,04;20,79;74,6;0,226;107,8;0,2;3,25;53,0;3,3;8.3;1,5;-;18.6%;30;NEUTRO;baixa;True;358000
USIM3;6,53;-1,8;-10,67;-13,51;31,5;-0,063;4,5;0,64;5,28;58,1;67,7;-;0,39;-;-9.3%;30;NEUTRO;baixa;True;329900
CPFE3;46,37;0,04;3,53;2,0;53,9;-0,032;51,7;0,27;2,24;33,9;14,3;9.3;2,2;-;24.8%;30;NEUTRO;baixa;True;283200
PINE4;13,31;-1,48;5,63;10,73;57,4;0,133;75,7;0,26;4,63;139,8;18,8;6.2;1,97;-;36.5%;30;NEUTRO;baixa;True;242200
BBAS3;21,05;0,29;1,3;7,78;56,6;0,037;71,9;0,28;2,18;16,0;30,8;9.5;0,65;-;9.2%;25;NEUTRO;alta;False;4916400
LREN3;13,64;-0,22;2,1;-0,51;46,6;0,041;44,5;0,38;3,2;13,1;27,0;9.2;1,28;-;14.5%;25;NEUTRO;alta;False;3884200
VBBR3;35,34;-0,28;2,14;11,66;62,0;-0,039;68,4;0,39;2,67;96,9;3,7;13.8;1,94;-;14.0%;25;NEUTRO;alta;False;3252700
VAMO3;3,32;-0,3;0,3;18,15;59,2;0,014;76,5;0,3;3,79;23,9;48,8;11.4;1,36;-;12.1%;25;NEUTRO;alta;False;2863500
MOTV3;14,94;-0,13;5,51;3,32;55,5;0,028;70,3;0,43;2,64;20,9;18,8;8.9;1,69;-;22.0%;25;NEUTRO;alta;False;2558600
ONCO3;0,6;-3,23;1,69;-43,4;35,5;0,012;31,1;0,18;15,98;11,1;836,7;-;1,26;-;-205.9%;25;NEUTRO;alta;False;2336200
SANB11;29,46;1,24;14,94;17,38;65,3;0,328;103,0;0,33;2,98;23,3;23,8;14.4;0,87;-;11.2%;25;NEUTRO;alta;False;2124900
