ticker;preco;var_1d;var_5d;var_20d;rsi;macd_hist;bb_pct;vol_ratio;atr_pct;dist_min52;dist_max52;pl;pvp;dy;roe;score;classificacao;score_trader;classificacao_trader;sinais_trader;liquidez;gema;volume_dia;alerta_spike
VIVA3;22,75;1,65;-4,25;8,64;54,8;0,087;69,6;0,78;3,62;13,5;57,8;9.1;1,76;-;19.7%;40;OBSERVAR;15;EVITAR;['Volatilidade alta (ATR 3.6%)'];alta;False;1962800;False
ONCO3;1,12;2,75;-17,65;57,75;49,4;-0,04;35,7;0,01;20,11;111,3;248,9;-;74,67;-;-273.5%;35;NEUTRO;25;NEUTRO;['Volatilidade alta (ATR 20.1%)', 'Small Cap (potencial alto)'];baixa;True;262900;False
BEEF3;3,99;0,25;5,28;31,25;60,7;0,009;67,7;0,0;4,34;34,3;83,3;10.2;2,5;-;23.2%;30;NEUTRO;15;EVITAR;['Volatilidade alta (ATR 4.3%)'];alta;False;37354700;False
MOTV3;16,67;1,77;7,74;24,61;82,3;0,26;95,2;1,0;2,68;29,0;1,9;9.9;1,89;-;22.0%;30;NEUTRO;-20;EVITAR;[];alta;False;16901000;False
ASAI3;9,86;7,17;8,0;23,25;71,2;0,141;111,4;1,23;4,28;42,7;7,5;13.7;2,08;-;16.2%;30;NEUTRO;-5;EVITAR;['Volatilidade alta (ATR 4.3%)'];alta;False;15999900;False
CPFE3;46,44;0,96;0,78;7,72;59,3;0,379;79,0;1,46;2,75;33,0;14,1;8.9;2,36;-;27.3%;30;NEUTRO;0;EVITAR;[];alta;False;2795700;False
TFCO4;13,08;0,23;-0,15;-3,18;45,6;0,062;62,6;0,0;3,55;6,3;39,0;13.9;3,24;-;25.7%;30;NEUTRO;25;NEUTRO;['Volatilidade alta (ATR 3.6%)', 'Small Cap (potencial alto)'];baixa;True;707300;False
PMAM3;0,9;119,51;373,68;542,86;85,6;0,068;142,2;4,05;9,87;900,0;82,5;-;-0,01;-;-;25;NEUTRO;35;NEUTRO;['Volatilidade alta (ATR 9.9%)', '🔥 ALERTA SPIKE: Volume Anômalo (4.1x) e Rompimento Iminente'];alta;False;77555600;True
CSNA3;7,19;1,13;20,23;66,44;81,0;0,233;100,2;1,7;5,68;71,6;57,4;-;0,78;-;-12.3%;25;NEUTRO;10;EVITAR;['Volatilidade alta (ATR 5.7%)', 'Volume alto (1.7x)'];alta;False;34772600;False
TIMS3;19,54;0,77;3,94;4,21;58,0;0,227;103,6;0,78;2,42;9,5;45,1;10.9;1,91;-;17.3%;25;NEUTRO;0;EVITAR;[];alta;False;5635100;False
