ticker;preco;var_1d;var_5d;var_20d;rsi;macd_hist;bb_pct;vol_ratio;atr_pct;dist_min52;dist_max52;pl;pvp;dy;roe;score;classificacao;liquidez;gema;volume_dia
PGMN3;3,42;0,0;-3,12;-9,52;33,7;0,006;11,6;0,25;4,01;6,9;122,8;7.0;0,73;-;10.1%;60;FORTE OPORTUNIDADE;baixa;True;940900
TEND3;29,35;-0,98;-11,17;-18,83;30,1;-0,806;-0,5;0,36;4,88;52,6;29,3;6.0;2,65;-;47.1%;60;FORTE OPORTUNIDADE;baixa;True;819800
DIRR3;11,59;0,52;-8,52;-16,44;31,8;-0,208;7,6;0,52;4,1;2,0;48,9;7.3;2,83;-;42.9%;55;OBSERVAR;alta;False;3936900
EGIE3;30,3;-0,13;-1,05;-9,82;34,7;-0,247;16,8;0,35;2,84;13,4;28,1;13.6;2,54;-;20.2%;55;OBSERVAR;alta;False;1269400
COGN3;2,11;-1,4;-6,22;-7,46;34,4;-0,008;-4,5;0,54;4,04;0,5;124,0;6.2;0,31;-;4.7%;50;OBSERVAR;alta;False;11709700
BHIA3;0,92;1,1;-14,02;-19,3;28,6;0,006;-6,7;1,55;7,37;5,7;495,7;-;0,34;-;-188.5%;50;OBSERVAR;alta;False;6808000
ANIM3;2,09;0,48;8,29;-20,53;34,5;-0,038;12,3;0,48;8,83;8,9;153,0;5.8;0,33;-;8.7%;50;OBSERVAR;alta;False;6127800
AMAR3;0,5;-12,28;-15,25;-18,03;28,1;-0,005;-34,4;6,64;7,19;2,0;180,0;-;1,99;-;-76.0%;50;OBSERVAR;alta;False;1332400
CEAB3;9,63;3,44;-6,87;-9,83;39,3;-0,088;12,8;0,53;4,71;3,9;87,7;5.1;0,79;-;16.8%;45;OBSERVAR;alta;False;3104600
VIVA3;21,37;-0,19;-9,14;-5,65;39,2;-0,172;-4,3;0,77;3,63;6,6;68,0;8.6;1,66;-;20.7%;45;OBSERVAR;alta;False;2007500
LWSA3;3,7;-1,07;-6,57;-3,9;39,3;-0,04;-5,5;0,51;3,84;12,8;29,8;-;0,87;-;-8.6%;45;OBSERVAR;alta;False;1289600
AZEV4;1,19;-0,83;-0,83;-33,89;31,4;0,006;26,2;0,42;16,54;3,5;1026,1;-;0,31;-;-145.3%;45;OBSERVAR;baixa;True;697600
ONCO3;0,64;-8,57;-28,09;-53,28;32,8;-0,031;12,6;0,58;22,7;1,6;837,5;-;1,34;-;-205.9%;40;OBSERVAR;alta;False;8351300
GFSA3;0,34;-5,56;-30,61;-73,23;17,2;-0,032;17,9;1,31;27,83;3,0;5573,5;-;0,01;-;-34.7%;40;OBSERVAR;alta;False;6095200
LREN3;13,43;1,21;-4,75;-7,38;39,7;-0,106;17,7;0,32;3,47;11,4;29,0;9.1;1,26;-;14.5%;40;OBSERVAR;alta;False;3613500
YDUQ3;7,79;-0,51;-11,07;-11,28;32,3;-0,074;-9,4;1,11;4,79;1,4;96,3;17.7;0,68;-;3.8%;40;OBSERVAR;alta;False;3198300
MRVE3;4,54;0,67;-6,78;-9,38;32,7;-0,02;9,7;0,35;4,97;2,5;131,9;-;0,49;-;-11.8%;40;OBSERVAR;alta;False;3048600
MOVI3;7,94;-0,75;-8,84;-16,95;29,8;-0,068;-1,5;0,63;5,05;48,6;88,5;7.6;0,88;-;12.9%;40;OBSERVAR;alta;False;2680200
RAIZ4;0,27;0,0;-6,9;-35,71;22,9;-0,008;11,8;0,11;9,42;0,0;481,5;-;-0,32;-;-548.1%;40;OBSERVAR;alta;False;1607100
HYPE3;20,11;-0,64;-4,15;-3,01;40,9;-0,008;1,8;0,49;3,08;2,4;33,3;7.7;1,0;-;13.0%;40;OBSERVAR;alta;False;1167200
EZTC3;11,68;0,78;-4,73;-13,03;34,2;-0,133;6,9;0,42;3,6;23,3;42,0;5.6;0,63;-;11.3%;40;OBSERVAR;baixa;True;579100
SBFG3;9,51;0,63;-5,18;-10,2;38,9;-0,033;13,1;0,34;3,91;2,0;60,7;6.6;0,67;-;11.2%;40;OBSERVAR;baixa;True;555700
MELK3;2,96;1,02;-1,33;-7,21;35,8;-0,02;9,7;0,69;2,61;1,7;35,4;5.0;0,56;-;13.4%;40;OBSERVAR;baixa;True;207700
