ticker;preco;var_1d;var_5d;var_20d;rsi;macd_hist;bb_pct;vol_ratio;atr_pct;dist_min52;dist_max52;pl;pvp;dy;roe;score;classificacao;liquidez;gema;volume_dia
SBSP3;23,76;1,93;-0,13;-16,28;29,5;-0,259;18,1;0,76;3,37;8,9;48,6;10.0;1,83;-;18.8%;55;OBSERVAR;alta;False;15500200
CMIG4;10,12;1,71;-1,08;-7,83;32,3;-0,083;19,4;0,49;2,45;7,1;31,8;6.2;0,99;-;15.9%;55;OBSERVAR;alta;False;7011400
TFCO4;13,05;2,19;-1,81;-6,18;33,9;-0,129;19,7;0,51;3,58;3,2;39,3;13.9;3,37;-;26.4%;55;OBSERVAR;baixa;True;246800
CEAB3;7,61;4,53;-4,87;-17,91;30,5;-0,118;17,5;0,81;5,38;5,8;137,5;4.1;0,6;-;15.5%;45;OBSERVAR;alta;False;7387800
DIRR3;10,54;1,25;0,86;-7,95;37,0;-0,012;23,9;1,61;4,03;3,5;63,7;6.5;2,58;-;41.9%;40;OBSERVAR;alta;False;13244200
BHIA3;0,44;7,32;-33,33;-45,0;22,0;-0,018;11,9;1,14;15,3;7,3;1145,5;-;-0,06;-;-;40;OBSERVAR;alta;False;9671100
HAPV3;6,2;1,81;-7,88;-37,5;25,1;-0,416;13,9;0,93;10,44;3,2;588,1;-;0,06;-;-0.9%;40;OBSERVAR;alta;False;9071800
RAIZ4;0,23;0,0;-4,17;-11,54;29,2;0,002;19,0;0,41;8,84;9,5;517,4;-;-0,27;-;-839.8%;40;OBSERVAR;alta;False;6312100
BRKM5;4,91;-3,73;-0,41;-19,51;32,4;-0,012;9,1;0,89;8,74;4,5;180,7;-;-0,31;-;-;40;OBSERVAR;alta;False;5699000
TIMS3;18,3;0,38;0,99;-14,76;32,8;0,052;32,1;0,5;3,04;2,5;54,9;10.2;1,79;-;17.3%;40;OBSERVAR;alta;False;5068900
KLBN4;3,64;0,55;4,3;4,0;60,6;0,001;75,9;0,86;2,13;13,5;15,7;121.3;0,49;-;3.7%;40;OBSERVAR;alta;False;2625800
SBFG3;8,14;2,26;-5,46;-13,03;30,5;-0,073;11,4;0,51;4,26;2,9;87,8;4.5;0,55;-;13.7%;40;OBSERVAR;alta;False;1068000
PSSA3;46,94;0,88;0,77;-14,31;32,0;-0,454;22,4;0,58;2,77;9,4;18,3;8.3;1,91;-;24.2%;40;OBSERVAR;baixa;True;999400
ALPA4;12,92;1,65;1,1;17,78;57,2;0,016;71,0;0,39;3,86;68,1;25,5;13.1;2,42;-;18.1%;40;OBSERVAR;baixa;True;629500
BBDC4;16,21;2,92;-2,0;-12,19;31,9;-0,163;21,9;0,6;2,52;12,9;31,0;7.4;0,95;-;13.8%;35;NEUTRO;alta;False;20142500
LREN3;10,98;4,57;-2,05;-17,26;30,5;-0,157;21,6;0,58;4,48;4,8;50,4;7.3;1,02;-;14.5%;35;NEUTRO;alta;False;12036900
BBSE3;37,26;1,94;0,84;-5,63;44,7;-0,248;28,6;1,87;2,02;33,4;9,4;7.9;6,64;-;85.9%;35;NEUTRO;alta;False;11541100
GGBR4;22,25;0,45;-8,82;-7,36;35,9;-0,398;-4,1;0,82;3,6;46,2;17,6;19.3;0,82;-;4.2%;35;NEUTRO;alta;False;8599400
GOAU4;9,87;-0,6;-9,23;-5,17;36,4;-0,158;-9,0;0,71;3,53;55,9;15,9;16.4;0,68;-;4.2%;35;NEUTRO;alta;False;6612200
FLRY3;18,67;2,98;2,41;17,35;71,6;0,01;83,4;1,5;2,64;46,4;3,4;16.1;2,03;-;12.6%;35;NEUTRO;alta;False;5984600
VIVT3;29,6;1,09;-0,47;-16,19;31,9;-0,07;28,3;0,52;2,55;1,7;39,3;14.4;1,38;-;9.9%;35;NEUTRO;alta;False;3143100
KLBN11;18,41;0,44;4,9;5,08;63,5;0,016;84,4;0,55;2,11;14,9;15,4;27.9;2,39;-;3.7%;35;NEUTRO;alta;False;2828500
RCSL4;0,7;6,06;25,0;20,69;62,9;0,003;68,4;0,4;7,76;174,5;296,1;-;-3,93;-;-;35;NEUTRO;alta;False;2433000
TEND3;31,29;1,29;-7,07;7,18;46,1;-0,024;44,5;0,6;4,44;60,2;19,0;6.6;2,49;-;40.6%;35;NEUTRO;alta;False;1483200
FESA4;4,96;3,12;3,33;-17,88;30,3;-0,059;25,1;0,74;3,64;4,4;79,4;12.1;0,51;-;4.4%;35;NEUTRO;baixa;True;747400
FIQE3;4,52;6,1;-4,44;-17,41;32,3;-0,067;14,5;0,5;4,44;40,8;69,3;7.4;1,57;-;18.8%;35;NEUTRO;baixa;True;584000
RDOR3;34,25;1,48;1,75;2,61;51,8;0,045;67,1;1,72;2,94;6,5;31,2;15.6;3,81;-;19.8%;30;NEUTRO;alta;False;13513400
POMO4;4,49;0,9;9,25;-14,15;40,3;0,019;41,0;0,63;3,85;10,9;77,1;4.7;1,31;-;28.3%;30;NEUTRO;alta;False;9089400
UGPA3;35,1;2,27;8,77;7,31;69,0;0,154;105,0;0,93;2,95;112,6;0,1;10.7;2,28;-;19.8%;30;NEUTRO;alta;False;8861300
VBBR3;34,76;0,84;3,45;-0,97;55,8;-0,09;55,3;0,54;2,99;93,3;5,4;8.2;1,91;-;22.6%;30;NEUTRO;alta;False;4405500
WEGE3;49,51;2,29;4,23;7,65;66,1;0,06;95,9;0,63;2,31;45,5;9,6;33.2;11,92;-;30.8%;30;NEUTRO;alta;False;4153300
CSMG3;54,69;2,55;-2,01;-11,75;34,6;-0,822;18,9;0,54;3,4;119,3;24,0;16.0;2,34;-;15.0%;30;NEUTRO;alta;False;2313800
INTB3;13,94;6,98;-1,2;5,08;50,1;-0,123;39,4;0,94;3,93;40,7;12,3;7.6;1,38;-;18.6%;30;NEUTRO;alta;False;1520200
VIVA3;21,76;2,21;4,26;1,59;51,4;0,004;53,7;0,4;3,44;8,6;64,9;8.7;1,69;-;19.7%;30;NEUTRO;alta;False;1159200
GRND3;3,58;0,85;1,42;-2,19;46,1;0,011;47,3;0,28;2,6;5,3;38,9;5.6;1,02;-;17.9%;30;NEUTRO;alta;False;1002500
OIBR3;0,09;-10,0;-18,18;-25,0;31,9;-0,003;-3,0;1,38;5,48;125,0;633,3;-;-0,0;-;-;30;NEUTRO;baixa;True;900700
POMO3;4,18;1,7;6,91;-13,99;39,0;0,019;40,0;0,36;3,85;9,1;61,3;4.4;1,28;-;28.3%;30;NEUTRO;baixa;True;735100
ALUP11;32,1;3,35;2,85;-1,57;52,0;0,016;59,5;0,49;2,18;15,0;14,1;7.7;1,15;-;15.8%;30;NEUTRO;baixa;True;496900
VAMO3;2,71;9,27;-3,21;-13,97;39,6;-0,051;23,0;1,99;5,42;10,2;82,3;9.7;1,11;-;10.7%;25;NEUTRO;alta;False;27161800
BBAS3;18,44;2,22;0,33;-9,39;37,0;-0,198;25,9;1,04;2,77;3,7;49,4;8.6;0,58;-;10.5%;25;NEUTRO;alta;False;26388900
CSNA3;4,72;6,07;5,12;-11,94;48,7;0,017;49,2;0,7;5,92;12,6;139,8;-;0,51;-;-12.3%;25;NEUTRO;alta;False;11055000
SUZB3;44,71;1,25;6,38;6,86;64,4;0,267;104,4;1,14;2,64;14,1;33,4;6.8;1,26;-;17.6%;25;NEUTRO;alta;False;7388100
PRIO3;62,6;0,9;6,77;6,43;62,0;0,322;92,7;0,44;2,79;83,1;16,6;13.1;1,77;-;14.2%;25;NEUTRO;alta;False;3137400
YDUQ3;7,87;5,78;7,51;1,16;49,1;0,012;51,6;0,79;4,5;12,1;94,3;18.7;0,69;-;3.8%;25;NEUTRO;alta;False;2952100
BBDC3;14,31;2,73;-1,38;-10,97;33,4;-0,129;23,3;0,45;2,37;16,9;27,1;6.5;0,83;-;13.8%;25;NEUTRO;alta;False;2917700
SANB11;29,41;1,52;-1,74;11,66;59,4;-0,07;63,4;0,29;2,5;20,7;24,0;14.4;0,87;-;11.2%;25;NEUTRO;alta;False;2195000
SMTO3;17,85;0,28;22,18;18,6;75,1;0,395;114,0;1,02;4,05;40,2;19,9;7.3;0,78;-;11.3%;25;NEUTRO;alta;False;2093600
PGMN3;3,35;4,04;3,4;-0,59;48,0;0,015;58,9;0,37;4,26;8,4;127,5;6.7;0,71;-;10.6%;25;NEUTRO;alta;False;1815600
AMBP3;0,15;0,0;0,0;-6,25;45,9;0,0;34,9;0,39;9,78;7,1;9713,3;-;0,23;-;-1.3%;25;NEUTRO;alta;False;1538900
ISAE4;26,13;2,47;2,27;-1,25;45,8;0,029;49,5;0,29;2,44;27,8;22,6;6.1;0,78;-;13.2%;25;NEUTRO;baixa;True;929000
CBAV3;11,15;-0,18;0,72;2,11;67,3;-0,004;71,8;0,29;0,53;308,6;0,4;12.1;1,43;-;14.6%;25;NEUTRO;baixa;True;778400
MDIA3;17,14;1,0;-0,75;0,47;46,4;0,023;45,5;0,89;2,64;2,4;68,7;8.9;0,69;-;7.8%;25;NEUTRO;baixa;True;571700
RANI3;7,73;0,65;0,0;-2,36;42,6;-0,047;23,2;0,38;2,4;10,6;25,5;13.6;1,21;-;9.2%;25;NEUTRO;baixa;True;210400
PETR4;44,35;0,07;5,37;5,07;66,0;0,18;103,1;0,55;2,36;61,0;10,8;4.3;1,28;-;30.3%;20;NEUTRO;alta;False;22915300
MOTV3;14,56;5,58;5,51;0,9;54,4;-0,018;62,3;1,76;2,71;14,6;21,9;8.7;1,65;-;22.0%;20;NEUTRO;alta;False;15326600
ITUB4;38,47;2,56;-1,36;-8,58;38,0;-0,276;24,9;0,53;2,53;19,0;26,6;9.2;1,95;-;21.5%;20;NEUTRO;alta;False;12692100
AUAU3;3,2;0,31;1,27;-1,84;44,3;-0,036;25,2;1,43;4,33;14,5;26,0;-;1,21;-;6.5%;20;NEUTRO;alta;False;5974800
CMIN3;5,85;3,91;5,6;2,81;57,4;-0,027;67,8;0,59;4,97;43,4;8,9;18.3;4,76;-;28.1%;20;NEUTRO;alta;False;4017000
PETR3;49,41;0,0;5,51;3,91;63,7;0,153;94,4;0,29;2,5;69,0;10,5;4.8;1,43;-;30.3%;20;NEUTRO;alta;False;2945400
MULT3;26,85;1,9;0,45;-4,24;41,3;-0,103;27,0;0,68;2,56;7,3;31,4;9.6;1,95;-;21.9%;20;NEUTRO;alta;False;2674000
CURY3;30,25;1,0;-2,84;5,11;46,6;0,012;40,2;0,38;4,03;14,5;33,1;8.3;6,75;-;73.7%;20;NEUTRO;alta;False;1342800
