ticker;preco;var_1d;var_5d;var_20d;rsi;macd_hist;bb_pct;vol_ratio;atr_pct;dist_min52;dist_max52;pl;pvp;dy;roe;score;classificacao;score_trader;classificacao_trader;sinais_trader;liquidez;gema;volume_dia;alerta_spike
CURY3;29,18;-4,23;-9,88;-7,22;37,4;-0,378;-1,9;0,64;4,65;10,4;37,9;8.0;5,43;-;68.5%;60;FORTE OPORTUNIDADE;35;NEUTRO;['Preço tocando banda inferior Bollinger', 'Volatilidade alta (ATR 4.6%)'];alta;False;1922200;False
OPCT3;9,22;-11,77;-17,31;-3,56;32,8;-0,1;-3,6;1,06;5,67;27,5;27,0;11.0;1,78;-;17.2%;60;FORTE OPORTUNIDADE;75;OBSERVAR;['RSI sobrevendido (33)', 'Preço tocando banda inferior Bollinger', 'Volatilidade alta (ATR 5.7%)', 'Small Cap (potencial alto)', '⚠️ Baixa liquidez — não elegível a oportunidade forte'];baixa;True;953400;False
CMIN3;5,75;-5,43;-17,74;-2,71;41,7;-0,093;19,3;0,54;5,58;40,9;23,0;18.0;4,23;-;28.1%;55;OBSERVAR;35;NEUTRO;['Preço tocando banda inferior Bollinger', 'Volatilidade alta (ATR 5.6%)'];alta;False;3987900;False
DIRR3;9,94;-1,39;-9,14;-5,42;32,5;-0,09;4,1;0,38;4,43;1,9;73,6;6.1;2,22;-;41.9%;55;OBSERVAR;65;FORTE OPORTUNIDADE;['RSI sobrevendido (33)', 'Preço tocando banda inferior Bollinger', 'Volatilidade alta (ATR 4.4%)'];alta;False;3502600;False
CPFE3;44,53;-1,35;-4,11;5,3;47,0;-0,078;42,7;0,53;2,82;27,5;19,0;8.5;2,26;-;27.3%;50;OBSERVAR;10;EVITAR;['Small Cap (potencial alto)'];baixa;True;906700;False
KEPL3;6,43;0,31;-3,6;13,01;49,5;-0,019;42,9;0,68;2,45;15,4;63,3;7.9;1,4;-;18.3%;50;OBSERVAR;10;EVITAR;['Small Cap (potencial alto)'];baixa;True;812800;False
JALL3;2,29;-0,43;-12,93;3,15;43,8;-0,052;3,7;0,37;5,48;21,8;65,7;-;0,36;-;-2.6%;50;OBSERVAR;45;OBSERVAR;['Preço tocando banda inferior Bollinger', 'Volatilidade alta (ATR 5.5%)', 'Small Cap (potencial alto)'];baixa;True;451700;False
OBTC3;6,43;2,23;-12,28;-6,13;44,7;-0,086;17,3;0,14;7,31;12,6;77,0;-;1,8;-;-;45;OBSERVAR;45;OBSERVAR;['Preço tocando banda inferior Bollinger', 'Volatilidade alta (ATR 7.3%)', 'Small Cap (potencial alto)'];baixa;True;254300;False
SHUL4;4,32;-0,92;-4,0;-1,14;38,5;-0,015;5,5;0,54;2,2;9,1;28,8;5.9;0,99;-;16.9%;45;OBSERVAR;30;NEUTRO;['Preço tocando banda inferior Bollinger', 'Small Cap (potencial alto)'];baixa;True;237700;False
RADL3;20,2;-0,15;2,23;14,0;59,6;0,006;74,3;0,22;3,47;25,5;34,3;23.8;4,84;-;20.0%;40;OBSERVAR;35;NEUTRO;['MACD cruzou para positivo', 'Volatilidade alta (ATR 3.5%)'];alta;False;1528700;False
