ticker;preco;var_1d;var_5d;var_20d;rsi;macd_hist;bb_pct;vol_ratio;atr_pct;dist_min52;dist_max52;pl;pvp;dy;roe;score;classificacao;liquidez;gema;volume_dia
VIVA3;21,57;-3,88;-6,66;3,16;40,9;-0,058;-7,8;0,86;3,68;7,6;66,4;8.7;1,67;-;20.7%;60;FORTE OPORTUNIDADE;alta;False;2127700
POMO4;5,16;-1,53;-8,51;-12,69;28,7;-0,06;-4,6;0,71;3,26;0,0;54,1;5.2;1,58;-;30.9%;55;OBSERVAR;alta;False;5774900
DIRR3;11,87;-1,41;-7,48;-13,55;33,5;-0,191;0,8;0,52;4,12;4,5;45,4;7.5;2,9;-;42.9%;55;OBSERVAR;alta;False;3819200
EGIE3;30,15;0,6;-7,06;-11,89;33,2;-0,321;6,3;0,7;3,06;12,8;28,7;13.5;2,53;-;20.2%;55;OBSERVAR;alta;False;2426500
RAIZ4;0,27;-6,9;-18,18;-35,71;22,9;-0,01;1,3;1,55;10,33;0,0;481,5;-;-0,32;-;-548.1%;50;OBSERVAR;alta;False;22487000
CVCB3;1,1;-9,84;-12,0;-12,7;30,7;0,003;-13,3;2,19;7,66;0,9;153,6;-;1,43;-;-23.0%;50;OBSERVAR;alta;False;21376700
SBSP3;29,08;-0,48;-4,25;4,19;47,0;-0,085;29,9;0,31;2,46;45,3;21,5;11.4;2,33;-;21.2%;50;OBSERVAR;alta;False;3538800
CURY3;30,36;-1,01;-8,33;-10,36;38,3;-0,496;-2,4;0,4;4,02;22,7;35,2;8.5;6,06;-;73.7%;50;OBSERVAR;alta;False;1530900
TEND3;30,98;-2,18;-10,33;-9,94;35,1;-0,667;-4,2;0,57;4,71;61,1;22,5;6.3;2,8;-;47.1%;50;OBSERVAR;alta;False;1319900
PGMN3;3,44;0,0;-2,82;-6,27;33,6;0,009;2,9;0,3;4,17;7,5;121,5;7.0;0,74;-;10.1%;50;OBSERVAR;alta;False;1268200
LWSA3;3,84;-2,04;-5,65;1,59;45,5;-0,024;17,8;0,39;3,7;17,1;25,1;-;0,9;-;-8.6%;50;OBSERVAR;alta;False;1033700
CAML3;4,23;-2,76;-20,79;-13,5;31,2;-0,071;-1,3;0,63;5,66;5,2;72,7;14.2;0,48;-;3.4%;50;OBSERVAR;baixa;True;818600
MTRE3;2,97;0,68;-3,62;-9,17;31,0;-0,023;4,8;0,54;3,14;2,4;39,6;5.1;0,31;-;8.3%;50;OBSERVAR;baixa;True;437900
MELK3;2,95;-1,34;-7,23;-6,65;33,6;-0,021;-5,8;0,93;2,69;1,1;35,8;5.0;0,55;-;13.4%;50;OBSERVAR;baixa;True;334000
ROMI3;5,98;-0,33;-2,45;-2,13;38,9;0,004;11,3;1,52;2,23;0,5;47,7;7.4;0,45;-;6.4%;50;OBSERVAR;baixa;True;213200
CEAB3;9,61;-1,44;-6,61;-1,84;36,4;-0,069;-0,1;0,46;4,73;1,8;88,1;5.1;0,78;-;16.8%;45;OBSERVAR;alta;False;2780100
POMO3;4,77;-1,45;-8,62;-15,58;26,3;-0,051;-1,7;1,25;3,5;0,2;41,3;4.8;1,46;-;30.9%;45;OBSERVAR;alta;False;1395400
TFCO4;14,02;-1,61;-6,66;-4,49;36,1;-0,098;-18,7;1,6;3,26;3,7;29,7;15.1;3,61;-;26.4%;45;OBSERVAR;baixa;True;710500
MILS3;15,34;-0,71;-0,39;0,26;53,9;-0,055;16,4;0,34;1,09;62,4;2,0;8.5;1,96;-;26.3%;45;OBSERVAR;baixa;True;302600
SANB4;13,81;1,47;-1,71;-1,57;47,7;0,002;44,7;1,55;2,29;9,3;36,6;8.4;0,41;-;10.5%;45;OBSERVAR;baixa;True;298400
ALLD3;4,54;-1,3;-1,3;-6,2;33,2;0,025;19,6;0,57;3,04;2,5;81,4;1.3;0,28;-;21.8%;45;OBSERVAR;baixa;True;233400
ONCO3;0,71;-8,97;-6,58;-47,79;34,3;-0,031;11,1;0,8;21,72;12,7;745,1;-;1,49;-;-205.9%;40;OBSERVAR;alta;False;10754800
MRVE3;4,57;-2,35;-3,59;-7,68;32,6;-0,013;1,0;0,79;5,22;0,9;130,4;-;0,49;-;-11.8%;40;OBSERVAR;alta;False;6816700
GFSA3;0,35;-14,63;-39,66;-71,07;17,5;-0,043;12,8;1,45;28,87;0,0;5411,4;-;0,01;-;-34.7%;40;OBSERVAR;alta;False;5995200
LREN3;13,32;-0,75;-5,87;-5,95;37,3;-0,111;2,7;0,27;3,69;10,4;30,0;9.0;1,25;-;14.5%;40;OBSERVAR;alta;False;3303600
BHIA3;1,01;-3,81;-2,88;-12,93;33,5;0,02;11,1;0,8;6,37;2,0;442,6;-;0,37;-;-188.5%;40;OBSERVAR;alta;False;2909500
MULT3;28,49;-0,14;-4,24;0,45;44,0;-0,03;19,0;0,56;2,36;19,8;23,8;11.5;2,16;-;20.0%;40;OBSERVAR;alta;False;1371400
EZTC3;11,85;-1,33;-8,85;-8,35;35,0;-0,116;-1,9;0,78;3,75;26,7;40,0;5.6;0,64;-;11.3%;40;OBSERVAR;alta;False;1125300
SBFG3;9,58;-1,34;-4,2;-4,58;39,5;-0,013;9,1;0,57;3,98;1,4;59,5;6.7;0,67;-;11.2%;40;OBSERVAR;alta;False;1073900
