ticker;preco;var_1d;var_5d;var_20d;rsi;macd_hist;bb_pct;vol_ratio;atr_pct;dist_min52;dist_max52;pl;pvp;dy;roe;score;classificacao;score_trader;classificacao_trader;sinais_trader;liquidez;gema;volume_dia
BRKM5;3,52;-14,36;-31,12;-38,46;19,6;-0,117;-19,1;2,49;12,85;0,0;291,5;-;-0,27;-;-;50;OBSERVAR;80;FORTE OPORTUNIDADE;['RSI sobrevendido (20)', 'Preço tocando banda inferior Bollinger', 'Volatilidade alta (ATR 12.8%)', 'Volume alto (2.5x)'];alta;False;17844600
BBSE3;39,41;1,31;7,5;1,21;61,5;0,108;79,5;0,57;2,0;40,4;3,4;8.3;7,03;-;85.9%;50;OBSERVAR;20;NEUTRO;['MACD cruzou para positivo'];alta;False;4407000
DESK3;18,49;-2,68;-2,32;1,26;47,1;-0,039;14,4;2,12;1,62;140,9;3,8;38.5;1,5;-;4.7%;50;OBSERVAR;45;OBSERVAR;['Preço tocando banda inferior Bollinger', 'Volume alto (2.1x)', 'Small Cap (potencial alto)'];baixa;True;903500
TFCO4;12,82;-1,08;-0,39;-7,84;33,5;-0,077;22,5;1,64;3,51;2,2;41,8;13.6;3,16;-;25.7%;50;OBSERVAR;70;FORTE OPORTUNIDADE;['RSI sobrevendido (34)', 'Volatilidade alta (ATR 3.5%)', 'Volume alto (1.6x)', 'Small Cap (potencial alto)'];baixa;True;859700
UNIP6;56,21;-3,29;-2,35;-11,16;34,3;-0,182;15,0;2,6;2,52;6,2;29,3;24.5;3,29;-;10.8%;50;OBSERVAR;75;FORTE OPORTUNIDADE;['RSI sobrevendido (34)', 'Preço tocando banda inferior Bollinger', 'Volume alto (2.6x)', 'Small Cap (potencial alto)'];baixa;True;470800
BRKM3;3,1;-11,43;-25,3;-37,5;14,4;-0,078;-13,2;3,69;11,1;1,6;287,1;-;-0,25;-;-;50;OBSERVAR;90;FORTE OPORTUNIDADE;['RSI sobrevendido (14)', 'Preço tocando banda inferior Bollinger', 'Volatilidade alta (ATR 11.1%)', 'Volume alto (3.7x)', 'Small Cap (potencial alto)'];baixa;True;385200
TCSA3;0,61;-1,61;-8,96;-6,15;32,6;-0,005;6,7;1,81;7,8;0,0;216,4;-;0,18;-;-22.4%;50;OBSERVAR;90;FORTE OPORTUNIDADE;['RSI sobrevendido (33)', 'Preço tocando banda inferior Bollinger', 'Volatilidade alta (ATR 7.8%)', 'Volume alto (1.8x)', 'Small Cap (potencial alto)'];baixa;True;366200
FESA4;5,2;0,78;6,78;-13,48;41,8;0,018;41,9;1,84;3,56;9,5;71,2;12.9;0,54;-;4.4%;45;OBSERVAR;60;FORTE OPORTUNIDADE;['MACD cruzou para positivo', 'Volatilidade alta (ATR 3.6%)', 'Volume alto (1.8x)', 'Small Cap (potencial alto)'];baixa;True;858600
SBSP3;25,06;1,5;4,94;-5,82;42,9;0,045;42,4;1,1;3,27;12,7;40,9;10.5;1,96;-;18.8%;40;OBSERVAR;35;NEUTRO;['MACD cruzou para positivo', 'Volatilidade alta (ATR 3.3%)'];alta;False;14538300
CMIG4;10,5;-0,1;3,24;-4,55;47,1;0,003;44,4;0,86;2,41;10,3;27,0;6.4;1,02;-;15.9%;40;OBSERVAR;20;NEUTRO;['MACD cruzou para positivo'];alta;False;13213600
VBBR3;33,61;-1,41;-5,08;-2,86;47,4;-0,157;28,0;1,32;3,08;72,6;9,0;7.8;1,83;-;22.6%;40;OBSERVAR;15;EVITAR;['Volatilidade alta (ATR 3.1%)'];alta;False;9466000
PETR3;45,93;-0,11;-1,91;-0,61;50,0;-0,063;39,5;1,86;2,75;61,5;15,7;4.6;1,27;-;30.3%;40;OBSERVAR;15;EVITAR;['Volume alto (1.9x)'];alta;False;7275100
BHIA3;0,36;-7,69;-14,29;-52,63;17,7;-0,011;13,3;0,64;16,62;0,0;1422,2;-;-0,04;-;-;40;OBSERVAR;65;FORTE OPORTUNIDADE;['RSI sobrevendido (18)', 'Preço tocando banda inferior Bollinger', 'Volatilidade alta (ATR 16.6%)'];alta;False;5576800
PSSA3;48,54;0,62;4,39;-9,79;42,8;0,001;40,9;0,66;2,67;13,1;14,4;8.5;1,92;-;24.2%;40;OBSERVAR;30;NEUTRO;['MACD cruzou para positivo', 'Small Cap (potencial alto)'];baixa;True;796300
BBDC4;16,99;1,25;6,05;-7,16;48,0;0,017;48,6;0,93;2,54;14,6;25,0;7.7;0,99;-;13.8%;35;NEUTRO;20;NEUTRO;['MACD cruzou para positivo'];alta;False;23903200
LREN3;10,8;-2,53;0,65;-19,16;33,2;-0,043;25,9;0,87;4,52;3,1;52,9;7.1;0,99;-;14.5%;35;NEUTRO;45;OBSERVAR;['RSI sobrevendido (33)', 'Volatilidade alta (ATR 4.5%)'];alta;False;11718300
GOAU4;9,94;1,02;-3,12;-6,72;39,8;-0,154;15,3;1,06;3,34;50,7;15,1;17.4;0,72;-;4.2%;35;NEUTRO;35;NEUTRO;['Preço tocando banda inferior Bollinger', 'Volatilidade alta (ATR 3.3%)'];alta;False;11560200
MOTV3;15,1;-0,13;8,17;6,64;61,8;0,116;86,3;1,75;2,74;12,9;17,5;9.0;1,71;-;22.0%;35;NEUTRO;15;EVITAR;['Volume alto (1.8x)'];alta;False;11412900
RCSL4;0,57;-24,0;-5,0;-13,64;46,5;0,004;33,9;0,96;10,86;123,5;386,4;8.2;-2,75;-;-;35;NEUTRO;15;EVITAR;['Volatilidade alta (ATR 10.9%)'];alta;False;4932900
