ticker;preco;var_1d;var_5d;var_20d;rsi;macd_hist;bb_pct;vol_ratio;atr_pct;dist_min52;dist_max52;pl;pvp;dy;roe;score;classificacao;score_trader;classificacao_trader;sinais_trader;liquidez;gema;volume_dia
EMBJ3;92,18;-1,4;-4,32;1,85;46,5;-1,123;15,5;0,89;3,03;35,9;14,0;28.8;3,66;-;12.2%;50;OBSERVAR;35;NEUTRO;['Preço tocando banda inferior Bollinger', 'Volatilidade alta (ATR 3.0%)'];alta;False;4959600
INTB3;14,81;-0,8;4,81;-1,4;58,1;0,044;74,3;2,74;3,3;49,5;5,7;8.1;1,47;-;18.6%;50;OBSERVAR;30;NEUTRO;['Volatilidade alta (ATR 3.3%)', 'Volume alto (2.7x)'];alta;False;3340300
OBTC3;6,4;-6,98;-14,32;0,0;44,8;-0,032;31,2;5,02;6,38;12,1;77,8;-;1,1;-;-;45;OBSERVAR;30;NEUTRO;['Volatilidade alta (ATR 6.4%)', 'Volume alto (5.0x)'];alta;False;3797900
HYPE3;21,75;0,23;-0,23;0,97;55,6;0,035;74,6;0,74;2,89;10,8;23,2;8.2;1,06;-;13.2%;45;OBSERVAR;0;EVITAR;[];alta;False;2299300
MOTV3;15,69;1,49;3,77;4,88;69,0;0,174;99,6;1,71;2,74;16,2;13,1;9.3;1,78;-;22.0%;40;OBSERVAR;15;EVITAR;['Volume alto (1.7x)'];alta;False;20975200
ALPA4;14,0;-6,6;5,74;12,27;60,2;0,169;78,7;1,81;4,19;78,7;15,9;14.1;2,63;-;18.1%;40;OBSERVAR;30;NEUTRO;['Volatilidade alta (ATR 4.2%)', 'Volume alto (1.8x)'];alta;False;3787500
SEER3;13,21;8,86;13,48;10,54;70,4;0,224;117,2;2,13;4,32;69,5;3,5;6.2;1,11;-;19.1%;40;OBSERVAR;10;EVITAR;['Volatilidade alta (ATR 4.3%)', 'Volume alto (2.1x)'];alta;False;3331900
VULC3;13,42;-0,3;-1,4;-2,4;41,1;0,001;23,1;2,19;2,48;2,0;50,7;4.4;1,68;-;37.1%;40;OBSERVAR;35;NEUTRO;['MACD cruzou para positivo', 'Volume alto (2.2x)'];alta;False;3179500
TEND3;33,1;0,0;-0,99;5,87;54,3;0,117;66,5;0,87;4,61;61,2;12,5;7.0;2,64;-;40.6%;40;OBSERVAR;15;EVITAR;['Volatilidade alta (ATR 4.6%)'];alta;False;2523300
LEVE3;33,08;1,19;2,26;2,1;57,8;0,055;78,5;0,11;2,16;34,8;9,5;6.4;4,65;-;81.6%;40;OBSERVAR;10;EVITAR;['Small Cap (potencial alto)'];baixa;True;341500
HAPV3;6,6;-0,15;2,8;-43,97;32,4;0,026;35,2;0,79;7,83;9,8;546,4;-;0,06;-;-0.4%;35;NEUTRO;65;FORTE OPORTUNIDADE;['RSI sobrevendido (32)', 'MACD cruzou para positivo', 'Volatilidade alta (ATR 7.8%)'];alta;False;9270300
MOVI3;7,26;-0,55;-2,16;-5,71;47,3;0,108;59,4;1,53;5,08;12,7;106,2;6.0;0,75;-;13.2%;35;NEUTRO;30;NEUTRO;['Volatilidade alta (ATR 5.1%)', 'Volume alto (1.5x)'];alta;False;8313100
