ticker;preco;var_1d;var_5d;var_20d;rsi;macd_hist;bb_pct;vol_ratio;atr_pct;dist_min52;dist_max52;pl;pvp;dy;roe;score;classificacao;score_trader;classificacao_trader;sinais_trader;liquidez;gema;volume_dia;alerta_spike
ALPA4;13,01;-4,13;-13,21;0,31;47,9;-0,049;39,6;3,29;4,93;66,1;24,7;13.1;2,44;-;18.1%;50;OBSERVAR;30;NEUTRO;['Volatilidade alta (ATR 4.9%)', 'Volume alto (3.3x)'];alta;False;7691400;False
VIVA3;22,81;-1,38;2,38;5,41;56,0;0,181;74,8;0,51;3,71;13,8;57,3;9.2;1,77;-;19.7%;40;OBSERVAR;15;EVITAR;['Volatilidade alta (ATR 3.7%)'];alta;False;1346700;False
AGRO3;19,17;-0,52;-0,21;6,09;56,3;0,045;70,0;1,59;2,16;7,3;18,7;-;0,94;-;-4.3%;35;NEUTRO;25;NEUTRO;['Volume alto (1.6x)', 'Small Cap (potencial alto)'];baixa;True;221700;False
ITSA4;14,27;2,29;9,13;8,97;73,7;0,2;109,6;1,09;2,23;46,8;5,3;8.8;1,71;-;18.9%;30;NEUTRO;-20;EVITAR;[];alta;False;27669600;False
BEEF3;3,84;-2,78;0,52;16,36;54,4;0,005;61,4;1,18;4,99;29,3;90,5;9.8;2,41;-;23.2%;30;NEUTRO;15;EVITAR;['Volatilidade alta (ATR 5.0%)'];alta;False;25289300;False
MOTV3;16,23;1,08;9,71;18,03;79,6;0,258;99,6;0,71;2,74;25,6;4,6;9.7;1,84;-;22.0%;30;NEUTRO;-20;EVITAR;[];alta;False;11531400;False
UGPA3;37,85;1,15;8,7;25,72;79,0;0,371;97,4;0,68;2,88;104,9;0,9;11.5;2,46;-;19.8%;30;NEUTRO;-20;EVITAR;[];alta;False;7711800;False
VBBR3;37,24;0,68;8,19;11,36;69,1;0,319;102,0;0,66;2,73;86,3;1,8;8.8;2,04;-;22.6%;30;NEUTRO;0;EVITAR;[];alta;False;6889200;False
SUZB3;46,75;-0,3;3,2;13,22;66,3;0,172;74,8;0,74;2,4;19,4;27,6;7.1;1,32;-;17.6%;30;NEUTRO;0;EVITAR;[];alta;False;5897400;False
BBSE3;42,53;0,88;5,27;11,25;76,4;0,453;95,5;0,61;2,1;51,5;1,1;9.0;7,58;-;85.9%;30;NEUTRO;-20;EVITAR;[];alta;False;3938500;False
CXSE3;20,24;1,3;4,65;6,92;67,2;0,221;96,5;0,61;2,28;57,8;9,4;13.4;4,4;-;33.3%;30;NEUTRO;0;EVITAR;[];alta;False;3578200;False
TEND3;35,13;1,44;6,13;9,01;61,8;0,27;98,8;0,83;4,35;71,1;6,0;7.4;2,8;-;40.6%;30;NEUTRO;15;EVITAR;['Volatilidade alta (ATR 4.4%)'];alta;False;2339800;False
CPFE3;47,03;0,43;5,59;5,92;66,2;0,516;93,5;0,93;2,68;35,2;12,7;9.0;2,39;-;27.3%;30;NEUTRO;0;EVITAR;[];alta;False;1617400;False
CURY3;33,67;1,39;3,28;8,35;59,7;0,211;88,6;0,43;4,08;27,4;19,5;9.2;6,27;-;68.5%;30;NEUTRO;15;EVITAR;['Volatilidade alta (ATR 4.1%)'];alta;False;1578100;False
ITUB3;46,65;2,03;8,38;7,34;70,7;0,596;107,9;0,67;2,39;60,6;1,4;11.1;2,36;-;21.5%;30;NEUTRO;-20;EVITAR;[];alta;False;1294900;False
SEER3;13,89;2,74;14,47;21,34;72,2;0,304;96,6;0,66;4,26;78,2;1,9;6.6;1,17;-;19.1%;30;NEUTRO;-5;EVITAR;['Volatilidade alta (ATR 4.3%)'];alta;False;1098000;False
AMBP3;0,14;0,0;-17,65;-12,5;39,2;-0,002;13,9;0,19;8,44;0,0;10114,3;-;0,21;-;-1.3%;30;NEUTRO;45;OBSERVAR;['Preço tocando banda inferior Bollinger', 'Volatilidade alta (ATR 8.4%)', 'Small Cap (potencial alto)'];baixa;True;884500;False
MDIA3;17,24;-3,04;-0,23;0,41;47,7;0,059;53,2;0,53;2,65;3,2;67,0;9.0;0,68;-;7.8%;30;NEUTRO;10;EVITAR;['Small Cap (potencial alto)'];baixa;True;427000;False
